Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
"January 03, 2022 09:30 AM",47.63,47.71,45.99,47.1,2083002,47.1,,,,,1hr
"January 03, 2022 10:30 AM",47.11,47.52,46.46,46.54,1079829,46.54,47.1,-0.55,-0.01,-1.17,1hr
"January 03, 2022 11:30 AM",46.53,46.74,46.22,46.33,1210623,46.33,46.54,-0.21,-0.0,-0.45,1hr
"January 03, 2022 12:30 PM",46.33,46.71,46.26,46.65,666993,46.65,46.33,0.32,0.01,0.68,1hr
"January 03, 2022 01:30 PM",46.64,46.87,46.58,46.78,604609,46.78,46.65,0.13,0.0,0.29,1hr
"January 03, 2022 02:30 PM",46.79,46.85,46.54,46.69,800102,46.69,46.78,-0.1,-0.0,-0.2,1hr
"January 03, 2022 03:30 PM",46.69,46.76,46.53,46.57,1084368,46.57,46.69,-0.12,-0.0,-0.26,1hr
"January 04, 2022 09:30 AM",46.85,46.99,44.19,44.51,5120656,44.51,46.57,-2.06,-0.04,-4.42,1hr
"January 04, 2022 10:30 AM",44.52,44.6,43.13,43.29,5196640,43.29,44.51,-1.22,-0.03,-2.74,1hr
"January 04, 2022 11:30 AM",43.29,43.65,43.01,43.09,2457964,43.09,43.29,-0.2,-0.0,-0.46,1hr
"January 04, 2022 12:30 PM",43.1,43.12,42.46,43.07,3105756,43.07,43.09,-0.02,-0.0,-0.05,1hr
"January 04, 2022 01:30 PM",43.07,43.33,42.71,43.04,3142330,43.04,43.07,-0.03,-0.0,-0.08,1hr
"January 04, 2022 02:30 PM",43.03,43.82,43.01,43.8,2411074,43.8,43.04,0.76,0.02,1.76,1hr
"January 04, 2022 03:30 PM",43.79,44.29,43.63,44.04,3671844,44.04,43.8,0.24,0.01,0.56,1hr
"January 05, 2022 09:30 AM",43.5,44.49,43.07,43.5,4491505,43.5,44.04,-0.54,-0.01,-1.23,1hr
"January 05, 2022 10:30 AM",43.49,43.71,43.18,43.41,2329487,43.41,43.5,-0.09,-0.0,-0.21,1hr
"January 05, 2022 11:30 AM",43.43,43.46,42.77,42.87,2722903,42.87,43.41,-0.54,-0.01,-1.24,1hr
"January 05, 2022 12:30 PM",42.87,42.89,42.37,42.78,2033159,42.78,42.87,-0.09,-0.0,-0.2,1hr
"January 05, 2022 01:30 PM",42.8,43.0,42.03,42.17,1729603,42.17,42.78,-0.61,-0.01,-1.43,1hr
"January 05, 2022 02:30 PM",42.17,42.3,41.01,41.22,3621059,41.22,42.17,-0.94,-0.02,-2.24,1hr
"January 05, 2022 03:30 PM",41.22,41.64,41.17,41.33,3964828,41.33,41.22,0.11,0.0,0.25,1hr
"January 06, 2022 09:30 AM",41.25,42.0,39.82,40.7,5384440,40.7,41.33,-0.63,-0.02,-1.52,1hr
"January 06, 2022 10:30 AM",40.67,42.43,40.67,41.93,3147430,41.93,40.7,1.23,0.03,3.02,1hr
"January 06, 2022 11:30 AM",41.91,42.23,41.42,41.76,1423903,41.76,41.93,-0.17,-0.0,-0.41,1hr
"January 06, 2022 12:30 PM",41.76,42.17,41.63,41.65,1515818,41.65,41.76,-0.11,-0.0,-0.26,1hr
"January 06, 2022 01:30 PM",41.66,42.08,41.43,41.92,1923118,41.92,41.65,0.27,0.01,0.65,1hr
"January 06, 2022 02:30 PM",41.92,42.13,41.78,42.09,1573140,42.09,41.92,0.17,0.0,0.41,1hr
"January 06, 2022 03:30 PM",42.08,42.13,41.58,41.68,2123391,41.68,42.09,-0.41,-0.01,-0.97,1hr
"January 07, 2022 09:30 AM",41.54,43.28,41.42,41.93,3682459,41.93,41.68,0.25,0.01,0.6,1hr
"January 07, 2022 10:30 AM",41.92,42.05,41.05,41.9,1996268,41.9,41.93,-0.03,-0.0,-0.07,1hr
"January 07, 2022 11:30 AM",41.88,42.62,41.83,42.08,2343448,42.08,41.9,0.18,0.0,0.44,1hr
"January 07, 2022 12:30 PM",42.08,42.36,41.98,42.07,1016962,42.07,42.08,-0.01,-0.0,-0.04,1hr
"January 07, 2022 01:30 PM",42.07,42.35,41.51,41.6,1348051,41.6,42.07,-0.47,-0.01,-1.12,1hr
"January 07, 2022 02:30 PM",41.61,41.9,41.54,41.56,1018806,41.56,41.6,-0.04,-0.0,-0.11,1hr
"January 07, 2022 03:30 PM",41.56,41.7,41.29,41.33,1683471,41.33,41.56,-0.22,-0.01,-0.54,1hr
"January 10, 2022 09:30 AM",40.74,40.75,38.92,38.99,5090389,38.99,41.33,-2.35,-0.06,-5.67,1hr
