Datetime,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval,Numbers,prePred
"May 18, 2022 09:30 AM",24.05,24.05,23.92,23.92,532015,23.92,,,,,1min,0,24.48
"May 18, 2022 09:31 AM",23.93,24.03,23.88,23.97,173005,23.97,23.92,0.05,0.0,0.19,1min,1,24.47
"May 18, 2022 09:32 AM",23.96,24.06,23.91,23.95,143284,23.95,23.97,-0.01,-0.0,-0.06,1min,2,24.47
"May 18, 2022 09:33 AM",23.92,24.2,23.91,24.18,153352,24.18,23.95,0.23,0.01,0.96,1min,3,24.46
"May 18, 2022 09:34 AM",24.18,24.3,24.13,24.23,175886,24.23,24.18,0.05,0.0,0.19,1min,4,24.46
"May 18, 2022 09:35 AM",24.22,24.25,23.97,24.2,170224,24.2,24.23,-0.03,-0.0,-0.11,1min,5,24.45
"May 18, 2022 09:36 AM",24.2,24.3,24.11,24.12,89439,24.12,24.2,-0.08,-0.0,-0.33,1min,6,24.45
"May 18, 2022 09:37 AM",24.11,24.39,24.11,24.34,89550,24.34,24.12,0.22,0.01,0.91,1min,7,24.44
"May 18, 2022 09:38 AM",24.33,24.48,24.33,24.39,67141,24.39,24.34,0.05,0.0,0.21,1min,8,24.44
"May 18, 2022 09:39 AM",24.39,24.39,24.06,24.12,107243,24.12,24.39,-0.27,-0.01,-1.11,1min,9,24.44
"May 18, 2022 09:40 AM",24.09,24.22,24.06,24.1,103791,24.1,24.12,-0.02,-0.0,-0.08,1min,10,24.43
"May 18, 2022 09:41 AM",24.1,24.13,23.92,23.92,96229,23.92,24.1,-0.18,-0.01,-0.74,1min,11,24.43
"May 18, 2022 09:42 AM",23.92,23.98,23.85,23.95,147382,23.95,23.92,0.03,0.0,0.12,1min,12,24.42
"May 18, 2022 09:43 AM",23.95,24.03,23.84,23.99,110549,23.99,23.95,0.04,0.0,0.17,1min,13,24.42
"May 18, 2022 09:44 AM",23.97,24.04,23.88,23.97,101502,23.97,23.99,-0.02,-0.0,-0.09,1min,14,24.41
"May 18, 2022 09:45 AM",23.95,24.05,23.94,24.0,76314,24.0,23.97,0.03,0.0,0.14,1min,15,24.41
"May 18, 2022 09:46 AM",24.01,24.03,23.89,24.0,105329,24.0,24.0,-0.0,-0.0,-0.0,1min,16,24.4
"May 18, 2022 09:47 AM",24.0,24.12,23.92,24.1,152901,24.1,24.0,0.1,0.0,0.42,1min,17,24.4
"May 18, 2022 09:48 AM",24.1,24.17,23.96,24.05,95829,24.05,24.1,-0.05,-0.0,-0.21,1min,18,24.4
"May 18, 2022 09:49 AM",24.03,24.07,23.96,24.04,62383,24.04,24.05,-0.01,-0.0,-0.04,1min,19,24.39
"May 18, 2022 09:50 AM",24.05,24.07,23.91,23.91,83373,23.91,24.04,-0.13,-0.01,-0.54,1min,20,24.39
"May 18, 2022 09:51 AM",23.92,24.13,23.92,24.06,86695,24.06,23.91,0.15,0.01,0.63,1min,21,24.38
"May 18, 2022 09:52 AM",24.05,24.2,24.01,24.19,91221,24.19,24.06,0.13,0.01,0.54,1min,22,24.38
"May 18, 2022 09:53 AM",24.2,24.49,24.2,24.32,100585,24.32,24.19,0.13,0.01,0.56,1min,23,24.37
"May 18, 2022 09:54 AM",24.33,24.4,24.29,24.3,74655,24.3,24.32,-0.02,-0.0,-0.1,1min,24,24.37
"May 18, 2022 09:55 AM",24.28,24.38,24.25,24.29,72138,24.29,24.3,-0.01,-0.0,-0.04,1min,25,24.36
"May 18, 2022 09:56 AM",24.3,24.3,24.09,24.11,100943,24.11,24.29,-0.18,-0.01,-0.74,1min,26,24.36
"May 18, 2022 09:57 AM",24.09,24.17,24.04,24.1,57244,24.1,24.11,-0.01,-0.0,-0.04,1min,27,24.36
"May 18, 2022 09:58 AM",24.1,24.18,24.07,24.16,85349,24.16,24.1,0.06,0.0,0.25,1min,28,24.35
"May 18, 2022 09:59 AM",24.16,24.19,24.07,24.1,48129,24.1,24.16,-0.06,-0.0,-0.24,1min,29,24.35
"May 18, 2022 10:00 AM",24.11,24.3,24.09,24.3,87934,24.3,24.1,0.2,0.01,0.82,1min,30,24.34
"May 18, 2022 10:01 AM",24.29,24.5,24.28,24.45,77561,24.45,24.3,0.15,0.01,0.62,1min,31,24.34
"May 18, 2022 10:02 AM",24.44,24.49,24.4,24.45,67205,24.45,24.45,0.0,0.0,0.0,1min,32,24.33
"May 18, 2022 10:03 AM",24.45,24.55,24.43,24.53,144481,24.53,24.45,0.08,0.0,0.33,1min,33,24.33
"May 18, 2022 10:04 AM",24.52,24.53,24.45,24.51,58918,24.51,24.53,-0.02,-0.0,-0.08,1min,34,24.32
"May 18, 2022 10:05 AM",24.5,24.69,24.5,24.69,124813,24.69,24.51,0.18,0.01,0.73,1min,35,24.32
"May 18, 2022 10:06 AM",24.68,24.69,24.57,24.65,88428,24.65,24.69,-0.04,-0.0,-0.16,1min,36,24.32
"May 18, 2022 10:07 AM",24.66,24.67,24.57,24.61,42089,24.61,24.65,-0.04,-0.0,-0.16,1min,37,24.31
"May 18, 2022 10:08 AM",24.59,24.68,24.57,24.64,37487,24.64,24.61,0.03,0.0,0.12,1min,38,24.31
"May 18, 2022 10:09 AM",24.63,24.63,24.51,24.54,58048,24.54,24.64,-0.1,-0.0,-0.41,1min,39,24.3
"May 18, 2022 10:10 AM",24.53,24.62,24.5,24.6,28143,24.6,24.54,0.06,0.0,0.24,1min,40,24.3
"May 18, 2022 10:11 AM",24.59,24.59,24.42,24.54,56210,24.54,24.6,-0.06,-0.0,-0.24,1min,41,24.29
"May 18, 2022 10:12 AM",24.55,24.6,24.52,24.53,59141,24.53,24.54,-0.01,-0.0,-0.04,1min,42,24.29
"May 18, 2022 10:13 AM",24.54,24.63,24.53,24.62,56806,24.62,24.53,0.09,0.0,0.37,1min,43,24.28
"May 18, 2022 10:14 AM",24.62,24.67,24.58,24.62,65544,24.62,24.62,0.0,0.0,0.0,1min,44,24.28
"May 18, 2022 10:15 AM",24.61,24.65,24.54,24.63,58232,24.63,24.62,0.01,0.0,0.04,1min,45,24.28
"May 18, 2022 10:16 AM",24.65,24.7,24.63,24.69,61552,24.69,24.63,0.06,0.0,0.24,1min,46,24.27
"May 18, 2022 10:17 AM",24.69,24.69,24.61,24.62,68808,24.62,24.69,-0.07,-0.0,-0.28,1min,47,24.27
"May 18, 2022 10:18 AM",24.61,24.68,24.59,24.65,30785,24.65,24.62,0.03,0.0,0.12,1min,48,24.26
"May 18, 2022 10:19 AM",24.65,24.69,24.54,24.61,89274,24.61,24.65,-0.04,-0.0,-0.16,1min,49,24.26
"May 18, 2022 10:20 AM",24.58,24.69,24.56,24.66,46275,24.66,24.61,0.05,0.0,0.2,1min,50,24.25
"May 18, 2022 10:21 AM",24.66,24.69,24.62,24.62,57599,24.62,24.66,-0.03,-0.0,-0.14,1min,51,24.25
"May 18, 2022 10:22 AM",24.64,24.68,24.62,24.65,53004,24.65,24.62,0.02,0.0,0.08,1min,52,24.24
"May 18, 2022 10:23 AM",24.64,24.67,24.54,24.54,72835,24.54,24.65,-0.1,-0.0,-0.43,1min,53,24.24
"May 18, 2022 10:24 AM",24.51,24.6,24.43,24.57,139888,24.57,24.54,0.03,0.0,0.12,1min,54,24.24
"May 18, 2022 10:25 AM",24.56,24.67,24.53,24.66,29237,24.66,24.57,0.09,0.0,0.37,1min,55,24.23
"May 18, 2022 10:26 AM",24.67,24.75,24.67,24.68,93526,24.68,24.66,0.02,0.0,0.08,1min,56,24.23
"May 18, 2022 10:27 AM",24.65,24.69,24.58,24.68,98332,24.68,24.68,0.0,0.0,0.0,1min,57,24.22
"May 18, 2022 10:28 AM",24.68,24.69,24.58,24.58,46865,24.58,24.68,-0.1,-0.0,-0.43,1min,58,24.22
"May 18, 2022 10:29 AM",24.58,24.58,24.36,24.36,148365,24.36,24.58,-0.22,-0.01,-0.87,1min,59,24.21
