Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
"April 19, 2022",32.37,34.24,32.32,33.63,29558200,33.63,,,,,1mo
"April 20, 2022",32.93,33.18,30.7,30.76,38448300,30.76,33.63,-2.87,-0.09,-8.53,1mo
"April 21, 2022",31.36,31.75,28.75,29.42,69311500,29.42,30.76,-1.34,-0.04,-4.36,1mo
"April 22, 2022",28.67,31.21,28.56,29.76,77506100,29.76,29.42,0.34,0.01,1.16,1mo
"April 25, 2022",29.28,30.79,28.91,29.91,42647800,29.91,29.76,0.15,0.01,0.5,1mo
"April 26, 2022",29.52,29.72,28.15,28.69,34701800,28.69,29.91,-1.22,-0.04,-4.08,1mo
"April 27, 2022",27.97,28.99,26.56,27.09,40794900,27.09,28.69,-1.6,-0.06,-5.58,1mo
"April 28, 2022",27.91,28.96,26.44,28.81,44665200,28.81,27.09,1.72,0.06,6.35,1mo
"April 29, 2022",29.07,30.37,28.4,28.46,39017400,28.46,28.81,-0.35,-0.01,-1.21,1mo
"May 02, 2022",28.26,29.54,28.06,29.52,23474700,29.52,28.46,1.06,0.04,3.72,1mo
"May 03, 2022",29.41,29.73,28.48,28.93,24795100,28.93,29.52,-0.59,-0.02,-2.0,1mo
"May 04, 2022",28.85,30.19,27.19,30.16,30175400,30.16,28.93,1.23,0.04,4.25,1mo
"May 05, 2022",29.65,29.65,26.94,27.27,27859000,27.27,30.16,-2.89,-0.1,-9.58,1mo
"May 06, 2022",27.11,27.2,24.81,24.92,31954100,24.92,27.27,-2.35,-0.09,-8.62,1mo
"May 09, 2022",24.98,25.12,23.18,23.39,31604500,23.39,24.92,-1.53,-0.06,-6.14,1mo
"May 10, 2022",24.01,24.09,22.0,22.89,36436100,22.89,23.39,-0.5,-0.02,-2.14,1mo
"May 11, 2022",22.81,23.88,21.7,21.84,35183400,21.84,22.89,-1.05,-0.05,-4.59,1mo
"May 12, 2022",21.54,23.8,20.95,22.77,37016200,22.77,21.84,0.93,0.04,4.26,1mo
"May 13, 2022",23.32,24.8,23.2,24.75,35668700,24.75,22.77,1.98,0.09,8.7,1mo
"May 16, 2022",24.29,24.7,23.34,23.42,25171900,23.42,24.75,-1.33,-0.05,-5.37,1mo
"May 17, 2022",24.08,24.7,23.33,24.54,28441000,24.54,23.42,1.12,0.05,4.78,1mo
"May 18, 2022",24.05,24.75,22.65,22.73,29431700,22.73,24.54,-1.81,-0.07,-7.38,1mo
