Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
2017-02-27,24.0,29.44,23.5,27.09,365215300,27.09,,,,,1wk
2017-03-06,28.17,28.25,20.64,22.07,238720700,22.07,27.09,-5.02,-0.19,-18.53,1wk
2017-03-13,22.05,22.15,18.9,19.54,125507200,19.54,22.07,-2.53,-0.11,-11.46,1wk
2017-03-20,19.94,23.3,19.55,22.74,146325400,22.74,19.54,3.2,0.16,16.38,1wk
2017-03-27,23.09,24.4,21.33,22.53,161945100,22.53,22.74,-0.21,-0.01,-0.92,1wk
2017-04-03,22.7,22.9,20.03,20.82,87448900,20.82,22.53,-1.71,-0.08,-7.59,1wk
2017-04-10,21.09,21.27,19.81,20.19,44903500,20.19,20.82,-0.63,-0.03,-3.03,1wk
2017-04-17,20.09,21.49,19.73,20.93,54177100,20.93,20.19,0.74,0.04,3.67,1wk
2017-04-24,21.2,22.59,20.56,22.55,45453500,22.55,20.93,1.62,0.08,7.74,1wk
2017-05-01,22.66,23.25,21.63,23.19,55008800,23.19,22.55,0.64,0.03,2.84,1wk
2017-05-08,23.17,23.57,17.59,19.14,284366700,19.14,23.19,-4.05,-0.17,-17.46,1wk
2017-05-15,19.57,20.95,19.49,20.0,175067600,20.0,19.14,0.86,0.04,4.49,1wk
2017-05-22,20.14,21.94,19.9,21.22,68751000,21.22,20.0,1.22,0.06,6.1,1wk
2017-05-29,21.3,21.75,21.0,21.09,35758500,21.09,21.22,-0.13,-0.01,-0.61,1wk
2017-06-05,20.52,20.89,17.88,18.08,102632300,18.08,21.09,-3.01,-0.14,-14.27,1wk
2017-06-12,18.05,18.58,17.0,17.54,79454200,17.54,18.08,-0.54,-0.03,-2.99,1wk
2017-06-19,17.85,18.34,17.03,17.54,68492300,17.54,17.54,0.0,0.0,0.0,1wk
2017-06-26,17.7,18.13,17.2,17.77,46236600,17.77,17.54,0.23,0.01,1.31,1wk
2017-07-03,17.91,17.92,17.15,17.18,20066800,17.18,17.77,-0.59,-0.03,-3.32,1wk
2017-07-10,17.16,17.21,15.21,15.27,106275300,15.27,17.18,-1.91,-0.11,-11.12,1wk
2017-07-17,15.3,15.43,14.34,14.48,73741100,14.48,15.27,-0.79,-0.05,-5.17,1wk
2017-07-24,14.45,14.48,13.14,13.81,95430500,13.81,14.48,-0.67,-0.05,-4.63,1wk
2017-07-31,13.42,13.98,11.9,13.52,216503400,13.52,13.81,-0.29,-0.02,-2.1,1wk
2017-08-07,13.86,14.06,11.77,11.83,232476900,11.83,13.52,-1.69,-0.13,-12.5,1wk
2017-08-14,11.49,14.25,11.28,14.01,243987100,14.01,11.83,2.18,0.18,18.43,1wk
2017-08-21,14.27,15.34,13.35,14.78,201931000,14.78,14.01,0.77,0.05,5.5,1wk
2017-08-28,14.8,15.31,14.01,14.27,120364200,14.27,14.78,-0.51,-0.03,-3.45,1wk
2017-09-04,14.28,15.8,14.08,15.34,126600000,15.34,14.27,1.07,0.07,7.5,1wk
2017-09-11,15.25,15.75,14.82,15.25,156544700,15.25,15.34,-0.09,-0.01,-0.59,1wk
2017-09-18,15.32,15.33,13.51,13.7,106780300,13.7,15.25,-1.55,-0.1,-10.16,1wk
2017-09-25,13.5,14.7,13.07,14.54,93352600,14.54,13.7,0.84,0.06,6.13,1wk
2017-10-02,14.6,15.1,14.1,14.79,78757200,14.79,14.54,0.25,0.02,1.72,1wk
2017-10-09,14.81,16.88,14.32,16.5,151573000,16.5,14.79,1.71,0.12,11.56,1wk
2017-10-16,16.68,16.73,15.18,15.56,86389700,15.56,16.5,-0.94,-0.06,-5.7,1wk
2017-10-23,15.58,15.69,13.96,15.44,98816400,15.44,15.56,-0.12,-0.01,-0.77,1wk
2017-10-30,15.13,16.27,14.39,15.27,81705400,15.27,15.44,-0.17,-0.01,-1.1,1wk
2017-11-06,15.19,15.53,12.1,12.76,305296700,12.76,15.27,-2.51,-0.16,-16.44,1wk
2017-11-13,12.83,13.01,12.17,12.99,80588700,12.99,12.76,0.23,0.02,1.8,1wk
2017-11-20,13.1,13.11,12.29,12.97,76481300,12.97,12.99,-0.02,-0.0,-0.15,1wk
2017-11-27,12.87,14.0,12.86,13.87,119336300,13.87,12.97,0.9,0.07,6.94,1wk
2017-12-04,13.95,15.14,13.09,15.07,142791300,15.07,13.87,1.2,0.09,8.65,1wk
2017-12-11,15.44,16.45,15.07,15.75,115731000,15.75,15.07,0.68,0.05,4.51,1wk
2017-12-18,15.95,16.37,14.92,15.15,67008500,15.15,15.75,-0.6,-0.04,-3.81,1wk
2017-12-25,15.02,15.13,14.55,14.61,31072800,14.61,15.15,-0.54,-0.04,-3.56,1wk
2018-01-01,14.69,15.38,14.27,14.5,71952400,14.5,14.61,-0.11,-0.01,-0.75,1wk
2018-01-08,14.21,14.93,13.58,14.11,90197300,14.11,14.5,-0.39,-0.03,-2.69,1wk
2018-01-15,14.11,14.24,13.35,14.04,73672200,14.04,14.11,-0.07,-0.0,-0.5,1wk
2018-01-22,13.92,14.77,13.43,13.56,78795900,13.56,14.04,-0.48,-0.03,-3.42,1wk
2018-01-29,13.54,14.0,13.15,13.71,71014100,13.71,13.56,0.15,0.01,1.11,1wk
2018-02-05,13.35,21.22,13.32,18.8,467897500,18.8,13.71,5.09,0.37,37.13,1wk
2018-02-12,18.84,20.75,18.21,20.42,172708500,20.42,18.8,1.62,0.09,8.62,1wk
2018-02-19,19.31,19.8,17.05,17.45,150422200,17.45,20.42,-2.97,-0.15,-14.54,1wk
2018-02-26,17.45,18.08,16.31,18.01,148576800,18.01,17.45,0.56,0.03,3.21,1wk
2018-03-05,17.82,18.51,17.53,17.88,105870400,17.88,18.01,-0.13,-0.01,-0.72,1wk
2018-03-12,17.83,18.35,16.79,17.01,93369100,17.01,17.88,-0.87,-0.05,-4.87,1wk
2018-03-19,17.01,17.1,15.62,16.36,111260900,16.36,17.01,-0.65,-0.04,-3.82,1wk
2018-03-26,16.45,16.75,15.55,15.87,74475100,15.87,16.36,-0.49,-0.03,-3.0,1wk
2018-04-02,15.67,15.73,13.62,14.25,114805500,14.25,15.87,-1.62,-0.1,-10.21,1wk
2018-04-09,14.28,15.5,14.04,14.88,85624100,14.88,14.25,0.63,0.04,4.42,1wk
2018-04-16,14.86,15.42,14.46,15.2,68537200,15.2,14.88,0.32,0.02,2.15,1wk
2018-04-23,15.35,15.96,14.16,14.23,130318900,14.23,15.2,-0.97,-0.06,-6.38,1wk
2018-04-30,14.36,14.55,10.51,10.79,338159100,10.79,14.23,-3.44,-0.24,-24.17,1wk
2018-05-07,10.76,11.43,10.61,11.04,116135700,11.04,10.79,0.25,0.02,2.32,1wk
2018-05-14,11.0,11.05,10.5,10.58,113651000,10.58,11.04,-0.46,-0.04,-4.17,1wk
