Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval,Numbers,prePred
2021-04-07,57.12,61.13,56.9,60.23,38682300,60.23,,,,,1yr,0,73.6
2021-04-08,61.04,63.21,60.53,63.2,28898700,63.2,60.23,2.97,0.05,4.93,1yr,1,73.46
2021-04-09,62.68,64.07,62.15,63.27,17271000,63.27,63.2,0.07,0.0,0.11,1yr,2,73.32
2021-04-12,62.81,63.32,60.92,62.44,11311900,62.44,63.27,-0.83,-0.01,-1.31,1yr,3,73.19
2021-04-13,63.48,63.64,61.46,62.44,8829200,62.44,62.44,0.0,0.0,0.0,1yr,4,73.05
2021-04-14,64.01,65.86,61.73,62.01,20883200,62.01,62.44,-0.43,-0.01,-0.69,1yr,5,72.91
2021-04-15,62.51,64.77,61.61,63.89,15303300,63.89,62.01,1.88,0.03,3.03,1yr,6,72.77
2021-04-16,63.72,63.78,60.11,61.25,19777900,61.25,63.89,-2.64,-0.04,-4.13,1yr,7,72.63
2021-04-19,60.47,60.63,58.12,60.44,17192900,60.44,61.25,-0.81,-0.01,-1.32,1yr,8,72.49
2021-04-20,59.69,59.91,57.12,58.49,18048100,58.49,60.44,-1.95,-0.03,-3.23,1yr,9,72.35
2021-04-21,57.65,59.09,56.7,58.3,13116000,58.3,58.49,-0.19,-0.0,-0.32,1yr,10,72.21
2021-04-22,59.11,59.25,56.39,57.05,30856600,57.05,58.3,-1.25,-0.02,-2.14,1yr,11,72.08
2021-04-23,62.01,63.2,57.32,61.3,104499900,61.3,57.05,4.25,0.07,7.45,1yr,12,71.94
2021-04-26,60.97,61.44,58.58,60.02,38422200,60.02,61.3,-1.28,-0.02,-2.09,1yr,13,71.8
2021-04-27,58.73,62.75,58.36,60.51,65967700,60.51,60.02,0.49,0.01,0.82,1yr,14,71.66
2021-04-28,59.85,62.14,57.86,62.04,42222800,62.04,60.51,1.53,0.03,2.53,1yr,15,71.52
2021-04-29,62.52,64.25,60.58,62.28,37436600,62.28,62.04,0.24,0.0,0.39,1yr,16,71.38
2021-04-30,60.86,63.39,60.83,61.82,25053900,61.82,62.28,-0.46,-0.01,-0.74,1yr,17,71.24
2021-05-03,62.04,62.84,58.64,59.17,22347100,59.17,61.82,-2.65,-0.04,-4.29,1yr,18,71.1
2021-05-04,57.95,58.11,53.09,55.78,40725700,55.78,59.17,-3.39,-0.06,-5.73,1yr,19,70.97
2021-05-05,56.75,57.0,53.83,54.07,18164700,54.07,55.78,-1.71,-0.03,-3.07,1yr,20,70.83
2021-05-06,53.33,54.06,51.47,52.59,25201500,52.59,54.07,-1.48,-0.03,-2.74,1yr,21,70.69
