Datetime,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
2022-04-06 09:30:00,37.37,37.74,37.18,37.45,754821,37.45,,,,,5min
2022-04-06 09:35:00,37.47,37.48,36.81,37.03,496700,37.03,37.45,-0.42,-0.01,-1.12,5min
2022-04-06 09:40:00,37.02,37.21,36.62,36.65,461391,36.65,37.03,-0.38,-0.01,-1.03,5min
2022-04-06 09:45:00,36.64,36.7,36.3,36.34,406620,36.34,36.65,-0.31,-0.01,-0.85,5min
2022-04-06 09:50:00,36.34,36.65,36.19,36.51,426171,36.51,36.34,0.17,0.0,0.47,5min
2022-04-06 09:55:00,36.51,36.54,36.24,36.31,377627,36.31,36.51,-0.2,-0.01,-0.55,5min
2022-04-06 10:00:00,36.33,36.37,35.96,36.13,391301,36.13,36.31,-0.18,-0.0,-0.5,5min
2022-04-06 10:05:00,36.14,36.14,35.9,35.97,476075,35.97,36.13,-0.17,-0.0,-0.46,5min
2022-04-06 10:10:00,35.95,36.35,35.88,36.32,383390,36.32,35.97,0.35,0.01,0.97,5min
2022-04-06 10:15:00,36.32,36.78,36.31,36.71,263622,36.71,36.32,0.39,0.01,1.09,5min
2022-04-06 10:20:00,36.69,36.82,36.49,36.49,286250,36.49,36.71,-0.22,-0.01,-0.6,5min
2022-04-06 10:25:00,36.48,36.54,36.24,36.31,219119,36.31,36.49,-0.18,-0.0,-0.49,5min
2022-04-06 10:30:00,36.3,36.71,36.23,36.52,281516,36.52,36.31,0.21,0.01,0.58,5min
2022-04-06 10:35:00,36.54,36.64,36.44,36.47,269101,36.47,36.52,-0.05,-0.0,-0.14,5min
2022-04-06 10:40:00,36.46,36.84,36.3,36.82,252911,36.82,36.47,0.35,0.01,0.96,5min
2022-04-06 10:45:00,36.8,36.97,36.69,36.8,227255,36.8,36.82,-0.02,-0.0,-0.05,5min
2022-04-06 10:50:00,36.8,37.02,36.71,36.98,310145,36.98,36.8,0.18,0.0,0.49,5min
2022-04-06 10:55:00,36.99,37.02,36.68,36.69,187619,36.69,36.98,-0.29,-0.01,-0.78,5min
2022-04-06 11:00:00,36.68,36.74,36.53,36.63,243521,36.63,36.69,-0.06,-0.0,-0.16,5min
2022-04-06 11:05:00,36.64,36.67,36.44,36.47,187546,36.47,36.63,-0.16,-0.0,-0.44,5min
2022-04-06 11:10:00,36.45,36.59,36.45,36.47,132659,36.47,36.47,-0.01,-0.0,-0.01,5min
2022-04-06 11:15:00,36.47,36.51,36.33,36.33,130357,36.33,36.47,-0.13,-0.0,-0.36,5min
