Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval,Numbers,prePred
2021-10-07,74.36,77.41,74.1,76.28,15547400,76.28,,,,,6mo,0,62.97
2021-10-08,76.91,77.41,74.74,75.0,8909200,75.0,76.28,-1.28,-0.02,-1.68,6mo,1,62.69
2021-10-11,74.65,75.6,73.5,73.53,8990800,73.53,75.0,-1.47,-0.02,-1.96,6mo,2,62.41
2021-10-12,74.12,75.98,73.53,75.26,13691100,75.26,73.53,1.73,0.02,2.35,6mo,3,62.12
2021-10-13,76.15,76.31,74.3,74.95,9998900,74.95,75.26,-0.31,-0.0,-0.41,6mo,4,61.84
2021-10-14,77.06,77.23,75.72,76.64,12948800,76.64,74.95,1.69,0.02,2.25,6mo,5,61.56
2021-10-15,76.81,78.74,75.87,77.34,20414400,77.34,76.64,0.7,0.01,0.91,6mo,6,61.27
2021-10-18,78.6,79.3,72.61,75.8,33053900,75.8,77.34,-1.54,-0.02,-1.99,6mo,7,60.99
2021-10-19,75.12,78.18,73.9,76.43,18720700,76.43,75.8,0.63,0.01,0.83,6mo,8,60.71
2021-10-20,76.57,77.52,74.67,75.65,15739300,75.65,76.43,-0.78,-0.01,-1.02,6mo,9,60.42
2021-10-21,74.81,75.95,73.89,75.11,44450900,75.11,75.65,-0.54,-0.01,-0.71,6mo,10,60.14
2021-10-22,58.75,60.78,55.03,55.14,153827500,55.14,75.11,-19.97,-0.27,-26.59,6mo,11,59.86
2021-10-25,55.96,56.15,53.77,54.5,62506800,54.5,55.14,-0.64,-0.01,-1.16,6mo,12,59.57
2021-10-26,55.24,57.18,54.88,55.39,52905700,55.39,54.5,0.89,0.02,1.63,6mo,13,59.29
2021-10-27,55.05,55.23,51.66,52.02,52581300,52.02,55.39,-3.37,-0.06,-6.08,6mo,14,59.01
2021-10-28,52.68,54.96,51.99,54.39,34748800,54.39,52.02,2.37,0.05,4.56,6mo,15,58.72
2021-10-29,53.97,53.99,52.21,52.58,32465500,52.58,54.39,-1.81,-0.03,-3.33,6mo,16,58.44
2021-11-01,52.99,54.11,52.25,53.98,22666700,53.98,52.58,1.4,0.03,2.66,6mo,17,58.15
