ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2017-03-02,25.12874184203277,18.003269715510854,30.03698826582368,25.12874184203277,25.12874184203277,-0.9488571512650027,-0.9488571512650027,-0.9488571512650027,0.15640750916149623,0.15640750916149623,0.15640750916149623,-1.1052646604264988,-1.1052646604264988,-1.1052646604264988,0.0,0.0,0.0,24.179884690767768
2017-03-03,25.06487356564483,18.183628471133044,29.544618166201815,25.06487356564483,25.06487356564483,-1.059574935334427,-1.059574935334427,-1.059574935334427,0.32370811730534294,0.32370811730534294,0.32370811730534294,-1.38328305263977,-1.38328305263977,-1.38328305263977,0.0,0.0,0.0,24.005298630310403
2017-03-06,24.873268736481013,16.825380646912585,28.925478711396266,24.873268736481013,24.873268736481013,-2.058797692523118,-2.058797692523118,-2.058797692523118,0.11978000915533263,0.11978000915533263,0.11978000915533263,-2.1785777016784507,-2.1785777016784507,-2.1785777016784507,0.0,0.0,0.0,22.814471043957894
2017-03-07,24.809400460093073,16.306304953867222,28.539156024920512,24.809400460093073,24.809400460093073,-2.2308761722354005,-2.2308761722354005,-2.2308761722354005,0.19013391573594357,0.19013391573594357,0.19013391573594357,-2.4210100879713443,-2.4210100879713443,-2.4210100879713443,0.0,0.0,0.0,22.57852428785767
2017-03-08,24.745532183705134,16.656689960279678,28.032257064118053,24.745532183705134,24.745532183705134,-2.4790392362066944,-2.4790392362066944,-2.4790392362066944,0.16901936398067377,0.16901936398067377,0.16901936398067377,-2.648058600187368,-2.648058600187368,-2.648058600187368,0.0,0.0,0.0,22.26649294749844
2017-03-09,24.681663907317187,16.075780769656976,28.108515973323982,24.681663907317187,24.681663907317187,-2.7014302435788538,-2.7014302435788538,-2.7014302435788538,0.1564075091617005,0.1564075091617005,0.1564075091617005,-2.8578377527405543,-2.8578377527405543,-2.8578377527405543,0.0,0.0,0.0,21.980233663738332
2017-03-10,24.617795630929248,15.63167565010035,28.070219505888677,24.617795630929248,24.617795630929248,-2.7251350943300667,-2.7251350943300667,-2.7251350943300667,0.32370811730494,0.32370811730494,0.32370811730494,-3.0488432116350066,-3.0488432116350066,-3.0488432116350066,0.0,0.0,0.0,21.89266053659918
2017-03-13,24.42619080176543,14.422743677496674,27.010972666919766,24.42619080176543,24.42619080176543,-3.3800752144034867,-3.3800752144034867,-3.3800752144034867,0.11978000915669548,0.11978000915669548,0.11978000915669548,-3.499855223560182,-3.499855223560182,-3.499855223560182,0.0,0.0,0.0,21.046115587361943
2017-03-14,24.36232252537749,14.830179431604053,26.501741361045717,24.36232252537749,24.36232252537749,-3.4180791926973395,-3.4180791926973395,-3.4180791926973395,0.19013391573630392,0.19013391573630392,0.19013391573630392,-3.6082131084336435,-3.6082131084336435,-3.6082131084336435,0.0,0.0,0.0,20.944243332680152
2017-03-15,24.29845424898955,14.229584511870481,26.523088340842374,24.29845424898955,24.29845424898955,-3.5267376726596584,-3.5267376726596584,-3.5267376726596584,0.1690193639811048,0.1690193639811048,0.1690193639811048,-3.6957570366407633,-3.6957570366407633,-3.6957570366407633,0.0,0.0,0.0,20.771716576329894
2017-03-16,24.23458597260161,14.68883984887621,26.717103569813922,24.23458597260161,24.23458597260161,-3.6066247987216355,-3.6066247987216355,-3.6066247987216355,0.15640750916137056,0.15640750916137056,0.15640750916137056,-3.7630323078830057,-3.7630323078830057,-3.7630323078830057,0.0,0.0,0.0,20.627961173879974
2017-03-17,24.17071769621367,14.671526761960564,26.606815966092828,24.17071769621367,24.17071769621367,-3.4871226106808404,-3.4871226106808404,-3.4871226106808404,0.3237081173054348,0.3237081173054348,0.3237081173054348,-3.810830727986275,-3.810830727986275,-3.810830727986275,0.0,0.0,0.0,20.68359508553283
2017-03-20,23.979112867049853,14.416836602810141,26.460448688271597,23.979112867049853,23.979112867049853,-3.7284258160369688,-3.7284258160369688,-3.7284258160369688,0.11978000915648003,0.11978000915648003,0.11978000915648003,-3.8482058251934492,-3.8482058251934492,-3.8482058251934492,0.0,0.0,0.0,20.250687051012886
2017-03-21,23.915244590661914,14.08704141696211,26.439124407117845,23.915244590661914,23.915244590661914,-3.639517029024241,-3.639517029024241,-3.639517029024241,0.1901339157363918,0.1901339157363918,0.1901339157363918,-3.8296509447606324,-3.8296509447606324,-3.8296509447606324,0.0,0.0,0.0,20.275727561637673
