Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
2020-09-16,245.0,319.0,231.11,253.93,36099700,253.93,,,,,1d
2020-09-17,230.76,241.5,215.24,227.54,11907500,227.54,253.93,-26.39,-0.1,-10.39,1d
2020-09-18,235.0,249.0,218.59,240.0,7475400,240.0,227.54,12.46,0.05,5.48,1d
2020-09-21,230.0,241.5,218.6,228.85,5524900,228.85,240.0,-11.15,-0.05,-4.65,1d
2020-09-22,238.5,239.0,225.15,235.16,3889100,235.16,228.85,6.31,0.03,2.76,1d
2020-09-23,243.5,254.8,213.0,217.39,5851900,217.39,235.16,-17.77,-0.08,-7.56,1d
2020-09-24,213.51,230.95,208.55,226.74,4822000,226.74,217.39,9.35,0.04,4.3,1d
2020-09-25,228.12,236.26,227.9,229.0,1985500,229.0,226.74,2.26,0.01,1.0,1d
2020-09-28,235.93,253.0,235.93,250.41,4241900,250.41,229.0,21.41,0.09,9.35,1d
2020-09-29,255.0,259.7,246.03,259.13,5290600,259.13,250.41,8.72,0.03,3.48,1d
2020-09-30,261.5,278.26,243.05,251.0,5418900,251.0,259.13,-8.13,-0.03,-3.14,1d
2020-10-01,255.25,255.91,238.0,243.46,3977400,243.46,251.0,-7.54,-0.03,-3.0,1d
2020-10-02,232.44,243.12,227.0,227.1,2726200,227.1,243.46,-16.36,-0.07,-6.72,1d
2020-10-05,231.97,243.43,231.2,240.0,2362100,240.0,227.1,12.9,0.06,5.68,1d
2020-10-06,244.18,247.99,239.0,245.1,1572800,245.1,240.0,5.1,0.02,2.13,1d
2020-10-07,245.5,252.36,245.29,246.0,1682800,246.0,245.1,0.9,0.0,0.37,1d
2020-10-08,250.0,250.0,239.99,240.19,1343800,240.19,246.0,-5.81,-0.02,-2.36,1d
2020-10-09,242.0,243.7,235.47,238.0,1728000,238.0,240.19,-2.19,-0.01,-0.91,1d
2020-10-12,250.32,251.5,243.0,243.97,3138900,243.97,238.0,5.97,0.03,2.51,1d
2020-10-13,247.0,250.5,245.27,249.61,1462400,249.61,243.97,5.64,0.02,2.31,1d
2020-10-14,251.99,252.0,239.0,243.18,1707500,243.18,249.61,-6.43,-0.03,-2.58,1d
2020-10-15,236.03,241.35,231.46,241.0,1843600,241.0,243.18,-2.18,-0.01,-0.9,1d
2020-10-16,242.0,245.99,241.59,242.52,1016000,242.52,241.0,1.52,0.01,0.63,1d
2020-10-19,245.0,249.86,243.0,246.78,1535100,246.78,242.52,4.26,0.02,1.76,1d
