Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
"January 03, 2022 09:30 AM",340.49,344.0,324.3,329.18,597130,329.18,,,,,1hr
"January 03, 2022 10:30 AM",329.18,332.74,324.61,326.31,319260,326.31,329.18,-2.87,-0.01,-0.87,1hr
"January 03, 2022 11:30 AM",326.55,327.84,323.43,325.57,283905,325.57,326.31,-0.74,-0.0,-0.23,1hr
"January 03, 2022 12:30 PM",325.58,325.6,322.27,324.3,318959,324.3,325.57,-1.27,-0.0,-0.39,1hr
"January 03, 2022 01:30 PM",324.5,330.49,323.61,330.05,253366,330.05,324.3,5.75,0.02,1.77,1hr
"January 03, 2022 02:30 PM",329.75,332.29,328.06,331.96,282052,331.96,330.05,1.91,0.01,0.58,1hr
"January 03, 2022 03:30 PM",331.88,333.23,330.02,332.01,334829,332.01,331.96,0.05,0.0,0.02,1hr
"January 04, 2022 09:30 AM",330.25,330.51,310.63,313.05,1129172,313.05,332.01,-18.96,-0.06,-5.71,1hr
"January 04, 2022 10:30 AM",312.92,313.76,305.65,308.72,1000520,308.72,313.05,-4.33,-0.01,-1.38,1hr
"January 04, 2022 11:30 AM",308.51,309.08,302.71,303.72,518218,303.72,308.72,-5.0,-0.02,-1.62,1hr
"January 04, 2022 12:30 PM",303.51,303.99,301.53,302.15,398905,302.15,303.72,-1.57,-0.01,-0.52,1hr
"January 04, 2022 01:30 PM",302.14,302.37,298.71,301.1,728778,301.1,302.15,-1.05,-0.0,-0.35,1hr
"January 04, 2022 02:30 PM",300.81,312.8,300.57,312.21,711826,312.21,301.1,11.11,0.04,3.69,1hr
"January 04, 2022 03:30 PM",312.32,316.43,311.82,315.54,838106,315.54,312.21,3.33,0.01,1.07,1hr
"January 05, 2022 09:30 AM",308.4,315.34,302.0,308.57,790359,308.57,315.54,-6.97,-0.02,-2.21,1hr
"January 05, 2022 10:30 AM",308.42,309.7,304.75,306.22,454290,306.22,308.57,-2.35,-0.01,-0.76,1hr
"January 05, 2022 11:30 AM",306.2,307.41,304.8,305.79,279742,305.79,306.22,-0.43,-0.0,-0.14,1hr
"January 05, 2022 12:30 PM",305.58,306.39,303.1,306.11,333289,306.11,305.79,0.31,0.0,0.1,1hr
"January 05, 2022 01:30 PM",305.94,306.18,297.0,297.93,579677,297.93,306.11,-8.18,-0.03,-2.67,1hr
"January 05, 2022 02:30 PM",297.93,298.64,291.56,294.43,900504,294.43,297.93,-3.5,-0.01,-1.17,1hr
"January 05, 2022 03:30 PM",294.29,298.59,294.08,296.69,767602,296.69,294.43,2.26,0.01,0.77,1hr
"January 06, 2022 09:30 AM",294.24,301.44,286.0,294.71,1458569,294.71,296.69,-1.98,-0.01,-0.67,1hr
"January 06, 2022 10:30 AM",295.06,304.0,293.66,301.86,654149,301.86,294.71,7.15,0.02,2.43,1hr
"January 06, 2022 11:30 AM",302.31,305.55,298.58,303.23,442570,303.23,301.86,1.36,0.0,0.45,1hr
"January 06, 2022 12:30 PM",303.48,306.56,300.89,301.49,332141,301.49,303.23,-1.74,-0.01,-0.57,1hr
"January 06, 2022 01:30 PM",301.54,303.13,299.25,300.15,219367,300.15,301.49,-1.34,-0.0,-0.44,1hr
"January 06, 2022 02:30 PM",299.96,302.23,299.16,300.2,209798,300.2,300.15,0.05,0.0,0.02,1hr
"January 06, 2022 03:30 PM",300.21,300.69,296.3,297.0,371259,297.0,300.2,-3.2,-0.01,-1.07,1hr
"January 07, 2022 09:30 AM",296.98,307.57,292.06,299.9,810348,299.9,297.0,2.9,0.01,0.98,1hr
"January 07, 2022 10:30 AM",300.29,302.35,292.21,302.05,558077,302.05,299.9,2.15,0.01,0.72,1hr
"January 07, 2022 11:30 AM",302.05,305.49,300.52,301.12,320184,301.12,302.05,-0.93,-0.0,-0.31,1hr
"January 07, 2022 12:30 PM",301.2,301.89,298.65,299.24,152559,299.24,301.12,-1.88,-0.01,-0.62,1hr
"January 07, 2022 01:30 PM",299.31,301.0,296.74,297.65,138719,297.65,299.24,-1.59,-0.01,-0.53,1hr
"January 07, 2022 02:30 PM",297.43,300.96,297.37,299.39,245174,299.39,297.65,1.74,0.01,0.58,1hr
"January 07, 2022 03:30 PM",299.27,300.58,299.23,299.71,381757,299.71,299.39,0.32,0.0,0.11,1hr
"January 10, 2022 09:30 AM",290.0,291.99,276.66,277.13,1423724,277.13,299.71,-22.58,-0.08,-7.53,1hr
"January 10, 2022 10:30 AM",276.92,282.38,273.83,281.98,1252196,281.98,277.13,4.85,0.02,1.75,1hr
"January 10, 2022 11:30 AM",282.14,285.7,278.81,280.13,574029,280.13,281.98,-1.85,-0.01,-0.66,1hr
"January 10, 2022 12:30 PM",280.23,286.47,279.26,286.15,259657,286.15,280.13,6.02,0.02,2.15,1hr
"January 10, 2022 01:30 PM",286.09,294.73,285.05,294.68,436909,294.68,286.15,8.53,0.03,2.98,1hr
"January 10, 2022 02:30 PM",294.7,296.48,290.53,294.23,453847,294.23,294.68,-0.45,-0.0,-0.15,1hr
"January 10, 2022 03:30 PM",294.19,303.09,292.95,302.75,812772,302.75,294.23,8.52,0.03,2.9,1hr
"January 11, 2022 09:30 AM",296.26,308.55,293.33,302.79,924870,302.79,302.75,0.04,0.0,0.01,1hr
"January 11, 2022 10:30 AM",302.79,303.96,297.32,303.23,524083,303.23,302.79,0.45,0.0,0.15,1hr
"January 11, 2022 11:30 AM",303.23,306.25,301.51,301.57,439163,301.57,303.23,-1.66,-0.01,-0.55,1hr
"January 11, 2022 12:30 PM",301.54,302.95,300.35,302.58,206782,302.58,301.57,1.01,0.0,0.34,1hr
"January 11, 2022 01:30 PM",302.64,305.24,302.08,303.76,239704,303.76,302.58,1.18,0.0,0.39,1hr
"January 11, 2022 02:30 PM",303.64,305.28,302.34,303.3,258805,303.3,303.76,-0.46,-0.0,-0.15,1hr
"January 11, 2022 03:30 PM",303.69,304.31,300.93,301.12,318678,301.12,303.3,-2.18,-0.01,-0.72,1hr
"January 12, 2022 09:30 AM",316.0,316.0,304.66,312.01,1351013,312.01,301.12,10.89,0.04,3.62,1hr
"January 12, 2022 10:30 AM",312.12,312.12,303.41,307.22,622408,307.22,312.01,-4.79,-0.02,-1.54,1hr
"January 12, 2022 11:30 AM",307.39,309.99,306.73,309.29,245975,309.29,307.22,2.07,0.01,0.67,1hr
"January 12, 2022 12:30 PM",309.33,313.1,308.43,309.35,282721,309.35,309.29,0.06,0.0,0.02,1hr
"January 12, 2022 01:30 PM",309.0,309.99,306.92,308.41,165391,308.41,309.35,-0.94,-0.0,-0.3,1hr
"January 12, 2022 02:30 PM",308.26,308.31,305.54,306.49,237170,306.49,308.41,-1.92,-0.01,-0.62,1hr
"January 12, 2022 03:30 PM",306.49,308.33,305.68,307.02,449702,307.02,306.49,0.53,0.0,0.17,1hr
"January 13, 2022 09:30 AM",308.64,308.99,298.88,300.4,476122,300.4,307.02,-6.62,-0.02,-2.16,1hr
"January 13, 2022 10:30 AM",300.17,300.48,291.04,299.07,734941,299.07,300.4,-1.33,-0.0,-0.44,1hr
"January 13, 2022 11:30 AM",299.0,300.05,293.01,293.51,385716,293.51,299.07,-5.56,-0.02,-1.86,1hr
"January 13, 2022 12:30 PM",293.01,297.95,292.05,296.76,375303,296.76,293.51,3.25,0.01,1.11,1hr
"January 13, 2022 01:30 PM",296.56,298.6,295.06,295.98,218831,295.98,296.76,-0.78,-0.0,-0.26,1hr
"January 13, 2022 02:30 PM",295.7,297.79,293.43,296.05,391183,296.05,295.98,0.07,0.0,0.03,1hr
"January 13, 2022 03:30 PM",296.23,297.16,291.15,291.72,395440,291.72,296.05,-4.33,-0.01,-1.46,1hr
"January 14, 2022 09:30 AM",287.69,297.38,287.0,288.54,629459,288.54,291.72,-3.18,-0.01,-1.09,1hr
"January 14, 2022 10:30 AM",288.5,288.5,283.12,285.98,603708,285.98,288.54,-2.55,-0.01,-0.88,1hr
