Datetime,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval,Numbers,prePred
"May 18, 2022 09:30 AM",142.45,142.45,140.61,141.0,149419,141.0,,,,,1min,0,141.9
"May 18, 2022 09:31 AM",141.15,141.98,140.8,141.41,24090,141.41,141.0,0.41,0.0,0.29,1min,1,141.88
"May 18, 2022 09:32 AM",141.29,142.69,141.27,141.55,36900,141.55,141.41,0.14,0.0,0.1,1min,2,141.86
"May 18, 2022 09:33 AM",141.8,143.5,141.79,143.05,29449,143.05,141.55,1.5,0.01,1.06,1min,3,141.85
"May 18, 2022 09:34 AM",142.94,143.9,142.03,142.32,31450,142.32,143.05,-0.73,-0.01,-0.51,1min,4,141.83
"May 18, 2022 09:35 AM",142.33,142.64,141.2,142.64,36385,142.64,142.32,0.32,0.0,0.22,1min,5,141.81
"May 18, 2022 09:36 AM",142.67,143.32,141.45,141.45,26231,141.45,142.64,-1.19,-0.01,-0.83,1min,6,141.8
"May 18, 2022 09:37 AM",141.55,142.51,141.21,142.51,18250,142.51,141.45,1.06,0.01,0.75,1min,7,141.78
"May 18, 2022 09:38 AM",142.05,142.97,142.04,142.56,20717,142.56,142.51,0.05,0.0,0.04,1min,8,141.76
"May 18, 2022 09:39 AM",142.5,142.5,140.61,141.15,18401,141.15,142.56,-1.41,-0.01,-0.99,1min,9,141.74
"May 18, 2022 09:40 AM",141.14,141.51,140.12,140.5,31973,140.5,141.15,-0.65,-0.0,-0.46,1min,10,141.73
"May 18, 2022 09:41 AM",140.5,140.7,139.05,139.37,45790,139.37,140.5,-1.13,-0.01,-0.8,1min,11,141.71
"May 18, 2022 09:42 AM",139.54,139.75,138.47,138.65,20476,138.65,139.37,-0.72,-0.01,-0.52,1min,12,141.69
"May 18, 2022 09:43 AM",138.71,139.43,138.3,139.42,16187,139.42,138.65,0.77,0.01,0.56,1min,13,141.68
"May 18, 2022 09:44 AM",139.31,139.65,138.74,139.24,17069,139.24,139.42,-0.18,-0.0,-0.13,1min,14,141.66
"May 18, 2022 09:45 AM",139.52,140.58,139.39,140.0,54864,140.0,139.24,0.76,0.01,0.54,1min,15,141.64
"May 18, 2022 09:46 AM",139.93,139.93,138.88,139.78,23754,139.78,140.0,-0.22,-0.0,-0.16,1min,16,141.63
"May 18, 2022 09:47 AM",139.74,141.15,139.73,141.15,12389,141.15,139.78,1.37,0.01,0.98,1min,17,141.61
"May 18, 2022 09:48 AM",141.17,141.5,139.96,140.58,11469,140.58,141.15,-0.57,-0.0,-0.41,1min,18,141.59
"May 18, 2022 09:49 AM",140.19,140.79,139.75,140.14,11729,140.14,140.58,-0.44,-0.0,-0.31,1min,19,141.58
"May 18, 2022 09:50 AM",140.38,140.38,139.15,139.15,16380,139.15,140.14,-0.99,-0.01,-0.71,1min,20,141.56
"May 18, 2022 09:51 AM",139.14,140.58,138.96,140.27,14572,140.27,139.15,1.12,0.01,0.81,1min,21,141.54
