Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
"April 19, 2022",193.84,202.49,190.1,197.43,4517400,197.43,,,,,1mo
"April 20, 2022",199.49,199.49,185.39,185.98,4713100,185.98,197.43,-11.45,-0.06,-5.8,1mo
"April 21, 2022",188.93,193.41,174.68,175.14,5417300,175.14,185.98,-10.84,-0.06,-5.83,1mo
"April 22, 2022",178.78,181.18,172.76,173.8,3986600,173.8,175.14,-1.34,-0.01,-0.77,1mo
"April 25, 2022",176.0,190.79,175.2,186.94,7585600,186.94,173.8,13.14,0.08,7.56,1mo
"April 26, 2022",185.42,186.85,176.79,178.76,5078100,178.76,186.94,-8.18,-0.04,-4.38,1mo
"April 27, 2022",183.65,188.63,173.8,174.95,5688300,174.95,178.76,-3.81,-0.02,-2.13,1mo
"April 28, 2022",179.0,187.66,172.35,185.71,6160900,185.71,174.95,10.76,0.06,6.15,1mo
"April 29, 2022",187.45,195.84,171.12,171.44,6794900,171.44,185.71,-14.27,-0.08,-7.68,1mo
"May 02, 2022",170.31,177.98,167.14,177.76,4614600,177.76,171.44,6.32,0.04,3.69,1mo
"May 03, 2022",176.6,181.09,172.18,176.42,4610000,176.42,177.76,-1.34,-0.01,-0.75,1mo
"May 04, 2022",178.75,187.23,166.67,186.0,6957400,186.0,176.42,9.58,0.05,5.43,1mo
"May 05, 2022",179.59,179.95,162.51,166.18,8838700,166.18,186.0,-19.82,-0.11,-10.66,1mo
"May 06, 2022",164.34,165.69,151.21,155.27,8778500,155.27,166.18,-10.91,-0.07,-6.57,1mo
"May 09, 2022",152.05,155.74,142.05,143.29,9364700,143.29,155.27,-11.98,-0.08,-7.72,1mo
"May 10, 2022",149.4,152.26,132.0,143.76,9287200,143.76,143.29,0.47,0.0,0.33,1mo
"May 11, 2022",139.53,147.36,132.15,132.88,8271600,132.88,143.76,-10.88,-0.08,-7.57,1mo
"May 12, 2022",130.12,146.89,126.01,140.6,9381500,140.6,132.88,7.72,0.06,5.81,1mo
"May 13, 2022",145.1,159.72,145.1,158.36,8530700,158.36,140.6,17.76,0.13,12.63,1mo
"May 16, 2022",155.44,159.15,143.52,144.51,5964500,144.51,158.36,-13.85,-0.09,-8.75,1mo
"May 17, 2022",151.35,153.88,138.34,145.81,7513000,145.81,144.51,1.3,0.01,0.9,1mo
"May 18, 2022",142.45,146.35,134.18,137.76,6221689,137.76,145.81,-8.05,-0.06,-5.52,1mo
