Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
2020-09-14,245.0,319.0,215.24,240.0,55482600,240.0,,,,,1wk
2020-09-21,230.0,254.8,208.55,229.0,22073400,229.0,240.0,-11.0,-0.05,-4.58,1wk
2020-09-28,235.93,278.26,227.0,227.1,21655000,227.1,229.0,-1.9,-0.01,-0.83,1wk
2020-10-05,231.97,252.36,231.2,238.0,8689500,238.0,227.1,10.9,0.05,4.8,1wk
2020-10-12,250.32,252.0,231.46,242.52,9168400,242.52,238.0,4.52,0.02,1.9,1wk
2020-10-19,245.0,301.0,243.0,265.05,17441000,265.05,242.52,22.53,0.09,9.29,1wk
2020-10-26,266.07,276.22,241.5,250.02,13171800,250.02,265.05,-15.03,-0.06,-5.67,1wk
2020-11-02,254.1,274.87,247.0,265.0,6331400,265.0,250.02,14.98,0.06,5.99,1wk
2020-11-09,263.99,265.95,229.98,234.8,9904000,234.8,265.0,-30.2,-0.11,-11.4,1wk
2020-11-16,234.0,273.17,230.25,266.0,8815500,266.0,234.8,31.2,0.13,13.29,1wk
2020-11-23,267.1,334.62,259.1,328.79,9284100,328.79,266.0,62.79,0.24,23.61,1wk
2020-11-30,338.38,395.8,288.0,387.7,39491800,387.7,328.79,58.91,0.18,17.92,1wk
2020-12-07,393.5,429.0,347.26,353.96,39895700,353.96,387.7,-33.74,-0.09,-8.7,1wk
2020-12-14,352.49,357.98,303.54,334.25,45617100,334.25,353.96,-19.71,-0.06,-5.57,1wk
2020-12-21,329.0,359.55,321.3,323.04,15501700,323.04,334.25,-11.21,-0.03,-3.35,1wk
2020-12-28,324.87,327.79,280.73,281.4,17529000,281.4,323.04,-41.64,-0.13,-12.89,1wk
2021-01-04,285.41,325.72,266.41,300.1,40541300,300.1,281.4,18.7,0.07,6.65,1wk
2021-01-11,295.0,313.48,286.21,291.3,18440900,291.3,300.1,-8.8,-0.03,-2.93,1wk
2021-01-18,293.75,295.0,279.0,285.68,9351100,285.68,291.3,-5.62,-0.02,-1.93,1wk
2021-01-25,292.45,296.81,264.0,272.45,14702300,272.45,285.68,-13.23,-0.05,-4.63,1wk
2021-02-01,275.1,318.88,273.38,306.05,18026700,306.05,272.45,33.6,0.12,12.33,1wk
2021-02-08,308.71,327.41,292.34,299.47,14030200,299.47,306.05,-6.58,-0.02,-2.15,1wk
2021-02-15,304.7,304.99,281.3,290.0,8260000,290.0,299.47,-9.47,-0.03,-3.16,1wk
2021-02-22,287.46,287.77,242.98,259.54,15436100,259.54,290.0,-30.46,-0.11,-10.5,1wk
2021-03-01,269.3,280.1,217.82,239.73,47902400,239.73,259.54,-19.81,-0.08,-7.63,1wk
2021-03-08,235.0,241.55,212.29,230.0,31959500,230.0,239.73,-9.73,-0.04,-4.06,1wk
2021-03-15,230.98,242.5,215.26,220.82,25560800,220.82,230.0,-9.18,-0.04,-3.99,1wk
2021-03-22,220.82,235.0,205.07,235.0,24263600,235.0,220.82,14.18,0.06,6.42,1wk
2021-03-29,230.55,237.59,216.26,236.79,14455700,236.79,235.0,1.79,0.01,0.76,1wk
2021-04-05,237.8,242.87,223.73,226.89,16762300,226.89,236.79,-9.9,-0.04,-4.18,1wk
2021-04-12,225.0,243.49,223.79,232.74,12795000,232.74,226.89,5.85,0.03,2.58,1wk
2021-04-19,230.0,239.0,220.5,235.64,9614000,235.64,232.74,2.9,0.01,1.25,1wk
2021-04-26,235.73,241.22,226.0,231.59,9770500,231.59,235.64,-4.05,-0.02,-1.72,1wk
2021-05-03,232.3,232.82,192.41,206.04,20964100,206.04,231.59,-25.55,-0.11,-11.03,1wk
2021-05-10,202.2,210.88,184.71,209.99,27869700,209.99,206.04,3.95,0.02,1.92,1wk
2021-05-17,208.45,236.17,205.45,233.39,25816700,233.39,209.99,23.4,0.11,11.14,1wk
2021-05-24,235.0,246.48,220.0,238.03,35170800,238.03,233.39,4.64,0.02,1.99,1wk
2021-05-31,239.5,248.2,233.36,242.56,14017400,242.56,238.03,4.53,0.02,1.9,1wk
2021-06-07,244.65,255.99,233.75,240.6,25415300,240.6,242.56,-1.96,-0.01,-0.81,1wk
2021-06-14,242.7,250.0,231.52,249.4,24657500,249.4,240.6,8.8,0.04,3.66,1wk
2021-06-21,247.22,253.32,241.65,247.09,26020200,247.09,249.4,-2.31,-0.01,-0.93,1wk
2021-06-28,248.43,251.0,235.72,237.24,12080000,237.24,247.09,-9.85,-0.04,-3.99,1wk
2021-07-05,235.05,272.0,234.78,269.49,19371300,269.49,237.24,32.25,0.14,13.59,1wk
2021-07-12,267.5,275.0,245.5,250.82,19686600,250.82,269.49,-18.67,-0.07,-6.93,1wk
2021-07-19,245.94,271.61,242.01,264.92,11551800,264.92,250.82,14.1,0.06,5.62,1wk
2021-07-26,262.69,274.99,255.0,265.72,11124100,265.72,264.92,0.8,0.0,0.3,1wk
2021-08-02,266.04,285.84,261.54,277.48,20038100,277.48,265.72,11.76,0.04,4.43,1wk
2021-08-09,277.76,291.77,270.73,291.52,14475200,291.52,277.48,14.04,0.05,5.06,1wk
2021-08-16,288.41,292.2,247.88,266.67,22606400,266.67,291.52,-24.85,-0.09,-8.52,1wk
2021-08-23,268.16,307.42,267.3,297.71,32115800,297.71,266.67,31.04,0.12,11.64,1wk
2021-08-30,293.74,310.0,282.2,310.0,31806900,310.0,297.71,12.29,0.04,4.13,1wk
2021-09-06,308.48,324.18,304.27,318.54,18656900,318.54,310.0,8.54,0.03,2.75,1wk
2021-09-13,318.26,328.06,299.61,322.8,38196300,322.8,318.54,4.26,0.01,1.34,1wk
2021-09-20,312.43,322.84,304.14,316.47,13185500,316.47,322.8,-6.33,-0.02,-1.96,1wk
2021-09-27,309.56,315.66,291.62,303.72,11959300,303.72,316.47,-12.75,-0.04,-4.03,1wk
2021-10-04,300.01,325.38,290.01,313.52,10447700,313.52,303.72,9.8,0.03,3.23,1wk
2021-10-11,312.99,338.36,308.55,333.57,11990100,333.57,313.52,20.05,0.06,6.4,1wk
2021-10-18,332.0,344.86,330.7,339.78,12327900,339.78,333.57,6.21,0.02,1.86,1wk
2021-10-25,341.11,356.0,336.0,353.84,8868600,353.84,339.78,14.06,0.04,4.14,1wk
2021-11-01,353.84,365.79,346.36,364.8,9859400,364.8,353.84,10.96,0.03,3.1,1wk
2021-11-08,367.1,386.99,358.92,386.5,10602400,386.5,364.8,21.7,0.06,5.95,1wk
2021-11-15,385.5,405.0,383.67,392.15,15090400,392.15,386.5,5.65,0.01,1.46,1wk
2021-11-22,392.1,392.4,335.05,362.6,14782400,362.6,392.15,-29.55,-0.08,-7.54,1wk
2021-11-29,372.36,378.11,305.61,345.11,36555500,345.11,362.6,-17.49,-0.05,-4.82,1wk
2021-12-06,340.26,375.0,324.0,371.24,17062900,371.24,345.11,26.13,0.08,7.57,1wk
2021-12-13,363.71,377.26,312.0,332.33,23285200,332.33,371.24,-38.91,-0.1,-10.48,1wk
2021-12-20,326.49,362.52,323.06,349.22,8227700,349.22,332.33,16.89,0.05,5.08,1wk
2021-12-27,351.0,358.58,331.18,338.75,7818800,338.75,349.22,-10.47,-0.03,-3.0,1wk
2022-01-03,341.0,344.0,286.0,299.68,19360800,299.68,338.75,-39.07,-0.12,-11.53,1wk
2022-01-10,290.0,316.0,273.83,289.59,18148300,289.59,299.68,-10.09,-0.03,-3.37,1wk
2022-01-17,289.32,298.11,264.7,267.56,13989600,267.56,289.59,-22.03,-0.08,-7.61,1wk
2022-01-24,260.21,281.57,232.83,253.52,26649400,253.52,267.56,-14.04,-0.05,-5.25,1wk
2022-01-31,261.0,286.85,251.0,275.72,17546200,275.72,253.52,22.2,0.09,8.76,1wk
2022-02-07,291.0,329.49,286.77,293.69,24513100,293.69,275.72,17.97,0.07,6.52,1wk
2022-02-14,294.06,306.07,272.63,273.77,15514400,273.77,293.69,-19.92,-0.07,-6.78,1wk
2022-02-21,271.06,282.48,240.1,269.42,14455200,269.42,273.77,-4.35,-0.02,-1.59,1wk
2022-02-28,267.99,274.58,208.05,209.65,64865600,209.65,269.42,-59.77,-0.22,-22.18,1wk
2022-03-07,215.26,219.84,179.93,180.42,33173000,180.42,209.65,-29.23,-0.14,-13.94,1wk
2022-03-14,178.86,225.43,164.29,222.85,48168000,222.85,180.42,42.43,0.24,23.52,1wk
2022-03-21,217.76,231.77,206.06,219.81,26205500,219.81,222.85,-3.04,-0.01,-1.36,1wk
2022-03-28,220.0,246.52,219.01,234.81,29450000,234.81,219.81,15.0,0.07,6.82,1wk
2022-04-04,235.38,243.33,203.08,208.34,26109800,208.34,234.81,-26.47,-0.11,-11.27,1wk
2022-04-11,207.4,222.0,198.56,198.63,21136400,198.63,208.34,-9.71,-0.05,-4.66,1wk
2022-04-18,198.21,202.49,172.76,173.8,22671800,173.8,198.63,-24.83,-0.13,-12.5,1wk
2022-04-25,176.0,195.84,171.12,171.44,31307800,171.44,173.8,-2.36,-0.01,-1.36,1wk
2022-05-02,170.31,187.23,151.21,155.27,33799200,155.27,171.44,-16.17,-0.09,-9.43,1wk
2022-05-09,152.05,159.72,126.01,158.36,44835700,158.36,155.27,3.09,0.02,1.99,1wk
2022-05-16,155.44,159.15,138.34,145.81,13477500,145.81,158.36,-12.55,-0.08,-7.92,1wk
2022-05-18,142.45,146.35,134.18,137.76,6221689,137.76,145.81,-8.05,-0.06,-5.52,1wk
