Datetime,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
"May 18, 2022 09:30 AM",142.45,143.9,140.61,142.32,271308,142.32,,,,,5min
"May 18, 2022 09:35 AM",142.33,143.32,140.61,141.15,119984,141.15,142.32,-1.17,-0.01,-0.82,5min
"May 18, 2022 09:40 AM",141.14,141.51,138.3,139.24,131495,139.24,141.15,-1.91,-0.01,-1.35,5min
"May 18, 2022 09:45 AM",139.52,141.5,138.88,140.14,114205,140.14,139.24,0.89,0.01,0.64,5min
"May 18, 2022 09:50 AM",140.38,142.58,138.96,141.54,110914,141.54,140.14,1.4,0.01,1.0,5min
"May 18, 2022 09:55 AM",140.9,141.56,139.27,139.79,105598,139.79,141.54,-1.74,-0.01,-1.23,5min
"May 18, 2022 10:00 AM",139.76,142.53,139.63,141.98,82556,141.98,139.79,2.18,0.02,1.56,5min
"May 18, 2022 10:05 AM",141.94,146.35,141.94,144.07,206731,144.07,141.98,2.1,0.01,1.48,5min
"May 18, 2022 10:10 AM",143.83,144.9,142.38,144.49,90240,144.49,144.07,0.41,0.0,0.29,5min
"May 18, 2022 10:15 AM",144.52,144.97,143.23,144.35,81324,144.35,144.49,-0.13,-0.0,-0.09,5min
"May 18, 2022 10:20 AM",144.2,145.23,142.74,143.43,81242,143.43,144.35,-0.92,-0.01,-0.64,5min
"May 18, 2022 10:25 AM",143.08,144.0,141.88,141.88,61875,141.88,143.43,-1.55,-0.01,-1.08,5min
"May 18, 2022 10:30 AM",141.78,142.73,141.6,142.13,65139,142.13,141.88,0.25,0.0,0.18,5min
"May 18, 2022 10:35 AM",142.12,143.0,141.8,143.0,68806,143.0,142.13,0.87,0.01,0.61,5min
"May 18, 2022 10:40 AM",143.08,143.35,142.03,142.52,69482,142.52,143.0,-0.48,-0.0,-0.33,5min
"May 18, 2022 10:45 AM",142.4,143.73,141.85,143.46,62470,143.46,142.52,0.93,0.01,0.65,5min
"May 18, 2022 10:50 AM",143.48,143.62,142.36,143.19,48576,143.19,143.46,-0.27,-0.0,-0.19,5min
"May 18, 2022 10:55 AM",142.86,144.0,142.16,143.8,63617,143.8,143.19,0.61,0.0,0.43,5min
"May 18, 2022 11:00 AM",143.93,144.06,143.19,143.63,70032,143.63,143.8,-0.17,-0.0,-0.12,5min
"May 18, 2022 11:05 AM",143.34,143.75,142.41,142.65,65488,142.65,143.63,-0.98,-0.01,-0.68,5min
"May 18, 2022 11:10 AM",142.65,142.69,141.69,141.77,44716,141.77,142.65,-0.88,-0.01,-0.62,5min
"May 18, 2022 11:15 AM",141.76,142.29,140.15,140.15,76088,140.15,141.77,-1.62,-0.01,-1.14,5min
"May 18, 2022 11:20 AM",140.26,140.35,139.14,139.56,109670,139.56,140.15,-0.59,-0.0,-0.42,5min
"May 18, 2022 11:25 AM",139.56,139.74,138.43,138.74,73924,138.74,139.56,-0.82,-0.01,-0.58,5min
"May 18, 2022 11:30 AM",138.73,138.76,137.61,138.65,86048,138.65,138.74,-0.09,-0.0,-0.06,5min
"May 18, 2022 11:35 AM",138.7,139.23,137.64,139.21,89429,139.21,138.65,0.56,0.0,0.4,5min
"May 18, 2022 11:40 AM",139.07,140.0,139.06,139.97,49765,139.97,139.21,0.76,0.01,0.54,5min
"May 18, 2022 11:45 AM",139.85,139.85,138.65,138.95,49814,138.95,139.97,-1.02,-0.01,-0.73,5min
"May 18, 2022 11:50 AM",138.95,139.3,137.81,137.81,48476,137.81,138.95,-1.14,-0.01,-0.82,5min
"May 18, 2022 11:55 AM",137.81,138.61,137.75,138.15,49887,138.15,137.81,0.34,0.0,0.25,5min
"May 18, 2022 12:00 PM",138.09,138.27,137.51,137.67,40931,137.67,138.15,-0.48,-0.0,-0.35,5min
"May 18, 2022 12:05 PM",137.78,137.85,136.32,136.36,63416,136.36,137.67,-1.31,-0.01,-0.95,5min
"May 18, 2022 12:10 PM",136.31,137.1,135.78,136.99,106158,136.99,136.36,0.63,0.0,0.46,5min
"May 18, 2022 12:15 PM",136.94,138.0,136.91,137.82,48013,137.82,136.99,0.83,0.01,0.61,5min
"May 18, 2022 12:20 PM",137.82,137.99,136.7,137.03,56083,137.03,137.82,-0.79,-0.01,-0.58,5min
"May 18, 2022 12:25 PM",137.13,137.67,136.97,137.29,34662,137.29,137.03,0.26,0.0,0.19,5min
"May 18, 2022 12:30 PM",137.39,137.4,136.71,137.27,32307,137.27,137.29,-0.02,-0.0,-0.02,5min
"May 18, 2022 12:35 PM",137.46,137.66,136.9,137.25,40132,137.25,137.27,-0.02,-0.0,-0.01,5min
"May 18, 2022 12:40 PM",137.38,137.47,136.67,137.07,57590,137.07,137.25,-0.18,-0.0,-0.13,5min
"May 18, 2022 12:45 PM",136.98,138.46,136.67,138.15,62024,138.15,137.07,1.08,0.01,0.79,5min
"May 18, 2022 12:50 PM",138.16,138.42,137.63,137.82,69988,137.82,138.15,-0.33,-0.0,-0.24,5min
"May 18, 2022 12:55 PM",137.9,138.2,137.5,138.19,85460,138.19,137.82,0.37,0.0,0.27,5min
"May 18, 2022 01:00 PM",138.1,138.15,137.05,137.16,42078,137.16,138.19,-1.03,-0.01,-0.75,5min
"May 18, 2022 01:05 PM",137.16,137.16,135.81,135.81,98748,135.81,137.16,-1.35,-0.01,-0.98,5min
