ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2020-09-16,233.2150762456032,203.65956859419813,254.7671161666181,233.2150762456032,233.2150762456032,-4.061933981030488,-4.061933981030488,-4.061933981030488,-4.061933981030488,-4.061933981030488,-4.061933981030488,0.0,0.0,0.0,229.15314226457272
2020-09-17,234.13741531081203,205.91682056453237,255.44697620448986,234.13741531081203,234.13741531081203,-3.4713630856614692,-3.4713630856614692,-3.4713630856614692,-3.4713630856614692,-3.4713630856614692,-3.4713630856614692,0.0,0.0,0.0,230.66605222515057
2020-09-18,235.0597543760209,205.42925907308725,256.6453153195716,235.0597543760209,235.0597543760209,-3.5212504282652035,-3.5212504282652035,-3.5212504282652035,-3.5212504282652035,-3.5212504282652035,-3.5212504282652035,0.0,0.0,0.0,231.5385039477557
2020-09-21,237.82677157164744,207.46889172968764,260.5095053825936,237.82677157164744,237.82677157164744,-4.483951536058652,-4.483951536058652,-4.483951536058652,-4.483951536058652,-4.483951536058652,-4.483951536058652,0.0,0.0,0.0,233.3428200355888
2020-09-22,238.7491106368563,209.62567430146092,260.0821553576332,238.7491106368563,238.7491106368563,-3.009549754284765,-3.009549754284765,-3.009549754284765,-3.009549754284765,-3.009549754284765,-3.009549754284765,0.0,0.0,0.0,235.73956088257154
2020-09-23,239.67144970206513,209.28611875889965,262.0726225061628,239.67144970206513,239.67144970206513,-4.061933981030256,-4.061933981030256,-4.061933981030256,-4.061933981030256,-4.061933981030256,-4.061933981030256,0.0,0.0,0.0,235.60951572103488
2020-09-24,240.593788767274,212.42423110059326,261.19625008849005,240.593788767274,240.593788767274,-3.4713630856573814,-3.4713630856573814,-3.4713630856573814,-3.4713630856573814,-3.4713630856573814,-3.4713630856573814,0.0,0.0,0.0,237.12242568161662
2020-09-25,241.51612783248282,212.80916214614433,263.1836925339844,241.51612783248282,241.51612783248282,-3.5212504282944566,-3.5212504282944566,-3.5212504282944566,-3.5212504282944566,-3.5212504282944566,-3.5212504282944566,0.0,0.0,0.0,237.99487740418837
2020-09-28,244.2831450281094,214.17244455022742,263.92768020083827,244.2831450281094,244.2831450281094,-4.483951536067701,-4.483951536067701,-4.483951536067701,-4.483951536067701,-4.483951536067701,-4.483951536067701,0.0,0.0,0.0,239.7991934920417
2020-09-29,245.20548409331823,216.29166151576172,268.544895245572,245.20548409331823,245.20548409331823,-3.0095497542858127,-3.0095497542858127,-3.0095497542858127,-3.0095497542858127,-3.0095497542858127,-3.0095497542858127,0.0,0.0,0.0,242.19593433903242
2020-09-30,246.12782315852706,216.07023784083867,268.273961324171,246.12782315852706,246.12782315852706,-4.061933981032004,-4.061933981032004,-4.061933981032004,-4.061933981032004,-4.061933981032004,-4.061933981032004,0.0,0.0,0.0,242.06588917749505
2020-10-01,247.05016222373592,217.98526029626808,269.1698790312384,247.05016222373592,247.05016222373592,-3.4713630856701085,-3.4713630856701085,-3.4713630856701085,-3.4713630856701085,-3.4713630856701085,-3.4713630856701085,0.0,0.0,0.0,243.57879913806582
2020-10-02,247.97250128894476,218.7879579587084,269.12528270746077,247.97250128894476,247.97250128894476,-3.521250428297471,-3.521250428297471,-3.521250428297471,-3.521250428297471,-3.521250428297471,-3.521250428297471,0.0,0.0,0.0,244.4512508606473
2020-10-05,250.7395184845713,218.40820557711194,270.308071614505,250.7395184845713,250.7395184845713,-4.4839515360767495,-4.4839515360767495,-4.4839515360767495,-4.4839515360767495,-4.4839515360767495,-4.4839515360767495,0.0,0.0,0.0,246.25556694849456
2020-10-06,251.66185754872225,224.27903455422958,274.271904684476,251.66185754872225,251.66185754872225,-3.0095497542968297,-3.0095497542968297,-3.0095497542968297,-3.0095497542968297,-3.0095497542968297,-3.0095497542968297,0.0,0.0,0.0,248.6523077944254
2020-10-07,252.58419661287323,224.25284694620794,274.53248359794776,252.58419661287323,252.58419661287323,-4.061933981029791,-4.061933981029791,-4.061933981029791,-4.061933981029791,-4.061933981029791,-4.061933981029791,0.0,0.0,0.0,248.52226263184343
2020-10-08,253.50653567702417,224.39723976654707,275.9813112721145,253.50653567702417,253.50653567702417,-3.4713630856660225,-3.4713630856660225,-3.4713630856660225,-3.4713630856660225,-3.4713630856660225,-3.4713630856660225,0.0,0.0,0.0,250.03517259135816
2020-10-09,254.42887474117515,225.6510673146598,275.52084129648586,254.42887474117515,254.42887474117515,-3.5212504282741524,-3.5212504282741524,-3.5212504282741524,-3.5212504282741524,-3.5212504282741524,-3.5212504282741524,0.0,0.0,0.0,250.907624312901
2020-10-12,257.195891933628,225.59473569762588,278.22469599197206,257.195891933628,257.195891933628,-4.483951536085798,-4.483951536085798,-4.483951536085798,-4.483951536085798,-4.483951536085798,-4.483951536085798,0.0,0.0,0.0,252.71194039754218
2020-10-13,258.11823099777894,228.73431693817068,280.64787556050607,258.11823099777894,258.11823099777894,-3.009549754297876,-3.009549754297876,-3.009549754297876,-3.009549754297876,-3.009549754297876,-3.009549754297876,0.0,0.0,0.0,255.10868124348107
2020-10-14,259.0405700619299,230.5140005557282,279.5867245212462,259.0405700619299,259.0405700619299,-4.061933981030335,-4.061933981030335,-4.061933981030335,-4.061933981030335,-4.061933981030335,-4.061933981030335,0.0,0.0,0.0,254.97863608089955
2020-10-15,259.9629091260809,228.12706882638776,281.18195772887674,259.9629091260809,259.9629091260809,-3.471363085670342,-3.471363085670342,-3.471363085670342,-3.471363085670342,-3.471363085670342,-3.471363085670342,0.0,0.0,0.0,256.4915460404105
2020-10-16,260.8852481902318,230.83508049894738,283.0838505482892,260.8852481902318,260.8852481902318,-3.521250428277166,-3.521250428277166,-3.521250428277166,-3.521250428277166,-3.521250428277166,-3.521250428277166,0.0,0.0,0.0,257.36399776195464
2020-10-19,263.6522653826847,233.42699605973164,283.1784283130303,263.6522653826847,263.6522653826847,-4.483951536084149,-4.483951536084149,-4.483951536084149,-4.483951536084149,-4.483951536084149,-4.483951536084149,0.0,0.0,0.0,259.16831384660054
2020-10-20,264.5746044468356,235.9140807582345,287.1238290628273,264.5746044468356,264.5746044468356,-3.00954975428925,-3.00954975428925,-3.00954975428925,-3.00954975428925,-3.00954975428925,-3.00954975428925,0.0,0.0,0.0,261.56505469254637
2020-10-21,265.49694351098657,235.70277733176798,288.110454859289,265.49694351098657,265.49694351098657,-4.061933981032085,-4.061933981032085,-4.061933981032085,-4.061933981032085,-4.061933981032085,-4.061933981032085,0.0,0.0,0.0,261.43500952995447
2020-10-22,266.4192825751375,237.06379288014963,289.12157203913296,266.4192825751375,266.4192825751375,-3.4713630856614093,-3.4713630856614093,-3.4713630856614093,-3.4713630856614093,-3.4713630856614093,-3.4713630856614093,0.0,0.0,0.0,262.9479194894761
2020-10-23,267.34162163928846,239.3806445740624,290.8158350001697,267.34162163928846,267.34162163928846,-3.521250428267013,-3.521250428267013,-3.521250428267013,-3.521250428267013,-3.521250428267013,-3.521250428267013,0.0,0.0,0.0,263.82037121102144
2020-10-26,270.1086388350895,239.5593761568954,293.00155665814594,270.1086388350895,270.1086388350895,-4.483951536103894,-4.483951536103894,-4.483951536103894,-4.483951536103894,-4.483951536103894,-4.483951536103894,0.0,0.0,0.0,265.6246872989856
2020-10-27,271.0309779003565,242.702574311781,297.220079848236,271.0309779003565,271.0309779003565,-3.0095497542902976,-3.0095497542902976,-3.0095497542902976,-3.0095497542902976,-3.0095497542902976,-3.0095497542902976,0.0,0.0,0.0,268.0214281460662
2020-10-28,271.9533169656235,240.4698549634279,293.719445932018,271.9533169656235,271.9533169656235,-4.0619339810298705,-4.0619339810298705,-4.0619339810298705,-4.0619339810298705,-4.0619339810298705,-4.0619339810298705,0.0,0.0,0.0,267.89138298459363
2020-10-29,272.8756560308905,242.41635926482778,298.61335730248226,272.8756560308905,272.8756560308905,-3.4713630856657294,-3.4713630856657294,-3.4713630856657294,-3.4713630856657294,-3.4713630856657294,-3.4713630856657294,0.0,0.0,0.0,269.40429294522477
2020-10-30,273.79799509615754,244.84562617777163,297.4383187534085,273.79799509615754,273.79799509615754,-3.5212504282700277,-3.5212504282700277,-3.5212504282700277,-3.5212504282700277,-3.5212504282700277,-3.5212504282700277,0.0,0.0,0.0,270.2767446678875
2020-11-02,276.5650122919585,246.47470772169467,295.264895726097,276.5650122919585,276.5650122919585,-4.483951536065823,-4.483951536065823,-4.483951536065823,-4.483951536065823,-4.483951536065823,-4.483951536065823,0.0,0.0,0.0,272.0810607558927
2020-11-03,277.4873513572255,248.42734432782726,302.3312129600686,277.4873513572255,277.4873513572255,-3.0095497542865095,-3.0095497542865095,-3.0095497542865095,-3.0095497542865095,-3.0095497542865095,-3.0095497542865095,0.0,0.0,0.0,274.477801602939
2020-11-04,278.40969042249253,247.7324821912964,301.2632631361824,278.40969042249253,278.40969042249253,-4.06193398103162,-4.06193398103162,-4.06193398103162,-4.06193398103162,-4.06193398103162,-4.06193398103162,0.0,0.0,0.0,274.3477564414609
2020-11-05,279.33202948775954,251.64077822954056,299.49296298388816,279.33202948775954,279.33202948775954,-3.4713630856616433,-3.4713630856616433,-3.4713630856616433,-3.4713630856616433,-3.4713630856616433,-3.4713630856616433,0.0,0.0,0.0,275.8606664020979
2020-11-06,280.25436855302655,250.96935744565903,302.4247456404575,280.25436855302655,280.25436855302655,-3.521250428246709,-3.521250428246709,-3.521250428246709,-3.521250428246709,-3.521250428246709,-3.521250428246709,0.0,0.0,0.0,276.7331181247798
2020-11-09,283.0213857488275,251.750008359799,303.56854378165445,283.0213857488275,283.0213857488275,-4.483951536074873,-4.483951536074873,-4.483951536074873,-4.483951536074873,-4.483951536074873,-4.483951536074873,0.0,0.0,0.0,278.53743421275266
2020-11-10,283.94372481409454,255.25443153455223,306.68688220222174,283.94372481409454,283.94372481409454,-3.009549754297524,-3.009549754297524,-3.009549754297524,-3.009549754297524,-3.009549754297524,-3.009549754297524,0.0,0.0,0.0,280.934175059797
2020-11-11,284.86606387936155,256.64351481984676,307.0505414420961,284.86606387936155,284.86606387936155,-4.0619339810313875,-4.0619339810313875,-4.0619339810313875,-4.0619339810313875,-4.0619339810313875,-4.0619339810313875,0.0,0.0,0.0,280.8041298983302
