Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
1983-11-21,0.0,3.91,3.84,3.88,5177899,0.32,,,,,1d
1983-11-22,0.0,3.88,3.85,3.85,3884616,0.31,0.32,-0.0,-0.01,-0.81,1d
1983-11-23,0.0,3.86,3.82,3.83,2143291,0.31,0.31,-0.0,-0.0,-0.41,1d
1983-11-25,0.0,3.86,3.83,3.84,4475650,0.31,0.31,0.0,0.0,0.21,1d
1983-11-28,0.0,3.85,3.8,3.8,5713325,0.31,0.31,-0.0,-0.01,-1.02,1d
1983-11-29,0.0,3.79,3.74,3.74,3039374,0.31,0.31,-0.01,-0.02,-1.66,1d
1983-11-30,0.0,3.75,3.71,3.71,5174722,0.3,0.31,-0.0,-0.01,-0.63,1d
1983-12-01,0.0,3.76,3.72,3.75,12648437,0.31,0.3,0.0,0.01,1.06,1d
1983-12-02,0.0,3.75,3.73,3.74,2553202,0.31,0.31,-0.0,-0.0,-0.42,1d
1983-12-05,0.0,3.74,3.72,3.72,1987589,0.3,0.31,-0.0,-0.0,-0.42,1d
1983-12-06,0.0,3.73,3.71,3.71,3927514,0.3,0.3,-0.0,-0.0,-0.42,1d
1983-12-07,0.0,3.72,3.67,3.69,8342789,0.3,0.3,-0.0,-0.0,-0.42,1d
1983-12-08,0.0,3.71,3.68,3.69,8574754,0.3,0.3,0.0,0.0,0.0,1d
1983-12-09,0.0,3.69,3.66,3.67,9132422,0.3,0.3,-0.0,-0.01,-0.64,1d
1983-12-12,0.0,3.68,3.67,3.67,4474061,0.3,0.3,0.0,0.0,0.21,1d
1983-12-13,0.0,3.72,3.67,3.71,9666259,0.3,0.3,0.0,0.01,0.86,1d
1983-12-14,0.0,3.76,3.71,3.71,6601464,0.3,0.3,0.0,0.0,0.21,1d
1983-12-15,0.0,3.72,3.68,3.69,4914158,0.3,0.3,-0.0,-0.01,-0.64,1d
1983-12-16,0.0,3.71,3.67,3.69,4410509,0.3,0.3,0.0,0.0,0.0,1d
1983-12-19,0.0,3.7,3.68,3.69,4968178,0.3,0.3,0.0,0.0,0.0,1d
1983-12-20,0.0,3.71,3.68,3.71,3191899,0.3,0.3,0.0,0.0,0.43,1d
1983-12-21,0.0,3.71,3.68,3.71,9906168,0.3,0.3,0.0,0.0,0.21,1d
1983-12-22,0.0,3.72,3.69,3.69,10011029,0.3,0.3,-0.0,-0.01,-0.64,1d
1983-12-23,0.0,3.7,3.67,3.7,5112758,0.3,0.3,0.0,0.0,0.21,1d
1983-12-27,0.0,3.7,3.67,3.69,3371434,0.3,0.3,-0.0,-0.0,-0.21,1d
1983-12-28,0.0,3.73,3.69,3.73,7093992,0.31,0.3,0.0,0.01,1.07,1d
1983-12-29,0.0,3.73,3.71,3.72,5942112,0.3,0.31,-0.0,-0.0,-0.21,1d
1983-12-30,0.0,3.74,3.71,3.71,3870317,0.3,0.3,-0.0,-0.0,-0.42,1d
1984-01-03,0.0,3.85,3.71,3.84,3298349,0.31,0.3,0.01,0.04,3.61,1d
1984-01-04,0.0,4.06,3.88,4.03,8595408,0.33,0.31,0.02,0.05,4.92,1d
1984-01-05,0.0,4.1,4.0,4.01,5363789,0.33,0.33,-0.0,-0.0,-0.39,1d
1984-01-06,0.0,4.03,3.91,3.92,6042206,0.32,0.33,-0.01,-0.02,-2.35,1d
1984-01-09,0.0,3.93,3.88,3.9,4278638,0.32,0.32,-0.0,-0.0,-0.4,1d
1984-01-10,0.0,3.92,3.88,3.9,4354901,0.32,0.32,0.0,0.0,0.0,1d
1984-01-11,0.0,3.96,3.91,3.93,5621174,0.32,0.32,0.0,0.01,0.6,1d
1984-01-12,0.0,3.95,3.91,3.93,3549379,0.32,0.32,0.0,0.0,0.2,1d
1984-01-13,0.0,4.0,3.93,4.0,5357434,0.33,0.32,0.01,0.02,1.6,1d
1984-01-16,0.0,4.11,3.97,4.08,4486771,0.33,0.33,0.01,0.02,1.97,1d
1984-01-17,0.0,4.09,4.05,4.09,3492182,0.33,0.33,0.0,0.0,0.39,1d
1984-01-18,0.0,4.15,4.09,4.15,5911925,0.34,0.33,0.0,0.01,1.35,1d
1984-01-19,0.0,4.15,4.1,4.1,3991066,0.34,0.34,-0.0,-0.01,-1.14,1d
1984-01-20,0.0,4.11,4.07,4.1,3282461,0.34,0.34,0.0,0.0,0.0,1d
1984-01-23,0.0,4.11,4.08,4.09,2343480,0.33,0.34,-0.0,-0.0,-0.19,1d
1984-01-24,0.0,4.12,4.08,4.08,2843952,0.33,0.33,-0.0,-0.0,-0.38,1d
1984-01-25,0.0,4.08,4.0,4.01,2105160,0.33,0.33,-0.01,-0.02,-1.54,1d
1984-01-26,0.0,4.0,3.93,3.93,4065739,0.32,0.33,-0.01,-0.02,-1.96,1d
1984-01-27,0.0,3.95,3.89,3.93,5795942,0.32,0.32,-0.0,-0.0,-0.2,1d
1984-01-30,0.0,4.0,3.92,3.99,6531557,0.33,0.32,0.01,0.02,1.6,1d
1984-01-31,0.0,4.0,3.96,3.96,2910682,0.32,0.33,-0.0,-0.01,-0.79,1d
1984-02-01,0.0,3.98,3.93,3.93,2521426,0.32,0.32,-0.0,-0.01,-0.6,1d
1984-02-02,0.0,3.94,3.91,3.91,5649773,0.32,0.32,-0.0,-0.01,-0.6,1d
1984-02-03,0.0,3.93,3.9,3.92,4299293,0.32,0.32,0.0,0.0,0.2,1d
1984-02-06,0.0,3.92,3.88,3.88,3624053,0.32,0.32,-0.0,-0.01,-1.0,1d
1984-02-07,0.0,3.93,3.83,3.86,4292938,0.32,0.32,-0.0,-0.0,-0.41,1d
1984-02-08,0.0,3.89,3.84,3.85,2653296,0.31,0.32,-0.0,-0.0,-0.41,1d
1984-02-09,0.0,3.83,3.78,3.78,3528725,0.31,0.31,-0.01,-0.02,-1.84,1d
1984-02-10,0.0,3.78,3.74,3.76,2918626,0.31,0.31,-0.0,-0.0,-0.42,1d
1984-02-13,0.0,3.85,3.76,3.84,4429574,0.31,0.31,0.01,0.02,2.09,1d
