Datetime,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
"May 18, 2022 09:30 AM",20.51,20.59,20.37,20.58,3150424,20.58,,,,,15min
"May 18, 2022 09:45 AM",20.58,20.63,20.45,20.49,1874100,20.49,20.58,-0.09,-0.0,-0.44,15min
"May 18, 2022 10:00 AM",20.49,20.54,20.42,20.54,1797902,20.54,20.49,0.05,0.0,0.23,15min
"May 18, 2022 10:15 AM",20.54,20.57,20.43,20.45,1437642,20.45,20.54,-0.09,-0.0,-0.43,15min
"May 18, 2022 10:30 AM",20.44,20.47,20.36,20.4,1725034,20.4,20.45,-0.05,-0.0,-0.24,15min
"May 18, 2022 10:45 AM",20.4,20.43,20.35,20.35,1747254,20.35,20.4,-0.05,-0.0,-0.22,15min
"May 18, 2022 11:00 AM",20.35,20.42,20.33,20.35,2455831,20.35,20.35,0.0,0.0,0.0,15min
"May 18, 2022 11:15 AM",20.35,20.41,20.34,20.35,1146480,20.35,20.35,0.0,0.0,0.0,15min
"May 18, 2022 11:30 AM",20.36,20.44,20.34,20.43,1004390,20.43,20.35,0.08,0.0,0.37,15min
"May 18, 2022 11:45 AM",20.42,20.47,20.39,20.43,1007068,20.43,20.43,0.0,0.0,0.02,15min
"May 18, 2022 12:00 PM",20.43,20.44,20.41,20.42,841452,20.42,20.43,-0.02,-0.0,-0.1,15min
"May 18, 2022 12:15 PM",20.41,20.46,20.37,20.39,864966,20.39,20.42,-0.03,-0.0,-0.15,15min
"May 18, 2022 12:30 PM",20.39,20.4,20.34,20.35,926811,20.35,20.39,-0.04,-0.0,-0.19,15min
"May 18, 2022 12:45 PM",20.34,20.38,20.34,20.35,492910,20.35,20.35,0.01,0.0,0.04,15min
"May 18, 2022 01:00 PM",20.35,20.36,20.29,20.32,918794,20.32,20.35,-0.04,-0.0,-0.2,15min
"May 18, 2022 01:15 PM",20.31,20.34,20.29,20.33,947561,20.33,20.32,0.01,0.0,0.06,15min
"May 18, 2022 01:30 PM",20.33,20.33,20.29,20.31,1030566,20.31,20.33,-0.02,-0.0,-0.1,15min
"May 18, 2022 01:45 PM",20.3,20.31,20.27,20.3,1560262,20.3,20.31,-0.01,-0.0,-0.02,15min
"May 18, 2022 02:00 PM",20.3,20.34,20.29,20.32,997659,20.32,20.3,0.02,0.0,0.1,15min
"May 18, 2022 02:15 PM",20.32,20.35,20.3,20.32,848648,20.32,20.32,0.0,0.0,0.0,15min
"May 18, 2022 02:30 PM",20.32,20.33,20.21,20.22,1169056,20.22,20.32,-0.1,-0.01,-0.52,15min
"May 18, 2022 02:45 PM",20.21,20.24,20.18,20.2,1288225,20.2,20.22,-0.01,-0.0,-0.05,15min
"May 18, 2022 03:00 PM",20.2,20.23,20.18,20.19,1048374,20.19,20.2,-0.01,-0.0,-0.05,15min
"May 18, 2022 03:15 PM",20.19,20.21,20.13,20.14,1171493,20.14,20.19,-0.06,-0.0,-0.28,15min
"May 18, 2022 03:30 PM",20.14,20.24,20.12,20.2,2249089,20.2,20.14,0.06,0.0,0.3,15min
"May 18, 2022 03:45 PM",20.2,20.25,20.16,20.25,5413376,20.25,20.2,0.05,0.0,0.25,15min
"May 18, 2022 04:00 PM",20.23,20.23,20.23,20.23,0,20.23,20.25,-0.02,-0.0,-0.1,15min
