Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
"January 03, 2022 09:30 AM",18.71,19.17,18.71,19.13,14214898,19.13,,,,,1hr
"January 03, 2022 10:30 AM",19.13,19.23,19.05,19.1,8651828,19.1,19.13,-0.03,-0.0,-0.14,1hr
"January 03, 2022 11:30 AM",19.1,19.19,19.08,19.14,6347393,19.14,19.1,0.04,0.0,0.2,1hr
"January 03, 2022 12:30 PM",19.14,19.22,19.12,19.22,4218687,19.22,19.14,0.08,0.0,0.4,1hr
"January 03, 2022 01:30 PM",19.22,19.29,19.18,19.21,5254483,19.21,19.22,-0.01,-0.0,-0.03,1hr
"January 03, 2022 02:30 PM",19.21,19.32,19.21,19.27,5176999,19.27,19.21,0.06,0.0,0.29,1hr
"January 03, 2022 03:30 PM",19.27,19.27,19.18,19.21,7573614,19.21,19.27,-0.06,-0.0,-0.33,1hr
"January 04, 2022 09:30 AM",19.37,19.48,19.21,19.44,12983163,19.44,19.21,0.24,0.01,1.23,1hr
"January 04, 2022 10:30 AM",19.44,19.52,19.37,19.45,9167516,19.45,19.44,0.01,0.0,0.05,1hr
"January 04, 2022 11:30 AM",19.45,19.54,19.41,19.47,6875179,19.47,19.45,0.02,0.0,0.08,1hr
"January 04, 2022 12:30 PM",19.47,19.48,19.42,19.46,4183377,19.46,19.47,-0.0,-0.0,-0.02,1hr
"January 04, 2022 01:30 PM",19.46,19.54,19.44,19.53,4319436,19.53,19.46,0.06,0.0,0.33,1hr
"January 04, 2022 02:30 PM",19.53,19.55,19.44,19.45,5160661,19.45,19.53,-0.08,-0.0,-0.39,1hr
"January 04, 2022 03:30 PM",19.45,19.48,19.34,19.37,6889784,19.37,19.45,-0.09,-0.0,-0.44,1hr
"January 05, 2022 09:30 AM",19.64,19.99,19.64,19.92,19587331,19.92,19.37,0.56,0.03,2.89,1hr
"January 05, 2022 10:30 AM",19.92,20.18,19.9,20.14,15651185,20.14,19.92,0.21,0.01,1.06,1hr
"January 05, 2022 11:30 AM",20.13,20.26,20.0,20.23,11661594,20.23,20.14,0.1,0.0,0.48,1hr
"January 05, 2022 12:30 PM",20.23,20.24,20.14,20.15,8382945,20.15,20.23,-0.08,-0.0,-0.4,1hr
"January 05, 2022 01:30 PM",20.15,20.2,20.07,20.09,8168313,20.09,20.15,-0.06,-0.0,-0.28,1hr
"January 05, 2022 02:30 PM",20.09,20.1,19.92,19.94,10247898,19.94,20.09,-0.15,-0.01,-0.75,1hr
"January 05, 2022 03:30 PM",19.94,19.95,19.79,19.8,11455530,19.8,19.94,-0.15,-0.01,-0.74,1hr
"January 06, 2022 09:30 AM",20.17,20.23,19.62,19.74,18212697,19.74,19.8,-0.05,-0.0,-0.27,1hr
"January 06, 2022 10:30 AM",19.74,19.9,19.68,19.84,11125261,19.84,19.74,0.09,0.0,0.48,1hr
"January 06, 2022 11:30 AM",19.84,19.85,19.74,19.82,5971528,19.82,19.84,-0.02,-0.0,-0.1,1hr
"January 06, 2022 12:30 PM",19.82,19.88,19.81,19.82,4648186,19.82,19.82,0.0,0.0,0.02,1hr
"January 06, 2022 01:30 PM",19.83,19.85,19.72,19.76,5263189,19.76,19.82,-0.06,-0.0,-0.3,1hr
"January 06, 2022 02:30 PM",19.76,19.78,19.71,19.77,6761651,19.77,19.76,0.0,0.0,0.02,1hr
