Datetime,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval,Numbers,prePred
"May 18, 2022 09:30 AM",20.51,20.52,20.5,20.5,153895,20.5,,,,,1min,0,20.51
"May 18, 2022 09:31 AM",20.49,20.5,20.44,20.45,900380,20.45,20.5,-0.05,-0.0,-0.22,1min,1,20.51
"May 18, 2022 09:32 AM",20.45,20.47,20.4,20.42,187561,20.42,20.45,-0.04,-0.0,-0.2,1min,2,20.51
"May 18, 2022 09:33 AM",20.42,20.44,20.39,20.41,126584,20.41,20.42,-0.01,-0.0,-0.05,1min,3,20.51
"May 18, 2022 09:34 AM",20.4,20.46,20.37,20.45,209307,20.45,20.41,0.05,0.0,0.22,1min,4,20.51
"May 18, 2022 09:35 AM",20.44,20.54,20.43,20.52,201936,20.52,20.45,0.07,0.0,0.34,1min,5,20.51
"May 18, 2022 09:36 AM",20.52,20.53,20.47,20.53,121373,20.53,20.52,0.01,0.0,0.05,1min,6,20.5
"May 18, 2022 09:37 AM",20.52,20.56,20.51,20.55,136253,20.55,20.53,0.02,0.0,0.09,1min,7,20.5
"May 18, 2022 09:38 AM",20.54,20.56,20.53,20.55,89459,20.55,20.55,0.0,0.0,0.01,1min,8,20.5
"May 18, 2022 09:39 AM",20.56,20.58,20.54,20.55,140620,20.55,20.55,0.0,0.0,0.0,1min,9,20.5
"May 18, 2022 09:40 AM",20.54,20.55,20.51,20.51,125940,20.51,20.55,-0.04,-0.0,-0.19,1min,10,20.5
"May 18, 2022 09:41 AM",20.52,20.56,20.51,20.51,91756,20.51,20.51,0.0,0.0,0.02,1min,11,20.5
"May 18, 2022 09:42 AM",20.51,20.58,20.51,20.57,195785,20.57,20.51,0.05,0.0,0.24,1min,12,20.5
"May 18, 2022 09:43 AM",20.56,20.59,20.55,20.55,87133,20.55,20.57,-0.02,-0.0,-0.07,1min,13,20.5
"May 18, 2022 09:44 AM",20.55,20.58,20.55,20.58,382442,20.58,20.55,0.03,0.0,0.15,1min,14,20.5
"May 18, 2022 09:45 AM",20.58,20.61,20.56,20.6,199836,20.6,20.58,0.02,0.0,0.12,1min,15,20.5
"May 18, 2022 09:46 AM",20.6,20.63,20.59,20.62,97677,20.62,20.6,0.02,0.0,0.1,1min,16,20.5
"May 18, 2022 09:47 AM",20.62,20.63,20.61,20.61,97539,20.61,20.62,-0.01,-0.0,-0.05,1min,17,20.5
"May 18, 2022 09:48 AM",20.61,20.63,20.59,20.59,133844,20.59,20.61,-0.02,-0.0,-0.12,1min,18,20.49
"May 18, 2022 09:49 AM",20.59,20.61,20.55,20.56,109553,20.56,20.59,-0.03,-0.0,-0.17,1min,19,20.49
"May 18, 2022 09:50 AM",20.55,20.56,20.52,20.52,147085,20.52,20.56,-0.03,-0.0,-0.17,1min,20,20.49
"May 18, 2022 09:51 AM",20.52,20.55,20.51,20.51,147291,20.51,20.52,-0.01,-0.0,-0.02,1min,21,20.49
"May 18, 2022 09:52 AM",20.52,20.52,20.5,20.51,121332,20.51,20.51,0.0,0.0,0.0,1min,22,20.49
"May 18, 2022 09:53 AM",20.51,20.53,20.46,20.47,114147,20.47,20.51,-0.05,-0.0,-0.22,1min,23,20.49
"May 18, 2022 09:54 AM",20.47,20.49,20.45,20.48,183754,20.48,20.47,0.01,0.0,0.02,1min,24,20.49
"May 18, 2022 09:55 AM",20.48,20.5,20.47,20.49,71191,20.49,20.48,0.01,0.0,0.05,1min,25,20.49
"May 18, 2022 09:56 AM",20.48,20.49,20.47,20.47,100648,20.47,20.49,-0.02,-0.0,-0.07,1min,26,20.49
"May 18, 2022 09:57 AM",20.48,20.48,20.45,20.47,162606,20.47,20.47,-0.0,-0.0,-0.02,1min,27,20.49
"May 18, 2022 09:58 AM",20.47,20.48,20.46,20.47,60058,20.47,20.47,0.0,0.0,0.0,1min,28,20.49
"May 18, 2022 09:59 AM",20.47,20.49,20.45,20.49,127539,20.49,20.47,0.02,0.0,0.12,1min,29,20.49
"May 18, 2022 10:00 AM",20.49,20.51,20.48,20.51,188342,20.51,20.49,0.02,0.0,0.1,1min,30,20.48
"May 18, 2022 10:01 AM",20.5,20.5,20.48,20.48,103801,20.48,20.51,-0.03,-0.0,-0.17,1min,31,20.48
"May 18, 2022 10:02 AM",20.48,20.48,20.46,20.48,68647,20.48,20.48,0.0,0.0,0.02,1min,32,20.48
"May 18, 2022 10:03 AM",20.48,20.48,20.46,20.47,52646,20.47,20.48,-0.01,-0.0,-0.07,1min,33,20.48
"May 18, 2022 10:04 AM",20.47,20.48,20.45,20.45,104823,20.45,20.47,-0.01,-0.0,-0.05,1min,34,20.48
"May 18, 2022 10:05 AM",20.45,20.46,20.42,20.42,99994,20.42,20.45,-0.03,-0.0,-0.15,1min,35,20.48
"May 18, 2022 10:06 AM",20.43,20.45,20.42,20.44,194886,20.44,20.42,0.02,0.0,0.1,1min,36,20.48
"May 18, 2022 10:07 AM",20.44,20.47,20.44,20.47,112526,20.47,20.44,0.02,0.0,0.1,1min,37,20.48
"May 18, 2022 10:08 AM",20.47,20.47,20.43,20.44,96116,20.44,20.47,-0.02,-0.0,-0.1,1min,38,20.48
"May 18, 2022 10:09 AM",20.44,20.47,20.43,20.46,125894,20.46,20.44,0.01,0.0,0.07,1min,39,20.48
"May 18, 2022 10:10 AM",20.46,20.49,20.46,20.48,331661,20.48,20.46,0.02,0.0,0.1,1min,40,20.48
"May 18, 2022 10:11 AM",20.48,20.51,20.47,20.5,123350,20.5,20.48,0.02,0.0,0.11,1min,41,20.48
"May 18, 2022 10:12 AM",20.5,20.51,20.49,20.5,72206,20.5,20.5,-0.01,-0.0,-0.04,1min,42,20.47
"May 18, 2022 10:13 AM",20.5,20.52,20.49,20.51,55113,20.51,20.5,0.02,0.0,0.1,1min,43,20.47
"May 18, 2022 10:14 AM",20.51,20.54,20.51,20.54,67897,20.54,20.51,0.02,0.0,0.11,1min,44,20.47
"May 18, 2022 10:15 AM",20.54,20.54,20.52,20.54,89868,20.54,20.54,0.0,0.0,0.01,1min,45,20.47
"May 18, 2022 10:16 AM",20.53,20.57,20.53,20.56,200882,20.56,20.54,0.01,0.0,0.07,1min,46,20.47
"May 18, 2022 10:17 AM",20.55,20.57,20.55,20.56,47641,20.56,20.56,0.01,0.0,0.04,1min,47,20.47
"May 18, 2022 10:18 AM",20.57,20.57,20.55,20.55,89766,20.55,20.56,-0.01,-0.0,-0.06,1min,48,20.47
"May 18, 2022 10:19 AM",20.55,20.56,20.54,20.54,45054,20.54,20.55,-0.01,-0.0,-0.05,1min,49,20.47
"May 18, 2022 10:20 AM",20.53,20.53,20.52,20.52,99482,20.52,20.54,-0.02,-0.0,-0.07,1min,50,20.47
"May 18, 2022 10:21 AM",20.53,20.53,20.51,20.51,70082,20.51,20.52,-0.01,-0.0,-0.07,1min,51,20.47
"May 18, 2022 10:22 AM",20.5,20.51,20.47,20.47,77064,20.47,20.51,-0.04,-0.0,-0.2,1min,52,20.47
"May 18, 2022 10:23 AM",20.47,20.47,20.45,20.45,122783,20.45,20.47,-0.01,-0.0,-0.07,1min,53,20.47
"May 18, 2022 10:24 AM",20.45,20.49,20.45,20.49,134781,20.49,20.45,0.03,0.0,0.15,1min,54,20.46
"May 18, 2022 10:25 AM",20.48,20.49,20.47,20.47,102329,20.47,20.49,-0.02,-0.0,-0.1,1min,55,20.46
"May 18, 2022 10:26 AM",20.47,20.47,20.45,20.45,59517,20.45,20.47,-0.01,-0.0,-0.07,1min,56,20.46
"May 18, 2022 10:27 AM",20.45,20.46,20.43,20.45,144702,20.45,20.45,-0.01,-0.0,-0.03,1min,57,20.46
"May 18, 2022 10:28 AM",20.44,20.46,20.44,20.45,105504,20.45,20.45,0.01,0.0,0.05,1min,58,20.46
"May 18, 2022 10:29 AM",20.45,20.46,20.44,20.45,48187,20.45,20.45,-0.0,-0.0,-0.02,1min,59,20.46
"May 18, 2022 10:30 AM",20.44,20.47,20.44,20.47,66695,20.47,20.45,0.01,0.0,0.07,1min,60,20.46
"May 18, 2022 10:31 AM",20.47,20.47,20.43,20.43,74258,20.43,20.47,-0.03,-0.0,-0.15,1min,61,20.46
"May 18, 2022 10:32 AM",20.43,20.44,20.42,20.43,69366,20.43,20.43,-0.0,-0.0,-0.02,1min,62,20.46
"May 18, 2022 10:33 AM",20.43,20.44,20.43,20.43,23750,20.43,20.43,-0.0,-0.0,-0.0,1min,63,20.46
"May 18, 2022 10:34 AM",20.43,20.45,20.42,20.43,189995,20.43,20.43,0.0,0.0,0.01,1min,64,20.46
"May 18, 2022 10:35 AM",20.43,20.44,20.43,20.43,75456,20.43,20.43,0.0,0.0,0.01,1min,65,20.46
"May 18, 2022 10:36 AM",20.43,20.44,20.42,20.43,77493,20.43,20.43,-0.0,-0.0,-0.02,1min,66,20.45
"May 18, 2022 10:37 AM",20.43,20.44,20.39,20.39,344224,20.39,20.43,-0.04,-0.0,-0.18,1min,67,20.45
"May 18, 2022 10:38 AM",20.4,20.4,20.37,20.38,108559,20.38,20.39,-0.02,-0.0,-0.09,1min,68,20.45
"May 18, 2022 10:39 AM",20.38,20.39,20.36,20.37,224356,20.37,20.38,-0.0,-0.0,-0.02,1min,69,20.45
"May 18, 2022 10:40 AM",20.38,20.39,20.37,20.38,90160,20.38,20.37,0.0,0.0,0.02,1min,70,20.45
"May 18, 2022 10:41 AM",20.38,20.42,20.37,20.42,149961,20.42,20.38,0.04,0.0,0.2,1min,71,20.45
"May 18, 2022 10:42 AM",20.42,20.42,20.39,20.4,86817,20.4,20.42,-0.02,-0.0,-0.1,1min,72,20.45
"May 18, 2022 10:43 AM",20.4,20.41,20.39,20.4,59010,20.4,20.4,0.0,0.0,0.02,1min,73,20.45
"May 18, 2022 10:44 AM",20.4,20.41,20.39,20.4,84934,20.4,20.4,0.0,0.0,0.0,1min,74,20.45
"May 18, 2022 10:45 AM",20.4,20.4,20.38,20.39,116516,20.39,20.4,-0.01,-0.0,-0.07,1min,75,20.45
"May 18, 2022 10:46 AM",20.39,20.42,20.38,20.42,158227,20.42,20.39,0.03,0.0,0.15,1min,76,20.45
"May 18, 2022 10:47 AM",20.42,20.42,20.4,20.41,94522,20.41,20.42,-0.01,-0.0,-0.02,1min,77,20.45
"May 18, 2022 10:48 AM",20.42,20.43,20.4,20.41,137441,20.41,20.41,-0.0,-0.0,-0.02,1min,78,20.45
