Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
"April 19, 2022",19.49,19.64,19.39,19.49,57496000,19.49,,,,,1mo
"April 20, 2022",19.52,19.59,19.3,19.43,48751400,19.43,19.49,-0.06,-0.0,-0.31,1mo
"April 21, 2022",19.68,20.35,19.63,20.21,81259800,20.21,19.43,0.78,0.04,4.01,1mo
"April 22, 2022",20.05,20.05,19.5,19.52,68483600,19.52,20.21,-0.69,-0.03,-3.41,1mo
"April 25, 2022",19.77,19.89,19.11,19.51,71861400,19.51,19.52,-0.01,-0.0,-0.05,1mo
"April 26, 2022",19.45,19.65,19.3,19.3,50825900,19.3,19.51,-0.21,-0.01,-1.08,1mo
"April 27, 2022",19.23,19.36,18.99,19.07,66767000,19.07,19.3,-0.23,-0.01,-1.19,1mo
"April 28, 2022",19.25,19.59,19.1,19.42,67479400,19.42,19.07,0.35,0.02,1.84,1mo
"April 29, 2022",19.36,19.37,18.81,18.86,70195400,18.86,19.42,-0.56,-0.03,-2.88,1mo
"May 02, 2022",19.0,19.39,18.86,19.12,67551600,19.12,18.86,0.26,0.01,1.38,1mo
"May 03, 2022",19.18,19.68,19.04,19.33,62675300,19.33,19.12,0.21,0.01,1.1,1mo
"May 04, 2022",19.28,19.98,19.21,19.95,60771800,19.95,19.33,0.62,0.03,3.21,1mo
"May 05, 2022",19.74,19.99,19.68,19.95,55503900,19.95,19.95,0.0,0.0,0.0,1mo
"May 06, 2022",19.8,20.11,19.66,20.03,51489900,20.03,19.95,0.08,0.0,0.4,1mo
"May 09, 2022",19.98,20.04,19.47,19.55,51563300,19.55,20.03,-0.48,-0.02,-2.4,1mo
"May 10, 2022",19.66,19.85,19.24,19.36,42465900,19.36,19.55,-0.19,-0.01,-0.97,1mo
"May 11, 2022",19.5,19.66,19.29,19.43,50074200,19.43,19.36,0.07,0.0,0.36,1mo
"May 12, 2022",19.4,19.74,19.39,19.72,52687000,19.72,19.43,0.29,0.01,1.49,1mo
"May 13, 2022",19.74,19.86,19.54,19.84,34089300,19.84,19.72,0.12,0.01,0.61,1mo
"May 16, 2022",19.93,20.38,19.68,20.28,40027000,20.28,19.84,0.44,0.02,2.22,1mo
"May 17, 2022",20.4,20.67,20.24,20.57,42938400,20.57,20.28,0.29,0.01,1.43,1mo
"May 18, 2022",20.51,20.63,20.13,20.23,43335000,20.23,20.57,-0.34,-0.02,-1.65,1mo
