Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
1983-11-21,0.0,3.91,3.82,3.84,15681456.0,0.31,,,,,1wk
1983-11-28,0.0,3.85,3.71,3.74,29129060.0,0.31,0.31,-0.01,-0.03,-2.66,1wk
1983-12-05,0.0,3.74,3.66,3.67,31965068.0,0.3,0.31,-0.01,-0.02,-1.89,1wk
1983-12-12,0.0,3.76,3.67,3.69,30066451.0,0.3,0.3,0.0,0.01,0.64,1wk
1983-12-19,0.0,3.72,3.67,3.7,33190032.0,0.3,0.3,0.0,0.0,0.21,1wk
1983-12-26,0.0,3.74,3.67,3.71,20277855.0,0.3,0.3,0.0,0.0,0.21,1wk
1984-01-02,0.0,4.1,3.71,3.92,23299752.0,0.32,0.3,0.02,0.06,5.73,1wk
1984-01-09,0.0,4.0,3.88,4.0,23161526.0,0.33,0.32,0.01,0.02,2.01,1wk
1984-01-16,0.0,4.15,3.97,4.1,21164405.0,0.34,0.33,0.01,0.03,2.56,1wk
1984-01-23,0.0,4.12,3.89,3.93,17154273.0,0.32,0.34,-0.01,-0.04,-4.22,1wk
1984-01-30,0.0,4.0,3.9,3.92,21912731.0,0.32,0.32,-0.0,-0.0,-0.2,1wk
1984-02-06,0.0,3.93,3.74,3.76,17017638.0,0.31,0.32,-0.01,-0.04,-4.02,1wk
1984-02-13,0.0,3.92,3.76,3.81,20759261.0,0.31,0.31,0.0,0.01,1.26,1wk
1984-02-20,0.0,3.86,3.71,3.74,23306107.0,0.31,0.31,-0.01,-0.02,-1.65,1wk
1984-02-27,0.0,3.86,3.71,3.82,21013468.0,0.31,0.31,0.01,0.02,2.1,1wk
1984-03-05,0.0,3.82,3.71,3.75,13670035.0,0.31,0.31,-0.01,-0.02,-1.85,1wk
1984-03-12,0.0,3.78,3.69,3.7,22727784.0,0.3,0.31,-0.0,-0.01,-1.47,1wk
1984-03-19,0.0,3.71,3.61,3.69,34416586.0,0.3,0.3,-0.0,-0.0,-0.21,1wk
1984-03-26,0.0,3.7,3.57,3.6,21499641.0,0.29,0.3,-0.01,-0.02,-2.35,1wk
1984-04-02,0.0,3.62,3.49,3.5,22862832.0,0.3,0.29,0.0,0.0,0.33,1wk
1984-04-09,0.0,3.56,3.49,3.52,20627390.0,0.3,0.3,0.0,0.01,0.67,1wk
1984-04-16,0.0,3.59,3.51,3.56,14812382.0,0.3,0.3,0.0,0.01,0.89,1wk
1984-04-23,0.0,3.74,3.55,3.71,16323332.0,0.31,0.3,0.01,0.04,4.42,1wk
1984-04-30,0.0,3.81,3.66,3.71,31559924.0,0.31,0.31,0.0,0.0,0.0,1wk
1984-05-07,0.0,3.73,3.63,3.63,17284555.0,0.31,0.31,-0.01,-0.02,-2.12,1wk
1984-05-14,0.0,3.63,3.49,3.52,14291256.0,0.3,0.31,-0.01,-0.03,-3.25,1wk
1984-05-21,0.0,3.56,3.48,3.5,11031038.0,0.3,0.3,-0.0,-0.0,-0.45,1wk
1984-05-28,0.0,3.59,3.46,3.58,6525201.0,0.3,0.3,0.01,0.02,2.25,1wk
1984-06-04,0.0,3.64,3.56,3.63,20671878.0,0.31,0.3,0.0,0.01,1.32,1wk
1984-06-11,0.0,3.66,3.56,3.6,12761241.0,0.3,0.31,-0.0,-0.01,-0.87,1wk
1984-06-18,0.0,3.71,3.56,3.67,42107966.0,0.31,0.3,0.01,0.02,2.19,1wk
1984-06-25,0.0,3.61,3.49,3.52,10544865.0,0.3,0.31,-0.01,-0.04,-4.28,1wk
1984-07-02,0.0,3.55,3.49,3.52,7804185.0,0.31,0.3,0.01,0.04,3.51,1wk
1984-07-09,0.0,3.72,3.52,3.7,16626792.0,0.32,0.31,0.02,0.05,4.91,1wk
1984-07-16,3.76,3.78,3.67,3.74,13185451.0,0.33,0.32,0.0,0.01,1.28,1wk
1984-07-23,3.73,3.9,3.7,3.77,16779317.0,0.33,0.33,0.0,0.01,0.63,1wk
1984-07-30,3.76,4.08,3.74,4.01,15902298.0,0.35,0.33,0.02,0.06,6.47,1wk
1984-08-06,4.0,4.0,3.89,3.95,16266135.0,0.34,0.35,-0.01,-0.02,-1.57,1wk
1984-08-13,3.95,3.98,3.91,3.95,7364088.0,0.34,0.34,0.0,0.0,0.0,1wk
1984-08-20,3.95,4.08,3.95,4.0,12820028.0,0.35,0.34,0.0,0.01,1.39,1wk
1984-08-27,3.99,4.02,3.97,4.0,6240808.0,0.35,0.35,-0.0,-0.0,-0.2,1wk
1984-09-03,3.99,4.01,3.95,3.98,16050058.0,0.35,0.35,-0.0,-0.0,-0.39,1wk
1984-09-10,3.97,4.07,3.96,4.05,29144947.0,0.35,0.35,0.01,0.02,1.78,1wk
1984-09-17,4.04,4.15,4.02,4.13,54638832.0,0.36,0.35,0.01,0.02,1.94,1wk
1984-09-24,4.05,4.08,4.01,4.07,13226760.0,0.35,0.36,-0.01,-0.02,-1.52,1wk
1984-10-01,4.07,4.08,4.02,4.03,11391695.0,0.36,0.35,0.01,0.02,1.91,1wk
1984-10-08,4.04,4.07,3.98,4.06,5746689.0,0.36,0.36,0.0,0.01,0.78,1wk
1984-10-15,4.06,4.36,4.05,4.33,12556287.0,0.39,0.36,0.02,0.07,6.59,1wk
1984-10-22,4.32,4.33,4.09,4.12,18229892.0,0.37,0.39,-0.02,-0.05,-4.73,1wk
1984-10-29,4.11,4.15,4.09,4.14,11685624.0,0.37,0.37,0.0,0.0,0.38,1wk
1984-11-05,4.12,4.19,4.11,4.11,11625249.0,0.37,0.37,-0.0,-0.01,-0.76,1wk
1984-11-12,4.11,4.12,4.02,4.11,10800663.0,0.37,0.37,0.0,0.0,0.0,1wk
1984-11-19,4.11,4.28,4.08,4.26,7769232.0,0.38,0.37,0.01,0.04,3.83,1wk
1984-11-26,4.28,4.37,4.19,4.19,15289023.0,0.38,0.38,-0.01,-0.02,-1.66,1wk
1984-12-03,4.2,4.22,4.17,4.18,6293236.0,0.38,0.38,-0.0,-0.0,-0.38,1wk
1984-12-10,4.18,4.28,4.15,4.26,7611942.0,0.38,0.38,0.01,0.02,2.07,1wk
1984-12-17,4.26,4.5,4.26,4.41,15088834.0,0.4,0.38,0.01,0.03,3.32,1wk
