ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1973-02-21,-0.08749714762357268,-22.14535435084795,21.13441844014502,-0.08749714762357268,-0.08749714762357268,-0.6004719318870583,-0.6004719318870583,-0.6004719318870583,-0.08871954433421167,-0.08871954433421167,-0.08871954433421167,-0.5117523875528466,-0.5117523875528466,-0.5117523875528466,0.0,0.0,0.0,-0.6879690795106309
1973-02-22,-0.08692436297924822,-23.886747652919386,20.898448613133493,-0.08692436297924822,-0.08692436297924822,-0.6270710802720563,-0.6270710802720563,-0.6270710802720563,-0.09450871867104972,-0.09450871867104972,-0.09450871867104972,-0.5325623616010066,-0.5325623616010066,-0.5325623616010066,0.0,0.0,0.0,-0.7139954432513045
1973-02-23,-0.08635157833492375,-21.251136661180546,20.05798989398157,-0.08635157833492375,-0.08635157833492375,-0.7009210726686018,-0.7009210726686018,-0.7009210726686018,-0.14642167233495781,-0.14642167233495781,-0.14642167233495781,-0.5544994003336441,-0.5544994003336441,-0.5544994003336441,0.0,0.0,0.0,-0.7872726510035256
1973-02-26,-0.08463322440195038,-21.338463620285047,21.44146879841758,-0.08463322440195038,-0.08463322440195038,-0.7369982440599521,-0.7369982440599521,-0.7369982440599521,-0.1155504517651228,-0.1155504517651228,-0.1155504517651228,-0.6214477922948293,-0.6214477922948293,-0.6214477922948293,0.0,0.0,0.0,-0.8216314684619025
1973-02-27,-0.08406043975762593,-22.271574472308235,20.71414740912047,-0.08406043975762593,-0.08406043975762593,-0.7129298625299263,-0.7129298625299263,-0.7129298625299263,-0.07072576240109686,-0.07072576240109686,-0.07072576240109686,-0.6422041001288293,-0.6422041001288293,-0.6422041001288293,0.0,0.0,0.0,-0.7969903022875522
1973-02-28,-0.08348765511330147,-22.45704076863157,19.843136162294,-0.08348765511330147,-0.08348765511330147,-0.7499572150896124,-0.7499572150896124,-0.7499572150896124,-0.08871954433421685,-0.08871954433421685,-0.08871954433421685,-0.6612376707553955,-0.6612376707553955,-0.6612376707553955,0.0,0.0,0.0,-0.8334448702029139
1973-03-01,-0.08291487046897701,-21.474163328292942,21.325253122909306,-0.08291487046897701,-0.08291487046897701,-0.7725408235234873,-0.7725408235234873,-0.7725408235234873,-0.09450871867107793,-0.09450871867107793,-0.09450871867107793,-0.6780321048524094,-0.6780321048524094,-0.6780321048524094,0.0,0.0,0.0,-0.8554556939924643
1973-03-02,-0.08234208582465256,-21.0411638095159,21.429613088970335,-0.08234208582465256,-0.08234208582465256,-0.838545407588232,-0.838545407588232,-0.838545407588232,-0.14642167233490358,-0.14642167233490358,-0.14642167233490358,-0.6921237352533286,-0.6921237352533286,-0.6921237352533286,0.0,0.0,0.0,-0.9208874934128846
1973-03-05,-0.08062373189167918,-22.39111357399606,20.31462404623828,-0.08062373189167918,-0.08062373189167918,-0.8301185738592619,-0.8301185738592619,-0.8301185738592619,-0.1155504517651316,-0.1155504517651316,-0.1155504517651316,-0.7145681220941303,-0.7145681220941303,-0.7145681220941303,0.0,0.0,0.0,-0.9107423057509411
1973-03-06,-0.08005094724735473,-22.14524953294379,20.184188485530676,-0.08005094724735473,-0.08005094724735473,-0.7853568256113869,-0.7853568256113869,-0.7853568256113869,-0.07072576240109098,-0.07072576240109098,-0.07072576240109098,-0.7146310632102958,-0.7146310632102958,-0.7146310632102958,0.0,0.0,0.0,-0.8654077728587416
1973-03-07,-0.07947816260303027,-21.83083515116363,21.601275805728775,-0.07947816260303027,-0.07947816260303027,-0.7995135827766126,-0.7995135827766126,-0.7995135827766126,-0.08871954433421132,-0.08871954433421132,-0.08871954433421132,-0.7107940384424011,-0.7107940384424011,-0.7107940384424011,0.0,0.0,0.0,-0.8789917453796429
1973-03-08,-0.07890537795870582,-23.684142371959293,19.636410079377995,-0.07890537795870582,-0.07890537795870582,-0.7975809714954379,-0.7975809714954379,-0.7975809714954379,-0.09450871867107076,-0.09450871867107076,-0.09450871867107076,-0.7030722528243671,-0.7030722528243671,-0.7030722528243671,0.0,0.0,0.0,-0.8764863494541437
