ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1997-10-09,2.08181632849111,-9.640357320177747,10.65622230530808,2.08181632849111,2.08181632849111,-1.723671894198489,-1.723671894198489,-1.723671894198489,-0.8016470610426185,-0.8016470610426185,-0.8016470610426185,-0.9220248331558701,-0.9220248331558701,-0.9220248331558701,0.0,0.0,0.0,0.3581444342926212
1997-10-10,2.0971731719628113,-9.299447386679404,10.190359558600429,2.0971731719628113,2.0971731719628113,-1.7693361746211504,-1.7693361746211504,-1.7693361746211504,-0.8818776705622753,-0.8818776705622753,-0.8818776705622753,-0.8874585040588752,-0.8874585040588752,-0.8874585040588752,0.0,0.0,0.0,0.32783699734166083
1997-10-13,2.143243702377914,-9.12579459400048,10.429851757326782,2.143243702377914,2.143243702377914,-1.6908901748903058,-1.6908901748903058,-1.6908901748903058,-0.928100919207121,-0.928100919207121,-0.928100919207121,-0.7627892556831848,-0.7627892556831848,-0.7627892556831848,0.0,0.0,0.0,0.45235352748760826
1997-10-14,2.1586005458496147,-9.058723343745543,9.979028436985331,2.1586005458496147,2.1586005458496147,-1.557578461494397,-1.557578461494397,-1.557578461494397,-0.8410620993040189,-0.8410620993040189,-0.8410620993040189,-0.716516362190378,-0.716516362190378,-0.716516362190378,0.0,0.0,0.0,0.6010220843552176
1997-10-15,2.1739573893213158,-8.758624377964393,10.579606725956877,2.1739573893213158,2.1739573893213158,-1.4462343083127076,-1.4462343083127076,-1.4462343083127076,-0.777144915567546,-0.777144915567546,-0.777144915567546,-0.6690893927451617,-0.6690893927451617,-0.6690893927451617,0.0,0.0,0.0,0.7277230810086082
1997-10-16,2.189314232793017,-8.453096673167584,10.722616047637157,2.189314232793017,2.189314232793017,-1.4228843854791176,-1.4228843854791176,-1.4228843854791176,-0.8016470610435503,-0.8016470610435503,-0.8016470610435503,-0.6212373244355673,-0.6212373244355673,-0.6212373244355673,0.0,0.0,0.0,0.7664298473138993
1997-10-17,2.2046710762647175,-9.28997320389954,10.23458559973286,2.2046710762647175,2.2046710762647175,-1.4555481825991885,-1.4555481825991885,-1.4555481825991885,-0.8818776705601833,-0.8818776705601833,-0.8818776705601833,-0.5736705120390051,-0.5736705120390051,-0.5736705120390051,0.0,0.0,0.0,0.749122893665529
1997-10-20,2.2507416066798207,-9.162445966024302,11.487565984511006,2.2507416066798207,2.2507416066798207,-1.3672784351565361,-1.3672784351565361,-1.3672784351565361,-0.9281009192037174,-0.9281009192037174,-0.9281009192037174,-0.43917751595281884,-0.43917751595281884,-0.43917751595281884,0.0,0.0,0.0,0.8834631715232846
1997-10-21,2.2660984501515213,-8.928795423224859,10.102170116936406,2.2660984501515213,2.2660984501515213,-1.240007640920461,-1.240007640920461,-1.240007640920461,-0.8410620993036869,-0.8410620993036869,-0.8410620993036869,-0.3989455416167741,-0.3989455416167741,-0.3989455416167741,0.0,0.0,0.0,1.0260908092310603
1997-10-22,2.2814552936232224,-8.545827197785787,10.384462139314403,2.2814552936232224,2.2814552936232224,-1.1388958626381074,-1.1388958626381074,-1.1388958626381074,-0.7771449155675358,-0.7771449155675358,-0.7771449155675358,-0.3617509470705715,-0.3617509470705715,-0.3617509470705715,0.0,0.0,0.0,1.142559430985115
1997-10-23,2.296812137094923,-8.500836697017691,10.529018841273988,2.296812137094923,2.296812137094923,-1.1295470287531322,-1.1295470287531322,-1.1295470287531322,-0.8016470610432138,-0.8016470610432138,-0.8016470610432138,-0.32789996770991814,-0.32789996770991814,-0.32789996770991814,0.0,0.0,0.0,1.1672651083417909
