Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
2013-11-07,45.1,50.09,44.0,44.9,117701600,44.9,,,,,1d
2013-11-08,45.93,46.94,40.69,41.65,27925300,41.65,44.9,-3.25,-0.07,-7.24,1d
2013-11-11,40.5,43.0,39.4,42.9,16113900,42.9,41.65,1.25,0.03,3.0,1d
2013-11-12,43.66,43.78,41.83,41.9,6316700,41.9,42.9,-1.0,-0.02,-2.33,1d
2013-11-13,41.03,42.87,40.76,42.6,8688300,42.6,41.9,0.7,0.02,1.67,1d
2013-11-14,42.34,45.67,42.24,44.69,11099400,44.69,42.6,2.09,0.05,4.91,1d
2013-11-15,45.25,45.27,43.43,43.98,8010600,43.98,44.69,-0.71,-0.02,-1.59,1d
2013-11-18,43.5,43.95,40.85,41.14,12810600,41.14,43.98,-2.84,-0.06,-6.46,1d
2013-11-19,41.39,41.9,40.0,41.75,7436600,41.75,41.14,0.61,0.01,1.48,1d
2013-11-20,41.4,41.75,40.51,41.05,5767300,41.05,41.75,-0.7,-0.02,-1.68,1d
2013-11-21,41.25,42.49,40.37,42.06,8324700,42.06,41.05,1.01,0.02,2.46,1d
2013-11-22,41.81,42.28,40.97,41.0,6185200,41.0,42.06,-1.06,-0.03,-2.52,1d
2013-11-25,41.08,41.14,38.8,39.06,14333300,39.06,41.0,-1.94,-0.05,-4.73,1d
2013-11-26,39.16,40.55,38.92,40.18,9828400,40.18,39.06,1.12,0.03,2.87,1d
2013-11-27,40.47,41.4,40.35,40.9,5536300,40.9,40.18,0.72,0.02,1.79,1d
2013-11-29,41.4,41.58,40.9,41.57,4107000,41.57,40.9,0.67,0.02,1.64,1d
2013-12-02,41.79,42.0,40.4,40.78,6424300,40.78,41.57,-0.79,-0.02,-1.9,1d
2013-12-03,40.69,41.6,40.54,41.37,5771000,41.37,40.78,0.59,0.01,1.45,1d
2013-12-04,41.27,43.92,41.27,43.69,11014900,43.69,41.37,2.32,0.06,5.61,1d
2013-12-05,43.45,46.35,42.83,45.62,11729400,45.62,43.69,1.93,0.04,4.42,1d
2013-12-06,45.75,45.8,44.54,44.95,6230000,44.95,45.62,-0.67,-0.01,-1.47,1d
2013-12-09,45.59,49.84,45.02,49.14,17366600,49.14,44.95,4.19,0.09,9.32,1d
2013-12-10,48.9,52.58,48.7,51.99,25792000,51.99,49.14,2.85,0.06,5.8,1d
2013-12-11,52.4,53.87,51.0,52.34,26631500,52.34,51.99,0.35,0.01,0.67,1d
2013-12-12,52.2,55.87,50.69,55.33,23446900,55.33,52.34,2.99,0.06,5.71,1d
2013-12-13,56.2,59.41,55.45,59.0,38979600,59.0,55.33,3.67,0.07,6.63,1d
2013-12-16,57.86,60.24,55.76,56.61,39310800,56.61,59.0,-2.39,-0.04,-4.05,1d
2013-12-17,56.97,57.38,54.62,56.45,22115200,56.45,56.61,-0.16,-0.0,-0.28,1d
2013-12-18,57.0,57.0,54.23,55.51,16659800,55.51,56.45,-0.94,-0.02,-1.67,1d
2013-12-19,55.08,57.75,55.0,57.49,13152500,57.49,55.51,1.98,0.04,3.57,1d
2013-12-20,58.51,60.25,58.01,60.01,26207400,60.01,57.49,2.52,0.04,4.38,1d
2013-12-23,59.85,64.99,59.7,64.54,22163800,64.54,60.01,4.53,0.08,7.55,1d
2013-12-24,66.34,70.87,65.56,69.96,35802700,69.96,64.54,5.42,0.08,8.4,1d
2013-12-26,72.88,74.73,69.13,73.31,82761100,73.31,69.96,3.35,0.05,4.79,1d
2013-12-27,70.1,71.25,63.69,63.75,60418700,63.75,73.31,-9.56,-0.13,-13.04,1d
2013-12-30,60.27,63.71,58.57,60.51,55538300,60.51,63.75,-3.24,-0.05,-5.08,1d
2013-12-31,62.36,65.22,61.65,63.65,27814600,63.65,60.51,3.14,0.05,5.19,1d
2014-01-02,65.0,67.5,64.4,67.5,29246400,67.5,63.65,3.85,0.06,6.05,1d
2014-01-03,69.0,70.43,68.43,69.0,33207200,69.0,67.5,1.5,0.02,2.22,1d
2014-01-06,64.83,66.87,63.5,66.29,27243700,66.29,69.0,-2.71,-0.04,-3.93,1d
2014-01-07,67.67,67.73,61.39,61.46,31748400,61.46,66.29,-4.83,-0.07,-7.29,1d
2014-01-08,58.71,61.26,57.92,59.29,27263200,59.29,61.46,-2.17,-0.04,-3.53,1d
2014-01-09,59.54,60.81,55.59,57.05,31092100,57.05,59.29,-2.24,-0.04,-3.78,1d
2014-01-10,57.5,58.76,55.87,57.0,22375900,57.0,57.05,-0.05,-0.0,-0.09,1d
2014-01-13,59.98,60.38,57.29,57.82,20978100,57.82,57.0,0.82,0.01,1.44,1d
2014-01-14,58.88,59.02,57.36,58.21,14778000,58.21,57.82,0.39,0.01,0.67,1d
2014-01-15,59.11,61.75,58.32,61.57,21537300,61.57,58.21,3.36,0.06,5.77,1d
2014-01-16,61.45,62.4,60.46,60.57,16589400,60.57,61.57,-1.0,-0.02,-1.62,1d
2014-01-17,63.6,64.69,61.59,62.2,28391100,62.2,60.57,1.63,0.03,2.69,1d
2014-01-21,63.33,63.44,61.5,62.53,13733200,62.53,62.2,0.33,0.01,0.53,1d
2014-01-22,63.11,63.8,61.76,62.44,12039000,62.44,62.53,-0.09,-0.0,-0.14,1d
2014-01-23,61.45,62.81,60.88,62.8,10183700,62.8,62.44,0.36,0.01,0.58,1d
2014-01-24,62.17,63.62,61.3,61.74,12942200,61.74,62.8,-1.06,-0.02,-1.69,1d
2014-01-27,61.77,61.77,56.1,57.91,18982700,57.91,61.74,-3.83,-0.06,-6.2,1d
2014-01-28,57.44,60.85,57.35,60.44,9346800,60.44,57.91,2.53,0.04,4.37,1d
2014-01-29,59.62,60.95,58.6,59.45,9140000,59.45,60.44,-0.99,-0.02,-1.64,1d
2014-01-30,63.98,65.24,62.8,63.47,17424300,63.47,59.45,4.02,0.07,6.76,1d
2014-01-31,63.39,65.37,62.65,64.5,15498800,64.5,63.47,1.03,0.02,1.62,1d
2014-02-03,65.92,66.48,64.21,65.25,17890300,65.25,64.5,0.75,0.01,1.16,1d
2014-02-04,66.25,66.37,64.5,66.32,13017400,66.32,65.25,1.07,0.02,1.64,1d
2014-02-05,67.16,67.24,64.8,65.97,31504900,65.97,66.32,-0.35,-0.01,-0.53,1d
2014-02-06,50.61,53.9,49.99,50.03,64856500,50.03,65.97,-15.94,-0.24,-24.16,1d
2014-02-07,51.23,54.92,50.75,54.35,32204400,54.35,50.03,4.32,0.09,8.63,1d
2014-02-10,54.5,54.59,52.34,52.92,15857400,52.92,54.35,-1.43,-0.03,-2.63,1d
2014-02-11,53.2,54.4,53.1,54.0,13162900,54.0,52.92,1.08,0.02,2.04,1d
2014-02-12,55.05,57.0,54.76,56.85,20040400,56.85,54.0,2.85,0.05,5.28,1d
2014-02-13,56.07,58.98,55.46,56.47,26009500,56.47,56.85,-0.38,-0.01,-0.67,1d
2014-02-14,57.02,57.86,56.7,57.44,12512400,57.44,56.47,0.97,0.02,1.72,1d
2014-02-18,57.88,58.64,56.77,58.18,10719500,58.18,57.44,0.74,0.01,1.29,1d
2014-02-19,58.47,58.95,54.62,55.5,25772100,55.5,58.18,-2.68,-0.05,-4.61,1d
2014-02-20,55.82,57.08,54.65,56.63,12097500,56.63,55.5,1.13,0.02,2.04,1d
2014-02-21,57.1,57.2,55.7,55.92,7714300,55.92,56.63,-0.71,-0.01,-1.25,1d
2014-02-24,56.03,56.49,55.3,55.78,8451200,55.78,55.92,-0.14,-0.0,-0.25,1d
2014-02-25,55.89,55.95,54.5,54.96,9288500,54.96,55.78,-0.82,-0.01,-1.47,1d
2014-02-26,55.0,56.99,54.9,55.87,12116000,55.87,54.96,0.91,0.02,1.66,1d
2014-02-27,56.34,56.69,55.4,55.77,6537700,55.77,55.87,-0.1,-0.0,-0.18,1d
2014-02-28,55.93,56.0,54.13,54.91,8137200,54.91,55.77,-0.86,-0.02,-1.54,1d
2014-03-03,53.89,54.4,52.9,53.71,9602300,53.71,54.91,-1.2,-0.02,-2.19,1d
2014-03-04,54.25,55.28,54.12,54.28,6706300,54.28,53.71,0.57,0.01,1.06,1d
2014-03-05,54.53,55.03,53.75,54.38,5672000,54.38,54.28,0.1,0.0,0.18,1d
2014-03-06,54.91,56.09,54.7,54.83,9005700,54.83,54.38,0.45,0.01,0.83,1d
2014-03-07,55.18,55.2,53.31,53.53,7311500,53.53,54.83,-1.3,-0.02,-2.37,1d
2014-03-10,54.09,54.59,53.38,53.88,5759600,53.88,53.53,0.35,0.01,0.65,1d
2014-03-11,54.16,55.84,53.8,54.02,11762600,54.02,53.88,0.14,0.0,0.26,1d
2014-03-12,54.25,55.3,53.88,54.5,5818400,54.5,54.02,0.48,0.01,0.89,1d
2014-03-13,54.9,55.45,53.2,53.57,7671500,53.57,54.5,-0.93,-0.02,-1.71,1d
2014-03-14,53.4,53.91,51.8,51.92,9570400,51.92,53.57,-1.65,-0.03,-3.08,1d
