Datetime,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
2022-04-06 09:30:00,50.03,50.44,49.34,49.48,13911982,49.48,,,,,15min
2022-04-06 09:45:00,49.47,50.56,49.3,50.1,8183566,50.1,49.48,0.63,0.01,1.27,15min
2022-04-06 10:00:00,50.12,50.5,49.62,50.39,6613760,50.39,50.1,0.29,0.01,0.57,15min
2022-04-06 10:15:00,50.4,50.89,50.36,50.7,6823763,50.7,50.39,0.31,0.01,0.61,15min
2022-04-06 10:30:00,50.7,51.87,50.62,51.85,8813467,51.85,50.7,1.15,0.02,2.27,15min
2022-04-06 10:45:00,51.85,52.87,51.73,52.12,13717738,52.12,51.85,0.27,0.01,0.52,15min
2022-04-06 11:00:00,52.13,52.64,52.01,52.37,9340644,52.37,52.12,0.25,0.0,0.48,15min
2022-04-06 11:15:00,52.38,52.74,51.73,51.82,10048985,51.82,52.37,-0.55,-0.01,-1.05,15min
2022-04-06 11:30:00,51.81,51.98,51.57,51.81,7060372,51.81,51.82,-0.01,-0.0,-0.03,15min
2022-04-06 11:45:00,51.81,51.81,51.22,51.58,6192653,51.58,51.81,-0.23,-0.0,-0.44,15min
2022-04-06 12:00:00,51.57,51.7,51.3,51.47,3605881,51.47,51.58,-0.11,-0.0,-0.21,15min
2022-04-06 12:15:00,51.47,51.6,50.85,50.99,4339159,50.99,51.47,-0.48,-0.01,-0.93,15min
2022-04-06 12:30:00,50.98,51.15,50.72,50.73,3395686,50.73,50.99,-0.26,-0.01,-0.5,15min
2022-04-06 12:45:00,50.72,50.88,50.46,50.79,3643226,50.79,50.73,0.06,0.0,0.11,15min
2022-04-06 13:00:00,50.78,51.0,50.69,50.85,2682153,50.85,50.79,0.06,0.0,0.11,15min
2022-04-06 13:15:00,50.84,51.32,50.81,51.05,4095172,51.05,50.85,0.2,0.0,0.4,15min
2022-04-06 13:30:00,51.06,51.18,50.7,51.14,3382774,51.14,51.05,0.09,0.0,0.18,15min
2022-04-06 13:45:00,51.13,51.43,51.03,51.12,4205401,51.12,51.14,-0.02,-0.0,-0.04,15min
2022-04-06 14:00:00,51.12,51.72,50.33,50.6,5787261,50.6,51.12,-0.52,-0.01,-1.02,15min
2022-04-06 14:15:00,50.59,50.83,50.32,50.61,4783364,50.61,50.6,0.01,0.0,0.02,15min
2022-04-06 14:30:00,50.61,51.27,50.6,50.95,5414282,50.95,50.61,0.34,0.01,0.67,15min
2022-04-06 14:45:00,50.95,51.58,50.73,51.25,3674336,51.25,50.95,0.3,0.01,0.6,15min
2022-04-06 15:00:00,51.25,51.5,50.66,50.81,5208584,50.81,51.25,-0.44,-0.01,-0.85,15min
2022-04-06 15:15:00,50.84,51.0,50.33,50.44,3519978,50.44,50.81,-0.38,-0.01,-0.74,15min
2022-04-06 15:30:00,50.43,50.76,50.35,50.63,3886282,50.63,50.44,0.19,0.0,0.38,15min
2022-04-06 15:45:00,50.63,50.9,50.6,50.77,5006504,50.77,50.63,0.14,0.0,0.27,15min
2022-04-06 16:00:00,50.77,50.77,50.77,50.77,0,50.77,50.77,0.0,0.0,0.0,15min
