Datetime,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval,Numbers,prePred
2022-04-06 09:30:00,50.03,50.33,49.78,50.26,5003122,50.26,,,,,1min,0,51.08
2022-04-06 09:31:00,50.26,50.44,50.13,50.32,727182,50.32,50.26,0.06,0.0,0.11,1min,1,51.08
2022-04-06 09:32:00,50.33,50.35,49.45,49.64,1018994,49.64,50.32,-0.68,-0.01,-1.35,1min,2,51.08
2022-04-06 09:33:00,49.61,49.79,49.38,49.48,735591,49.48,49.64,-0.16,-0.0,-0.32,1min,3,51.08
2022-04-06 09:34:00,49.47,49.68,49.34,49.55,719992,49.55,49.48,0.07,0.0,0.15,1min,4,51.08
2022-04-06 09:35:00,49.58,49.77,49.43,49.75,682584,49.75,49.55,0.2,0.0,0.4,1min,5,51.08
2022-04-06 09:36:00,49.76,50.05,49.64,49.89,745524,49.89,49.75,0.14,0.0,0.28,1min,6,51.08
2022-04-06 09:37:00,49.89,49.9,49.6,49.73,440534,49.73,49.89,-0.16,-0.0,-0.32,1min,7,51.08
2022-04-06 09:38:00,49.72,49.94,49.54,49.75,484437,49.75,49.73,0.02,0.0,0.04,1min,8,51.08
2022-04-06 09:39:00,49.77,50.13,49.73,50.05,707858,50.05,49.75,0.3,0.01,0.6,1min,9,51.08
2022-04-06 09:40:00,50.06,50.23,49.96,50.16,585323,50.16,50.05,0.12,0.0,0.23,1min,10,51.08
2022-04-06 09:41:00,50.17,50.18,49.81,49.94,636635,49.94,50.16,-0.22,-0.0,-0.45,1min,11,51.08
2022-04-06 09:42:00,49.95,49.95,49.55,49.62,539776,49.62,49.94,-0.32,-0.01,-0.65,1min,12,51.08
2022-04-06 09:43:00,49.6,49.63,49.42,49.62,514280,49.62,49.62,0.01,0.0,0.02,1min,13,51.08
2022-04-06 09:44:00,49.63,49.65,49.46,49.48,370150,49.48,49.62,-0.15,-0.0,-0.3,1min,14,51.08
2022-04-06 09:45:00,49.47,49.62,49.34,49.53,767253,49.53,49.48,0.06,0.0,0.11,1min,15,51.08
