Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
"April 19, 2022",47.3,48.5,45.0,46.16,125776000,46.16,,,,,1mo
"April 20, 2022",46.34,47.11,45.03,46.72,63360000,46.72,46.16,0.56,0.01,1.21,1mo
"April 21, 2022",45.51,47.94,45.5,47.08,70413600,47.08,46.72,0.36,0.01,0.77,1mo
"April 22, 2022",47.77,49.73,47.49,48.93,76504500,48.93,47.08,1.85,0.04,3.93,1mo
"April 25, 2022",51.02,52.29,50.24,51.7,176803600,51.7,48.93,2.77,0.06,5.66,1mo
"April 26, 2022",51.57,51.62,49.43,49.68,115020400,49.68,51.7,-2.02,-0.04,-3.91,1mo
"April 27, 2022",49.06,49.26,47.82,48.64,59106900,48.64,49.68,-1.04,-0.02,-2.09,1mo
"April 28, 2022",49.01,49.92,47.96,49.11,43816900,49.11,48.64,0.47,0.01,0.97,1mo
"April 29, 2022",49.45,50.25,48.74,49.02,38198200,49.02,49.11,-0.09,-0.0,-0.18,1mo
"May 02, 2022",48.7,49.76,48.57,49.14,32608100,49.14,49.02,0.12,0.0,0.24,1mo
"May 03, 2022",49.15,49.48,48.75,48.87,24773000,48.87,49.14,-0.27,-0.01,-0.55,1mo
"May 04, 2022",48.8,49.25,48.34,49.06,28443000,49.06,48.87,0.19,0.0,0.39,1mo
"May 05, 2022",50.53,51.21,49.81,50.36,60506900,50.36,49.06,1.3,0.03,2.65,1mo
"May 06, 2022",49.96,50.29,49.5,49.8,23403200,49.8,50.36,-0.56,-0.01,-1.11,1mo
"May 09, 2022",49.3,49.44,47.63,47.96,37706800,47.96,49.8,-1.84,-0.04,-3.69,1mo
"May 10, 2022",47.91,48.36,46.5,47.26,23816700,47.26,47.96,-0.7,-0.01,-1.46,1mo
"May 11, 2022",46.95,48.15,45.8,46.09,24815100,46.09,47.26,-1.17,-0.02,-2.48,1mo
"May 12, 2022",45.01,47.47,43.33,45.08,37682200,45.08,46.09,-1.01,-0.02,-2.19,1mo
"May 13, 2022",40.4,42.0,40.01,40.72,101630700,40.72,45.08,-4.36,-0.1,-9.67,1mo
"May 16, 2022",39.17,39.29,37.32,37.39,52310700,37.39,40.72,-3.33,-0.08,-8.18,1mo
"May 17, 2022",37.0,38.87,36.85,38.32,44990300,38.32,37.39,0.93,0.02,2.49,1mo
"May 18, 2022",37.42,38.72,36.58,36.85,23964500,36.85,38.32,-1.47,-0.04,-3.84,1mo
