Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
2013-11-04,45.1,50.09,40.69,41.65,145626900,41.65,,,,,1wk
2013-11-11,40.5,45.67,39.4,43.98,50228900,43.98,41.65,2.33,0.06,5.59,1wk
2013-11-18,43.5,43.95,40.0,41.0,40524400,41.0,43.98,-2.98,-0.07,-6.78,1wk
2013-11-25,41.08,41.58,38.8,41.57,33805000,41.57,41.0,0.57,0.01,1.39,1wk
2013-12-02,41.79,46.35,40.4,44.95,41169600,44.95,41.57,3.38,0.08,8.13,1wk
2013-12-09,45.59,59.41,45.02,59.0,132216600,59.0,44.95,14.05,0.31,31.26,1wk
2013-12-16,57.86,60.25,54.23,60.01,117445700,60.01,59.0,1.01,0.02,1.71,1wk
2013-12-23,59.85,74.73,59.7,63.75,201146300,63.75,60.01,3.74,0.06,6.23,1wk
2013-12-30,60.27,70.43,58.57,69.0,145806500,69.0,63.75,5.25,0.08,8.24,1wk
2014-01-06,64.83,67.73,55.59,57.0,139723300,57.0,69.0,-12.0,-0.17,-17.39,1wk
2014-01-13,59.98,64.69,57.29,62.2,102273900,62.2,57.0,5.2,0.09,9.12,1wk
2014-01-20,63.33,63.8,60.88,61.74,48898100,61.74,62.2,-0.46,-0.01,-0.74,1wk
2014-01-27,61.77,65.37,56.1,64.5,70392600,64.5,61.74,2.76,0.04,4.47,1wk
2014-02-03,65.92,67.24,49.99,54.35,159473500,54.35,64.5,-10.15,-0.16,-15.74,1wk
2014-02-10,54.5,58.98,52.34,57.44,87582600,57.44,54.35,3.09,0.06,5.69,1wk
2014-02-17,57.88,58.95,54.62,55.92,56303400,55.92,57.44,-1.52,-0.03,-2.65,1wk
2014-02-24,56.03,56.99,54.13,54.91,44530600,54.91,55.92,-1.01,-0.02,-1.81,1wk
2014-03-03,53.89,56.09,52.9,53.53,38297800,53.53,54.91,-1.38,-0.03,-2.51,1wk
2014-03-10,54.09,55.84,51.8,51.92,40582500,51.92,53.53,-1.61,-0.03,-3.01,1wk
2014-03-17,52.08,52.49,49.51,50.92,48341600,50.92,51.92,-1.0,-0.02,-1.93,1wk
2014-03-24,50.69,50.94,43.31,47.3,61749100,47.3,50.92,-3.62,-0.07,-7.11,1wk
2014-03-31,47.55,47.75,42.37,43.14,45622100,43.14,47.3,-4.16,-0.09,-8.79,1wk
2014-04-07,42.87,44.6,39.68,40.05,61618800,40.05,43.14,-3.09,-0.07,-7.16,1wk
2014-04-14,41.4,46.55,40.12,45.01,60923300,45.01,40.05,4.96,0.12,12.38,1wk
2014-04-21,44.96,47.09,41.31,41.61,45982400,41.61,45.01,-3.4,-0.08,-7.55,1wk
2014-04-28,41.76,43.97,37.24,39.02,109373800,39.02,41.61,-2.59,-0.06,-6.22,1wk
2014-05-05,38.52,39.6,29.51,32.05,297163100,32.05,39.02,-6.97,-0.18,-17.86,1wk
2014-05-12,33.08,34.1,32.02,32.26,122840800,32.26,32.05,0.21,0.01,0.66,1wk
2014-05-19,32.05,32.44,30.45,30.5,111110100,30.5,32.26,-1.76,-0.05,-5.46,1wk
