Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval,Numbers,prePred
2021-04-07,66.64,69.97,66.08,68.99,23964600,68.99,,,,,1yr,0,71.13
2021-04-08,69.91,71.45,69.28,71.22,16843400,71.22,68.99,2.23,0.03,3.23,1yr,1,70.99
2021-04-09,70.35,71.45,69.91,71.19,15659500,71.19,71.22,-0.03,-0.0,-0.04,1yr,2,70.85
2021-04-12,70.87,71.84,69.65,70.86,9495200,70.86,71.19,-0.33,-0.0,-0.46,1yr,3,70.72
2021-04-13,71.72,72.78,70.73,72.45,9991700,72.45,70.86,1.59,0.02,2.24,1yr,4,70.58
2021-04-14,72.51,73.22,69.5,69.74,12931200,69.74,72.45,-2.71,-0.04,-3.74,1yr,5,70.44
2021-04-15,70.55,71.88,70.17,71.71,11108300,71.71,69.74,1.97,0.03,2.82,1yr,6,70.3
2021-04-16,71.97,72.2,69.68,70.12,9429900,70.12,71.71,-1.59,-0.02,-2.22,1yr,7,70.17
2021-04-19,69.62,69.92,66.77,67.94,18198600,67.94,70.12,-2.18,-0.03,-3.11,1yr,8,70.03
2021-04-20,68.01,68.1,65.22,65.7,14171200,65.7,67.94,-2.24,-0.03,-3.3,1yr,9,69.89
2021-04-21,65.73,67.36,64.7,67.33,11817300,67.33,65.7,1.63,0.02,2.48,1yr,10,69.75
2021-04-22,67.42,67.5,64.08,64.31,16804100,64.31,67.33,-3.02,-0.04,-4.49,1yr,11,69.62
2021-04-23,65.72,67.13,65.43,67.02,12407700,67.02,64.31,2.71,0.04,4.21,1yr,12,69.48
2021-04-26,66.49,67.25,65.85,66.72,11769800,66.72,67.02,-0.3,-0.0,-0.45,1yr,13,69.34
2021-04-27,67.14,68.36,66.0,66.01,10827000,66.01,66.72,-0.71,-0.01,-1.06,1yr,14,69.2
2021-04-28,65.55,66.56,63.74,65.7,13340300,65.7,66.01,-0.31,-0.0,-0.47,1yr,15,69.07
2021-04-29,67.01,67.05,63.99,65.09,31017700,65.09,65.7,-0.61,-0.01,-0.93,1yr,16,68.93
2021-04-30,56.0,57.63,55.05,55.22,88378800,55.22,65.09,-9.87,-0.15,-15.16,1yr,17,68.79
2021-05-03,55.52,55.55,52.67,54.58,79649000,54.58,55.22,-0.64,-0.01,-1.16,1yr,18,68.66
2021-05-04,55.07,55.72,53.16,54.4,30404500,54.4,54.58,-0.18,-0.0,-0.33,1yr,19,68.52
2021-05-05,54.95,54.97,53.32,53.56,19111100,53.56,54.4,-0.84,-0.02,-1.54,1yr,20,68.38
2021-05-06,53.48,53.84,52.34,53.81,19586900,53.81,53.56,0.25,0.0,0.47,1yr,21,68.24
2021-05-07,54.77,54.92,53.37,53.79,21748600,53.79,53.81,-0.02,-0.0,-0.04,1yr,22,68.11
2021-05-10,53.01,53.08,51.62,51.81,17362300,51.81,53.79,-1.98,-0.04,-3.68,1yr,23,67.97
2021-05-11,49.52,53.19,49.2,52.88,16749900,52.88,51.81,1.07,0.02,2.07,1yr,24,67.83
2021-05-12,51.87,52.38,50.06,50.7,17223200,50.7,52.88,-2.18,-0.04,-4.12,1yr,25,67.69
2021-05-13,51.68,51.77,49.12,50.11,14303900,50.11,50.7,-0.59,-0.01,-1.16,1yr,26,67.56
2021-05-14,50.61,51.92,50.19,51.73,9836800,51.73,50.11,1.62,0.03,3.23,1yr,27,67.42
2021-05-17,52.23,52.73,51.28,52.6,21351700,52.6,51.73,0.87,0.02,1.68,1yr,28,67.28
2021-05-18,52.6,55.15,52.42,53.19,23612300,53.19,52.6,0.59,0.01,1.12,1yr,29,67.14
2021-05-19,52.19,53.16,51.67,52.92,21551300,52.92,53.19,-0.27,-0.01,-0.51,1yr,30,67.01
2021-05-20,53.23,54.91,53.22,54.71,12612700,54.71,52.92,1.79,0.03,3.38,1yr,31,66.87
2021-05-21,55.0,55.0,53.94,54.45,12583400,54.45,54.71,-0.26,-0.0,-0.48,1yr,32,66.73
2021-05-24,54.9,57.33,54.66,57.06,25656400,57.06,54.45,2.61,0.05,4.79,1yr,33,66.59
2021-05-25,57.35,57.64,56.54,57.0,13488900,57.0,57.06,-0.06,-0.0,-0.11,1yr,34,66.46
