Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval,Numbers,prePred
2022-01-07,39.65,40.69,39.32,39.67,14669900,39.67,,,,,3mo,0,35.26
2022-01-10,39.33,40.03,38.22,39.97,14997300,39.97,39.67,0.3,0.01,0.76,3mo,1,35.32
2022-01-11,39.79,40.94,39.6,40.66,13815400,40.66,39.97,0.69,0.02,1.73,3mo,2,35.37
2022-01-12,40.88,41.48,39.77,40.25,10439000,40.25,40.66,-0.41,-0.01,-1.01,3mo,3,35.43
2022-01-13,40.15,40.34,38.61,38.7,15075600,38.7,40.25,-1.55,-0.04,-3.85,3mo,4,35.49
2022-01-14,38.43,39.05,37.51,38.44,14849800,38.44,38.7,-0.26,-0.01,-0.67,3mo,5,35.55
2022-01-18,37.72,38.2,37.13,37.3,14896800,37.3,38.44,-1.14,-0.03,-2.97,3mo,6,35.6
2022-01-19,37.13,38.28,37.01,37.35,19798000,37.35,37.3,0.05,0.0,0.13,3mo,7,35.66
2022-01-20,37.84,39.03,37.2,37.28,17688900,37.28,37.35,-0.07,-0.0,-0.19,3mo,8,35.72
2022-01-21,36.9,37.08,34.8,34.82,25674100,34.82,37.28,-2.46,-0.07,-6.6,3mo,9,35.77
2022-01-24,33.7,35.14,32.05,35.06,31916600,35.06,34.82,0.24,0.01,0.69,3mo,10,35.83
2022-01-25,34.22,34.99,33.62,34.17,19205800,34.17,35.06,-0.89,-0.03,-2.54,3mo,11,35.89
2022-01-26,34.97,35.43,33.27,33.62,21377900,33.62,34.17,-0.55,-0.02,-1.61,3mo,12,35.94
2022-01-27,34.14,35.14,33.81,33.84,16637300,33.84,33.62,0.22,0.01,0.65,3mo,13,36.0
2022-01-28,33.79,35.3,33.6,35.27,14368700,35.27,33.84,1.43,0.04,4.23,3mo,14,36.06
2022-01-31,35.43,37.56,35.34,37.51,17558300,37.51,35.27,2.24,0.06,6.35,3mo,15,36.11
2022-02-01,37.84,38.17,36.87,38.12,14628200,38.12,37.51,0.61,0.02,1.63,3mo,16,36.17
2022-02-02,38.29,38.29,36.25,36.51,18993000,36.51,38.12,-1.61,-0.04,-4.22,3mo,17,36.23
2022-02-03,33.84,35.18,33.84,34.48,32803400,34.48,36.51,-2.03,-0.06,-5.56,3mo,18,36.29
2022-02-04,35.66,37.44,34.76,36.94,23579600,36.94,34.48,2.46,0.07,7.13,3mo,19,36.34
2022-02-07,36.72,37.33,35.9,36.04,22770500,36.04,36.94,-0.9,-0.02,-2.44,3mo,20,36.4
2022-02-08,35.52,36.27,35.15,35.98,17194900,35.98,36.04,-0.06,-0.0,-0.17,3mo,21,36.46
2022-02-09,36.5,37.92,36.14,37.83,24473500,37.83,35.98,1.85,0.05,5.14,3mo,22,36.51
2022-02-10,36.56,39.1,36.22,37.08,48150300,37.08,37.83,-0.75,-0.02,-1.98,3mo,23,36.57
2022-02-11,37.42,37.76,35.66,35.84,23516800,35.84,37.08,-1.24,-0.03,-3.34,3mo,24,36.63
2022-02-14,35.62,36.61,35.5,35.69,15212600,35.69,35.84,-0.15,-0.0,-0.42,3mo,25,36.68
2022-02-15,36.23,37.0,36.06,36.98,21350400,36.98,35.69,1.29,0.04,3.61,3mo,26,36.74
2022-02-16,35.97,36.28,35.52,36.24,17602400,36.24,36.98,-0.74,-0.02,-2.0,3mo,27,36.8
2022-02-17,35.99,36.61,35.32,35.43,16524400,35.43,36.24,-0.81,-0.02,-2.24,3mo,28,36.85
2022-02-18,35.49,35.66,34.1,34.32,15339000,34.32,35.43,-1.11,-0.03,-3.13,3mo,29,36.91
2022-02-22,33.66,33.93,32.75,32.93,16913100,32.93,34.32,-1.39,-0.04,-4.05,3mo,30,36.97
2022-02-23,33.25,33.46,32.42,32.76,15102100,32.76,32.93,-0.17,-0.01,-0.52,3mo,31,37.03
2022-02-24,31.3,35.07,31.3,34.98,22551000,34.98,32.76,2.22,0.07,6.78,3mo,32,37.08
2022-02-25,35.12,35.3,34.13,35.29,15394900,35.29,34.98,0.31,0.01,0.89,3mo,33,37.14
2022-02-28,34.95,36.05,34.85,35.55,17962000,35.55,35.29,0.26,0.01,0.74,3mo,34,37.2
2022-03-01,35.51,36.13,34.71,35.56,17948000,35.56,35.55,0.01,0.0,0.03,3mo,35,37.25
2022-03-02,35.77,35.77,34.13,34.62,18255100,34.62,35.56,-0.94,-0.03,-2.64,3mo,36,37.31
2022-03-03,34.9,35.18,33.45,33.49,18792000,33.49,34.62,-1.13,-0.03,-3.26,3mo,37,37.37
2022-03-04,33.75,34.23,32.95,33.39,17504000,33.39,33.49,-0.1,-0.0,-0.3,3mo,38,37.42
2022-03-07,33.51,33.88,32.4,32.42,18780200,32.42,33.39,-0.97,-0.03,-2.91,3mo,39,37.48
2022-03-08,32.27,33.83,31.95,32.68,17410600,32.68,32.42,0.26,0.01,0.8,3mo,40,37.54
2022-03-09,33.55,34.53,33.3,34.37,16886000,34.37,32.68,1.69,0.05,5.17,3mo,41,37.59
2022-03-10,33.63,34.44,33.37,34.12,12583300,34.12,34.37,-0.25,-0.01,-0.73,3mo,42,37.65
2022-03-11,34.04,34.11,32.88,33.0,15751900,33.0,34.12,-1.12,-0.03,-3.28,3mo,43,37.71
2022-03-14,32.69,33.95,32.48,33.03,17551500,33.03,33.0,0.03,0.0,0.09,3mo,44,37.77
2022-03-15,33.12,34.52,33.0,33.97,14678000,33.97,33.03,0.94,0.03,2.85,3mo,45,37.82
2022-03-16,34.9,35.65,34.32,35.37,25197000,35.37,33.97,1.4,0.04,4.12,3mo,46,37.88
2022-03-17,35.21,37.71,34.89,37.3,30853100,37.3,35.37,1.93,0.05,5.46,3mo,47,37.94
2022-03-18,37.46,39.05,37.18,37.77,35946300,37.77,37.3,0.47,0.01,1.26,3mo,48,37.99
2022-03-21,37.7,37.89,36.64,37.44,20298700,37.44,37.77,-0.33,-0.01,-0.87,3mo,49,38.05
2022-03-22,37.64,39.05,37.62,38.43,17162100,38.43,37.44,0.99,0.03,2.64,3mo,50,38.11
2022-03-23,38.0,38.75,37.58,38.0,12993600,38.0,38.43,-0.43,-0.01,-1.12,3mo,51,38.16
2022-03-24,38.33,39.09,38.23,38.82,18281400,38.82,38.0,0.82,0.02,2.16,3mo,52,38.22
2022-03-25,38.99,39.47,37.69,38.6,20787500,38.6,38.82,-0.22,-0.01,-0.57,3mo,53,38.28
2022-03-28,38.44,39.3,38.3,39.12,14225600,39.12,38.6,0.52,0.01,1.35,3mo,54,38.33
2022-03-29,39.48,40.96,39.39,40.69,17855400,40.69,39.12,1.57,0.04,4.01,3mo,55,38.39
2022-03-30,40.35,40.35,38.57,39.0,15804300,39.0,40.69,-1.69,-0.04,-4.15,3mo,56,38.45
2022-03-31,39.11,39.23,38.41,38.69,13208300,38.69,39.0,-0.31,-0.01,-0.79,3mo,57,38.51
2022-04-01,39.16,39.85,39.0,39.31,12122600,39.31,38.69,0.62,0.02,1.6,3mo,58,38.56
2022-04-04,47.87,51.37,46.86,49.97,268465400,49.97,39.31,10.66,0.27,27.12,3mo,59,38.62
2022-04-05,53.85,54.57,50.56,50.98,217520100,50.98,49.97,1.01,0.02,2.02,3mo,60,38.68
2022-04-06,50.04,52.87,49.3,50.77,158865600,50.77,50.98,-0.21,-0.0,-0.41,3mo,61,38.73
