Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
2020-09-18,75.0,76.79,67.0,68.35,20621000,68.35,,,,,1d
2020-09-21,67.11,73.98,65.11,72.96,5055200,72.96,68.35,4.61,0.07,6.74,1d
2020-09-22,76.64,84.98,75.11,84.82,6893700,84.82,72.96,11.86,0.16,16.26,1d
2020-09-23,88.67,88.88,79.9,81.85,4343900,81.85,84.82,-2.97,-0.04,-3.5,1d
2020-09-24,77.75,83.89,75.7,83.2,2487200,83.2,81.85,1.35,0.02,1.65,1d
2020-09-25,84.79,93.36,84.25,89.85,3681700,89.85,83.2,6.65,0.08,7.99,1d
2020-09-28,94.46,100.0,94.1,95.8,3999900,95.8,89.85,5.95,0.07,6.62,1d
2020-09-29,98.16,102.63,93.5,94.92,2814000,94.92,95.8,-0.88,-0.01,-0.92,1d
2020-09-30,94.9,96.36,85.03,87.28,3670700,87.28,94.92,-7.64,-0.08,-8.05,1d
2020-10-01,89.33,90.97,83.5,84.56,4530800,84.56,87.28,-2.72,-0.03,-3.12,1d
2020-10-02,81.55,87.62,81.55,83.53,2771300,83.53,84.56,-1.03,-0.01,-1.22,1d
2020-10-05,85.83,85.85,82.3,84.0,1260500,84.0,83.53,0.47,0.01,0.56,1d
2020-10-06,84.61,84.76,82.71,82.79,1014400,82.79,84.0,-1.21,-0.01,-1.44,1d
2020-10-07,84.04,89.5,83.76,88.65,1767800,88.65,82.79,5.86,0.07,7.08,1d
2020-10-08,91.19,93.5,88.8,91.4,1892900,91.4,88.65,2.75,0.03,3.1,1d
2020-10-09,92.85,100.42,92.7,99.11,2587700,99.11,91.4,7.71,0.08,8.44,1d
2020-10-12,100.13,101.0,89.8,90.0,3868000,90.0,99.11,-9.11,-0.09,-9.19,1d
2020-10-13,92.35,94.78,91.0,92.11,2000700,92.11,90.0,2.11,0.02,2.34,1d
2020-10-14,93.52,96.1,89.2,90.02,2196100,90.02,92.11,-2.09,-0.02,-2.27,1d
2020-10-15,88.2,93.39,87.0,91.43,1362700,91.43,90.02,1.41,0.02,1.57,1d
2020-10-16,92.19,93.6,90.88,92.56,958600,92.56,91.43,1.13,0.01,1.24,1d
2020-10-19,94.0,95.4,88.21,89.3,1669100,89.3,92.56,-3.26,-0.04,-3.52,1d
2020-10-20,89.83,90.62,86.1,87.15,1224800,87.15,89.3,-2.15,-0.02,-2.41,1d
2020-10-21,87.27,91.27,87.27,91.0,1270200,91.0,87.15,3.85,0.04,4.42,1d
2020-10-22,90.82,101.0,88.28,100.96,4738100,100.96,91.0,9.96,0.11,10.95,1d
2020-10-23,101.0,103.97,93.0,97.28,3246200,97.28,100.96,-3.68,-0.04,-3.65,1d
2020-10-26,98.0,103.49,91.63,99.96,2933300,99.96,97.28,2.68,0.03,2.75,1d
2020-10-27,100.0,108.35,95.5,104.0,5984300,104.0,99.96,4.04,0.04,4.04,1d
2020-10-28,100.0,102.0,96.2,99.76,2391500,99.76,104.0,-4.24,-0.04,-4.08,1d
2020-10-29,101.79,109.28,98.5,108.84,2805300,108.84,99.76,9.08,0.09,9.1,1d
2020-10-30,105.81,107.3,92.22,94.88,5100700,94.88,108.84,-13.96,-0.13,-12.83,1d
2020-11-02,96.67,98.69,93.37,94.13,2514500,94.13,94.88,-0.75,-0.01,-0.79,1d
2020-11-03,96.0,99.5,94.6,98.07,2161600,98.07,94.13,3.94,0.04,4.19,1d
2020-11-04,101.81,106.88,100.5,106.45,2788900,106.45,98.07,8.38,0.09,8.54,1d
2020-11-05,110.0,112.79,107.23,110.76,2106600,110.76,106.45,4.31,0.04,4.05,1d
2020-11-06,110.5,119.88,108.15,119.0,1727700,119.0,110.76,8.24,0.07,7.44,1d
