Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
"January 03, 2022 09:30 AM",143.96,144.69,135.58,139.11,922162,139.11,,,,,1hr
"January 03, 2022 10:30 AM",138.83,140.11,136.41,136.83,406773,136.83,139.11,-2.28,-0.02,-1.64,1hr
"January 03, 2022 11:30 AM",136.76,139.02,136.37,139.02,324127,139.02,136.83,2.19,0.02,1.6,1hr
"January 03, 2022 12:30 PM",138.99,139.11,137.38,137.75,249303,137.75,139.02,-1.27,-0.01,-0.92,1hr
"January 03, 2022 01:30 PM",137.75,139.0,137.74,138.81,180585,138.81,137.75,1.06,0.01,0.77,1hr
"January 03, 2022 02:30 PM",138.82,138.82,138.0,138.32,280248,138.32,138.81,-0.49,-0.0,-0.36,1hr
"January 03, 2022 03:30 PM",138.32,139.06,138.13,138.62,389503,138.62,138.32,0.3,0.0,0.22,1hr
"January 04, 2022 09:30 AM",138.9,139.0,130.19,130.38,1048351,130.38,138.62,-8.24,-0.06,-5.94,1hr
"January 04, 2022 10:30 AM",130.25,130.87,126.82,127.6,1271985,127.6,130.38,-2.78,-0.02,-2.14,1hr
"January 04, 2022 11:30 AM",127.59,128.5,126.4,126.96,761021,126.96,127.6,-0.64,-0.01,-0.51,1hr
"January 04, 2022 12:30 PM",126.89,126.98,125.32,126.21,585451,126.21,126.96,-0.75,-0.01,-0.59,1hr
"January 04, 2022 01:30 PM",126.25,126.98,125.15,126.2,460954,126.2,126.21,-0.01,-0.0,-0.01,1hr
"January 04, 2022 02:30 PM",126.15,129.59,126.15,129.4,473666,129.4,126.2,3.2,0.03,2.54,1hr
"January 04, 2022 03:30 PM",129.5,131.29,129.09,129.73,897616,129.73,129.4,0.33,0.0,0.26,1hr
"January 05, 2022 09:30 AM",127.95,132.68,125.7,127.89,844620,127.89,129.73,-1.83,-0.01,-1.41,1hr
"January 05, 2022 10:30 AM",127.85,129.38,126.67,127.42,429887,127.42,127.89,-0.47,-0.0,-0.37,1hr
"January 05, 2022 11:30 AM",127.49,127.61,125.78,126.3,506046,126.3,127.42,-1.12,-0.01,-0.88,1hr
"January 05, 2022 12:30 PM",126.3,126.3,124.2,125.83,522425,125.83,126.3,-0.47,-0.0,-0.37,1hr
"January 05, 2022 01:30 PM",125.76,125.76,121.39,122.83,807463,122.83,125.83,-3.0,-0.02,-2.38,1hr
"January 05, 2022 02:30 PM",122.82,123.56,119.71,120.14,929312,120.14,122.83,-2.69,-0.02,-2.19,1hr
"January 05, 2022 03:30 PM",120.14,121.71,120.07,121.03,827183,121.03,120.14,0.89,0.01,0.74,1hr
"January 06, 2022 09:30 AM",116.89,122.25,114.12,118.27,1752331,118.27,121.03,-2.76,-0.02,-2.28,1hr
"January 06, 2022 10:30 AM",118.26,123.69,116.7,122.24,1207774,122.24,118.27,3.97,0.03,3.36,1hr
"January 06, 2022 11:30 AM",122.45,124.0,121.42,122.31,771345,122.31,122.24,0.07,0.0,0.06,1hr
"January 06, 2022 12:30 PM",122.38,123.02,121.53,121.62,422775,121.62,122.31,-0.69,-0.01,-0.56,1hr
"January 06, 2022 01:30 PM",121.63,122.26,120.69,121.85,224945,121.85,121.62,0.22,0.0,0.18,1hr
"January 06, 2022 02:30 PM",121.9,122.16,120.63,121.03,285081,121.03,121.85,-0.82,-0.01,-0.67,1hr
"January 06, 2022 03:30 PM",121.01,121.57,119.59,119.73,446502,119.73,121.03,-1.3,-0.01,-1.07,1hr
"January 07, 2022 09:30 AM",120.11,126.39,120.01,121.79,1154281,121.79,119.73,2.06,0.02,1.72,1hr
"January 07, 2022 10:30 AM",121.77,122.2,118.31,120.69,530167,120.69,121.79,-1.1,-0.01,-0.9,1hr
"January 07, 2022 11:30 AM",120.59,122.65,120.39,121.08,275539,121.08,120.69,0.39,0.0,0.32,1hr
"January 07, 2022 12:30 PM",120.94,121.5,120.04,120.82,200965,120.82,121.08,-0.26,-0.0,-0.21,1hr
"January 07, 2022 01:30 PM",120.63,121.42,118.56,119.12,250466,119.12,120.82,-1.7,-0.01,-1.41,1hr
"January 07, 2022 02:30 PM",119.12,120.35,119.03,120.17,246923,120.17,119.12,1.04,0.01,0.88,1hr
"January 07, 2022 03:30 PM",120.13,120.68,119.43,120.37,308504,120.37,120.17,0.21,0.0,0.17,1hr
"January 10, 2022 09:30 AM",120.18,120.35,115.34,116.53,1197042,116.53,120.37,-3.84,-0.03,-3.19,1hr
"January 10, 2022 10:30 AM",116.43,120.18,115.52,119.98,524175,119.98,116.53,3.45,0.03,2.96,1hr
"January 10, 2022 11:30 AM",120.01,121.46,118.75,118.81,541533,118.81,119.98,-1.18,-0.01,-0.98,1hr
"January 10, 2022 12:30 PM",118.91,122.48,118.39,122.25,403043,122.25,118.81,3.44,0.03,2.9,1hr
"January 10, 2022 01:30 PM",122.25,123.98,122.0,123.8,536763,123.8,122.25,1.56,0.01,1.27,1hr
"January 10, 2022 02:30 PM",123.77,124.75,122.33,123.99,409108,123.99,123.8,0.18,0.0,0.15,1hr
"January 10, 2022 03:30 PM",123.91,126.55,123.62,126.08,717964,126.08,123.99,2.1,0.02,1.69,1hr
"January 11, 2022 09:30 AM",125.5,130.17,123.81,129.32,1048150,129.32,126.08,3.24,0.03,2.57,1hr
"January 11, 2022 10:30 AM",129.4,130.44,127.06,130.21,583408,130.21,129.32,0.89,0.01,0.69,1hr
"January 11, 2022 11:30 AM",130.2,132.0,130.0,130.13,515727,130.13,130.21,-0.08,-0.0,-0.06,1hr
"January 11, 2022 12:30 PM",130.05,130.41,128.82,129.95,273015,129.95,130.13,-0.18,-0.0,-0.14,1hr
"January 11, 2022 01:30 PM",129.99,130.45,129.42,130.09,153418,130.09,129.95,0.14,0.0,0.11,1hr
"January 11, 2022 02:30 PM",130.15,130.73,129.57,129.87,261568,129.87,130.09,-0.22,-0.0,-0.17,1hr
"January 11, 2022 03:30 PM",129.87,130.1,129.21,129.85,324385,129.85,129.87,-0.02,-0.0,-0.02,1hr
"January 12, 2022 09:30 AM",133.12,136.6,129.81,132.04,1576368,132.04,129.85,2.19,0.02,1.69,1hr
"January 12, 2022 10:30 AM",132.11,132.24,127.4,129.02,827511,129.02,132.04,-3.02,-0.02,-2.28,1hr
"January 12, 2022 11:30 AM",129.06,130.46,128.68,130.38,281080,130.38,129.02,1.36,0.01,1.05,1hr
"January 12, 2022 12:30 PM",130.58,130.74,129.06,129.52,175293,129.52,130.38,-0.86,-0.01,-0.66,1hr
"January 12, 2022 01:30 PM",129.55,130.08,128.63,129.88,195554,129.88,129.52,0.36,0.0,0.28,1hr
"January 12, 2022 02:30 PM",129.88,130.12,129.18,129.42,200346,129.42,129.88,-0.46,-0.0,-0.35,1hr
"January 12, 2022 03:30 PM",129.4,129.52,128.58,129.27,438827,129.27,129.42,-0.15,-0.0,-0.12,1hr
"January 13, 2022 09:30 AM",127.31,128.33,122.11,122.92,885945,122.92,129.27,-6.35,-0.05,-4.91,1hr
"January 13, 2022 10:30 AM",122.83,123.21,119.49,121.77,953334,121.77,122.92,-1.15,-0.01,-0.94,1hr
"January 13, 2022 11:30 AM",121.79,123.09,119.28,119.54,440518,119.54,121.77,-2.23,-0.02,-1.83,1hr
"January 13, 2022 12:30 PM",119.56,119.57,118.03,118.83,766331,118.83,119.54,-0.71,-0.01,-0.59,1hr
"January 13, 2022 01:30 PM",118.81,119.61,118.1,118.54,456262,118.54,118.83,-0.29,-0.0,-0.25,1hr
"January 13, 2022 02:30 PM",118.5,119.04,117.18,117.82,620504,117.82,118.54,-0.72,-0.01,-0.61,1hr
"January 13, 2022 03:30 PM",117.82,118.21,116.56,116.59,624990,116.59,117.82,-1.23,-0.01,-1.04,1hr
"January 14, 2022 09:30 AM",116.28,119.98,116.18,117.73,1394949,117.73,116.59,1.14,0.01,0.98,1hr
"January 14, 2022 10:30 AM",117.75,119.67,114.66,116.94,956228,116.94,117.73,-0.79,-0.01,-0.67,1hr
"January 14, 2022 11:30 AM",117.05,118.38,116.41,116.71,454743,116.71,116.94,-0.23,-0.0,-0.2,1hr
"January 14, 2022 12:30 PM",116.63,116.7,115.22,115.6,355726,115.6,116.71,-1.11,-0.01,-0.95,1hr
"January 14, 2022 01:30 PM",115.6,116.8,115.25,115.8,390457,115.8,115.6,0.2,0.0,0.17,1hr
"January 14, 2022 02:30 PM",115.79,118.71,115.74,118.39,528486,118.39,115.8,2.59,0.02,2.24,1hr
"January 14, 2022 03:30 PM",118.41,118.8,117.89,117.93,438206,117.93,118.39,-0.46,-0.0,-0.39,1hr
"January 18, 2022 09:30 AM",115.45,120.4,113.1,119.08,1473650,119.08,117.93,1.15,0.01,0.98,1hr
"January 18, 2022 10:30 AM",118.9,119.13,113.9,114.09,648936,114.09,119.08,-5.0,-0.04,-4.19,1hr
"January 18, 2022 11:30 AM",114.08,117.39,113.5,116.47,597411,116.47,114.09,2.38,0.02,2.09,1hr
"January 18, 2022 12:30 PM",116.5,116.6,113.45,113.86,378302,113.86,116.47,-2.61,-0.02,-2.24,1hr
"January 18, 2022 01:30 PM",113.73,114.7,112.78,113.71,529797,113.71,113.86,-0.15,-0.0,-0.13,1hr
"January 18, 2022 02:30 PM",113.72,115.67,113.39,113.43,506856,113.43,113.71,-0.28,-0.0,-0.24,1hr
"January 18, 2022 03:30 PM",113.4,113.4,112.05,112.79,1015260,112.79,113.43,-0.64,-0.01,-0.57,1hr
"January 19, 2022 09:30 AM",111.03,116.66,110.03,113.96,891599,113.96,112.79,1.17,0.01,1.03,1hr
"January 19, 2022 10:30 AM",113.96,114.13,111.08,112.39,597957,112.39,113.96,-1.57,-0.01,-1.37,1hr
"January 19, 2022 11:30 AM",112.5,115.77,111.52,115.22,493955,115.22,112.39,2.83,0.03,2.52,1hr
"January 19, 2022 12:30 PM",115.29,116.48,114.71,115.72,456266,115.72,115.22,0.5,0.0,0.44,1hr
"January 19, 2022 01:30 PM",115.72,116.91,114.72,114.83,433926,114.83,115.72,-0.89,-0.01,-0.77,1hr
