Datetime,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval,Numbers,prePred
2022-04-08 09:30:00,92.67,92.98,91.5,91.95,65780,91.95,,,,,1min,0,92.2
2022-04-08 09:31:00,92.18,92.72,92.08,92.55,2643,92.55,91.95,0.6,0.01,0.65,1min,1,92.2
2022-04-08 09:32:00,92.75,92.75,92.75,92.75,12611,92.75,92.55,0.2,0.0,0.22,1min,2,92.2
2022-04-08 09:33:00,92.45,92.47,91.87,91.91,3987,91.91,92.75,-0.84,-0.01,-0.9,1min,3,92.19
2022-04-08 09:34:00,91.94,91.98,91.67,91.8,9201,91.8,91.91,-0.12,-0.0,-0.13,1min,4,92.19
2022-04-08 09:35:00,91.75,91.88,91.51,91.65,8532,91.65,91.8,-0.15,-0.0,-0.16,1min,5,92.19
2022-04-08 09:36:00,91.4,91.64,91.11,91.32,10776,91.32,91.65,-0.32,-0.0,-0.35,1min,6,92.18
2022-04-08 09:37:00,91.27,91.76,91.27,91.5,30607,91.5,91.32,0.18,0.0,0.19,1min,7,92.18
2022-04-08 09:38:00,91.67,91.7,91.02,91.33,22430,91.33,91.5,-0.17,-0.0,-0.19,1min,8,92.18
2022-04-08 09:39:00,91.34,91.97,91.31,91.42,14536,91.42,91.33,0.09,0.0,0.1,1min,9,92.17
2022-04-08 09:40:00,91.31,91.52,90.54,90.64,12232,90.64,91.42,-0.78,-0.01,-0.85,1min,10,92.17
2022-04-08 09:41:00,90.5,90.65,90.11,90.59,27886,90.59,90.64,-0.05,-0.0,-0.06,1min,11,92.16
2022-04-08 09:42:00,90.73,91.35,90.71,91.35,17974,91.35,90.59,0.76,0.01,0.84,1min,12,92.16
2022-04-08 09:43:00,91.35,91.91,91.22,91.29,15104,91.29,91.35,-0.06,-0.0,-0.07,1min,13,92.16
2022-04-08 09:44:00,91.4,91.89,91.38,91.5,8352,91.5,91.29,0.21,0.0,0.23,1min,14,92.15
2022-04-08 09:45:00,91.45,92.39,91.36,92.31,13144,92.31,91.5,0.81,0.01,0.89,1min,15,92.15
2022-04-08 09:46:00,92.28,92.55,91.81,92.0,18911,92.0,92.31,-0.31,-0.0,-0.34,1min,16,92.15
2022-04-08 09:47:00,92.08,92.08,91.64,91.74,12142,91.74,92.0,-0.26,-0.0,-0.28,1min,17,92.14
2022-04-08 09:48:00,91.82,92.39,91.81,92.39,19912,92.39,91.74,0.65,0.01,0.71,1min,18,92.14
2022-04-08 09:49:00,92.18,92.45,91.94,92.03,10468,92.03,92.39,-0.36,-0.0,-0.39,1min,19,92.14
2022-04-08 09:50:00,91.88,92.07,91.65,91.89,9774,91.89,92.03,-0.14,-0.0,-0.15,1min,20,92.13
2022-04-08 09:51:00,91.9,92.0,91.23,91.23,19344,91.23,91.89,-0.66,-0.01,-0.72,1min,21,92.13
2022-04-08 09:52:00,91.23,91.31,90.9,91.05,8929,91.05,91.23,-0.18,-0.0,-0.2,1min,22,92.13
2022-04-08 09:53:00,90.84,91.21,90.81,91.2,4036,91.2,91.05,0.15,0.0,0.16,1min,23,92.12
2022-04-08 09:54:00,91.07,91.24,90.79,90.79,6729,90.79,91.2,-0.41,-0.0,-0.45,1min,24,92.12
2022-04-08 09:55:00,90.9,91.06,90.77,91.0,6710,91.0,90.79,0.22,0.0,0.24,1min,25,92.12
2022-04-08 09:56:00,90.94,91.09,90.83,91.09,7176,91.09,91.0,0.08,0.0,0.09,1min,26,92.11
2022-04-08 09:57:00,90.88,91.04,90.81,90.99,9509,90.99,91.09,-0.1,-0.0,-0.11,1min,27,92.11
2022-04-08 09:58:00,90.99,91.1,90.88,91.09,9574,91.09,90.99,0.1,0.0,0.11,1min,28,92.1
2022-04-08 09:59:00,91.0,91.42,90.94,91.4,3613,91.4,91.09,0.31,0.0,0.34,1min,29,92.1
2022-04-08 10:00:00,91.24,91.43,90.98,90.98,4937,90.98,91.4,-0.42,-0.0,-0.46,1min,30,92.1
2022-04-08 10:01:00,91.0,91.13,90.8,90.8,4552,90.8,90.98,-0.18,-0.0,-0.2,1min,31,92.09
2022-04-08 10:02:00,90.88,91.17,90.8,91.04,2011,91.04,90.8,0.24,0.0,0.26,1min,32,92.09
2022-04-08 10:03:00,91.17,91.23,91.05,91.19,4735,91.19,91.04,0.15,0.0,0.16,1min,33,92.09
2022-04-08 10:04:00,91.18,91.45,91.18,91.45,5941,91.45,91.19,0.26,0.0,0.29,1min,34,92.08
2022-04-08 10:05:00,91.43,91.46,91.25,91.43,3445,91.43,91.45,-0.02,-0.0,-0.02,1min,35,92.08
2022-04-08 10:06:00,91.41,91.48,91.14,91.29,4744,91.29,91.43,-0.14,-0.0,-0.15,1min,36,92.08
2022-04-08 10:07:00,91.04,91.07,90.78,90.9,5417,90.9,91.29,-0.39,-0.0,-0.43,1min,37,92.07
2022-04-08 10:08:00,91.01,91.45,90.93,91.45,2878,91.45,90.9,0.55,0.01,0.61,1min,38,92.07
2022-04-08 10:09:00,91.55,91.71,91.45,91.71,7460,91.71,91.45,0.26,0.0,0.28,1min,39,92.07
2022-04-08 10:10:00,91.63,91.71,91.26,91.45,7860,91.45,91.71,-0.26,-0.0,-0.29,1min,40,92.06
2022-04-08 10:11:00,91.32,91.32,91.24,91.24,209,91.24,91.45,-0.21,-0.0,-0.23,1min,41,92.06
2022-04-08 10:12:00,91.23,91.33,91.2,91.33,2026,91.33,91.24,0.09,0.0,0.1,1min,42,92.05
2022-04-08 10:13:00,91.07,91.29,91.07,91.17,886,91.17,91.33,-0.16,-0.0,-0.18,1min,43,92.05
2022-04-08 10:14:00,91.18,91.21,90.93,91.21,6052,91.21,91.17,0.04,0.0,0.04,1min,44,92.05
2022-04-08 10:15:00,91.33,91.38,90.96,91.19,5415,91.19,91.21,-0.01,-0.0,-0.02,1min,45,92.04
2022-04-08 10:16:00,91.22,91.3,91.08,91.27,3698,91.27,91.19,0.08,0.0,0.09,1min,46,92.04
2022-04-08 10:17:00,91.35,91.35,91.15,91.15,1990,91.15,91.27,-0.12,-0.0,-0.13,1min,47,92.04
2022-04-08 10:18:00,91.11,91.31,91.1,91.31,11821,91.31,91.15,0.16,0.0,0.18,1min,48,92.03
2022-04-08 10:19:00,91.34,91.52,91.3,91.36,4907,91.36,91.31,0.05,0.0,0.05,1min,49,92.03
2022-04-08 10:20:00,91.54,91.72,91.47,91.67,6781,91.67,91.36,0.31,0.0,0.33,1min,50,92.03
2022-04-08 10:21:00,91.75,91.95,91.67,91.82,11578,91.82,91.67,0.15,0.0,0.17,1min,51,92.02
2022-04-08 10:22:00,91.97,92.29,91.97,92.21,8195,92.21,91.82,0.39,0.0,0.42,1min,52,92.02
2022-04-08 10:23:00,92.21,92.59,92.21,92.43,15077,92.43,92.21,0.22,0.0,0.24,1min,53,92.02
2022-04-08 10:24:00,92.5,92.58,92.4,92.4,6860,92.4,92.43,-0.03,-0.0,-0.03,1min,54,92.01
2022-04-08 10:25:00,92.41,92.57,92.33,92.39,8094,92.39,92.4,-0.01,-0.0,-0.01,1min,55,92.01
2022-04-08 10:26:00,92.45,92.5,92.39,92.43,2905,92.43,92.39,0.04,0.0,0.04,1min,56,92.01
2022-04-08 10:27:00,92.52,93.2,92.52,93.17,15177,93.17,92.43,0.74,0.01,0.8,1min,57,92.0
2022-04-08 10:28:00,93.14,93.39,93.14,93.25,5311,93.25,93.17,0.08,0.0,0.09,1min,58,92.0
2022-04-08 10:29:00,93.15,93.34,93.15,93.29,5361,93.29,93.25,0.03,0.0,0.04,1min,59,91.99
2022-04-08 10:30:00,93.32,93.35,93.23,93.33,5058,93.33,93.29,0.04,0.0,0.04,1min,60,91.99
2022-04-08 10:31:00,93.37,93.37,93.15,93.34,7015,93.34,93.33,0.01,0.0,0.01,1min,61,91.99
2022-04-08 10:32:00,93.36,93.36,93.13,93.13,2584,93.13,93.34,-0.21,-0.0,-0.22,1min,62,91.98
2022-04-08 10:33:00,93.17,93.26,92.45,92.82,15823,92.82,93.13,-0.31,-0.0,-0.33,1min,63,91.98
2022-04-08 10:34:00,92.84,92.94,92.69,92.69,3171,92.69,92.82,-0.13,-0.0,-0.14,1min,64,91.98
2022-04-08 10:35:00,92.83,92.9,92.75,92.79,3491,92.79,92.69,0.1,0.0,0.1,1min,65,91.97
2022-04-08 10:36:00,92.92,92.92,92.46,92.73,3653,92.73,92.79,-0.06,-0.0,-0.06,1min,66,91.97
2022-04-08 10:37:00,92.86,92.88,92.72,92.72,6185,92.72,92.73,-0.01,-0.0,-0.01,1min,67,91.97
2022-04-08 10:38:00,92.73,92.79,92.66,92.76,5580,92.76,92.72,0.04,0.0,0.04,1min,68,91.96
2022-04-08 10:39:00,92.71,92.94,92.71,92.92,4057,92.92,92.76,0.16,0.0,0.17,1min,69,91.96
2022-04-08 10:40:00,93.0,93.17,92.95,93.02,4158,93.02,92.92,0.1,0.0,0.11,1min,70,91.96
2022-04-08 10:41:00,92.99,92.99,92.76,92.76,3404,92.76,93.02,-0.26,-0.0,-0.28,1min,71,91.95
2022-04-08 10:42:00,92.78,92.82,92.67,92.68,1940,92.68,92.76,-0.08,-0.0,-0.09,1min,72,91.95
2022-04-08 10:43:00,92.59,92.62,92.26,92.36,7664,92.36,92.68,-0.32,-0.0,-0.35,1min,73,91.94
2022-04-08 10:44:00,92.36,92.36,92.03,92.13,5200,92.13,92.36,-0.23,-0.0,-0.25,1min,74,91.94
2022-04-08 10:45:00,92.08,92.12,91.89,91.89,9929,91.89,92.13,-0.24,-0.0,-0.26,1min,75,91.94
2022-04-08 10:46:00,91.9,92.25,91.9,92.15,5360,92.15,91.89,0.26,0.0,0.28,1min,76,91.93
2022-04-08 10:47:00,92.28,92.46,92.28,92.39,4724,92.39,92.15,0.24,0.0,0.26,1min,77,91.93
2022-04-08 10:48:00,92.33,92.33,92.0,92.0,2941,92.0,92.39,-0.39,-0.0,-0.42,1min,78,91.93
2022-04-08 10:49:00,91.85,91.92,91.53,91.53,5625,91.53,92.0,-0.47,-0.01,-0.51,1min,79,91.92
2022-04-08 10:50:00,91.56,91.88,91.46,91.76,7453,91.76,91.53,0.23,0.0,0.25,1min,80,91.92
2022-04-08 10:51:00,91.96,92.6,91.96,92.42,6191,92.42,91.76,0.66,0.01,0.72,1min,81,91.92
2022-04-08 10:52:00,92.29,92.77,92.29,92.64,7588,92.64,92.42,0.22,0.0,0.24,1min,82,91.91
2022-04-08 10:54:00,92.65,92.68,92.65,92.68,9253,92.68,92.64,0.04,0.0,0.04,1min,83,91.91
