Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
"April 19, 2022",87.2,92.87,86.53,91.64,2041600,91.64,,,,,1mo
"April 20, 2022",90.66,91.49,83.4,83.77,3928100,83.77,91.64,-7.87,-0.09,-8.59,1mo
"April 21, 2022",84.81,87.76,78.41,78.7,3573900,78.7,83.77,-5.07,-0.06,-6.05,1mo
"April 22, 2022",79.03,80.62,75.3,75.7,3644800,75.7,78.7,-3.0,-0.04,-3.81,1mo
"April 25, 2022",75.19,79.89,74.88,79.42,3553400,79.42,75.7,3.72,0.05,4.91,1mo
"April 26, 2022",78.15,79.05,73.0,74.26,3448800,74.26,79.42,-5.16,-0.06,-6.5,1mo
"April 27, 2022",74.84,75.69,68.54,68.65,6097100,68.65,74.26,-5.61,-0.08,-7.55,1mo
"April 28, 2022",70.73,71.41,65.6,69.93,6358400,69.93,68.65,1.28,0.02,1.86,1mo
"April 29, 2022",70.13,72.1,66.17,66.41,3949700,66.41,69.93,-3.52,-0.05,-5.03,1mo
"May 02, 2022",66.0,69.06,64.14,68.65,4113400,68.65,66.41,2.24,0.03,3.37,1mo
"May 03, 2022",68.21,70.7,66.88,67.87,2598300,67.87,68.65,-0.78,-0.01,-1.14,1mo
"May 04, 2022",67.44,69.74,62.56,69.41,5641600,69.41,67.87,1.54,0.02,2.27,1mo
"May 05, 2022",67.52,67.52,60.46,62.02,5452000,62.02,69.41,-7.39,-0.11,-10.65,1mo
"May 06, 2022",61.22,62.14,55.75,57.34,6214400,57.34,62.02,-4.68,-0.08,-7.55,1mo
"May 09, 2022",56.42,57.13,49.79,50.38,7407300,50.38,57.34,-6.96,-0.12,-12.14,1mo
"May 10, 2022",51.0,53.65,44.55,48.13,19656000,48.13,50.38,-2.25,-0.04,-4.47,1mo
"May 11, 2022",32.33,34.75,29.3,30.3,50845700,30.3,48.13,-17.83,-0.37,-37.05,1mo
"May 12, 2022",30.32,37.54,29.09,35.09,28077000,35.09,30.3,4.79,0.16,15.81,1mo
"May 13, 2022",36.77,40.49,36.65,39.1,15774200,39.1,35.09,4.01,0.11,11.43,1mo
"May 16, 2022",38.61,40.0,35.93,36.14,9918900,36.14,39.1,-2.96,-0.08,-7.57,1mo
"May 17, 2022",36.63,38.62,34.94,38.37,9280800,38.37,36.14,2.23,0.06,6.17,1mo
"May 18, 2022",37.59,40.75,37.04,37.45,12123200,37.45,38.37,-0.92,-0.02,-2.4,1mo
