Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
2020-09-14,75.0,76.79,67.0,68.35,20621000,68.35,,,,,1wk
2020-09-21,67.11,93.36,65.11,89.85,22461700,89.85,68.35,21.5,0.31,31.46,1wk
2020-09-28,94.46,102.63,81.55,83.53,17786700,83.53,89.85,-6.32,-0.07,-7.03,1wk
2020-10-05,85.83,100.42,82.3,99.11,8523300,99.11,83.53,15.58,0.19,18.65,1wk
2020-10-12,100.13,101.0,87.0,92.56,10386100,92.56,99.11,-6.55,-0.07,-6.61,1wk
2020-10-19,94.0,103.97,86.1,97.28,12148400,97.28,92.56,4.72,0.05,5.1,1wk
2020-10-26,98.0,109.28,91.63,94.88,19215100,94.88,97.28,-2.4,-0.02,-2.47,1wk
2020-11-02,96.67,119.88,93.37,119.0,11299300,119.0,94.88,24.12,0.25,25.42,1wk
2020-11-09,116.88,117.03,98.0,114.77,14976200,114.77,119.0,-4.23,-0.04,-3.55,1wk
2020-11-16,109.0,124.18,105.37,122.8,14634800,122.8,114.77,8.03,0.07,7.0,1wk
2020-11-23,123.31,148.0,122.6,147.62,7164900,147.62,122.8,24.82,0.2,20.21,1wk
2020-11-30,147.0,155.95,135.51,150.94,9802700,150.94,147.62,3.32,0.02,2.25,1wk
2020-12-07,151.9,170.55,149.12,152.5,10341600,152.5,150.94,1.56,0.01,1.03,1wk
2020-12-14,154.5,158.43,142.33,157.77,10914600,157.77,152.5,5.27,0.03,3.46,1wk
2020-12-21,158.0,174.94,155.1,164.92,6117500,164.92,157.77,7.15,0.05,4.53,1wk
2020-12-28,169.36,170.02,147.24,153.47,5748100,153.47,164.92,-11.45,-0.07,-6.94,1wk
2021-01-04,155.0,155.25,135.2,146.2,14449900,146.2,153.47,-7.27,-0.05,-4.74,1wk
2021-01-11,143.0,158.6,139.0,148.61,9038700,148.61,146.2,2.41,0.02,1.65,1wk
