Datetime,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
"May 18, 2022 09:30 AM",37.59,39.07,37.16,38.49,401044,38.49,,,,,5min
"May 18, 2022 09:35 AM",38.42,38.67,37.75,37.89,97134,37.89,38.49,-0.6,-0.02,-1.57,5min
"May 18, 2022 09:40 AM",37.85,38.1,37.06,37.66,104690,37.66,37.89,-0.23,-0.01,-0.61,5min
"May 18, 2022 09:45 AM",37.51,38.45,37.42,38.26,89160,38.26,37.66,0.6,0.02,1.6,5min
"May 18, 2022 09:50 AM",38.34,39.1,37.94,38.59,158263,38.59,38.26,0.33,0.01,0.85,5min
"May 18, 2022 09:55 AM",38.52,38.61,37.87,38.19,125270,38.19,38.59,-0.4,-0.01,-1.05,5min
"May 18, 2022 10:00 AM",38.19,39.07,38.02,39.07,235469,39.07,38.19,0.88,0.02,2.32,5min
"May 18, 2022 10:05 AM",39.06,39.57,39.01,39.13,229298,39.13,39.07,0.06,0.0,0.14,5min
"May 18, 2022 10:10 AM",39.15,39.48,38.75,39.38,121326,39.38,39.13,0.25,0.01,0.65,5min
"May 18, 2022 10:15 AM",39.4,39.74,39.28,39.55,143550,39.55,39.38,0.17,0.0,0.43,5min
"May 18, 2022 10:20 AM",39.55,39.98,39.44,39.64,169107,39.64,39.55,0.09,0.0,0.24,5min
"May 18, 2022 10:25 AM",39.58,40.18,39.53,39.56,270142,39.56,39.64,-0.08,-0.0,-0.2,5min
"May 18, 2022 10:30 AM",39.52,40.08,39.49,39.85,288487,39.85,39.56,0.28,0.01,0.71,5min
"May 18, 2022 10:35 AM",39.86,40.09,39.69,40.09,229772,40.09,39.85,0.24,0.01,0.61,5min
"May 18, 2022 10:40 AM",40.1,40.22,39.78,39.89,169726,39.89,40.09,-0.2,-0.0,-0.5,5min
"May 18, 2022 10:45 AM",39.89,40.4,39.68,40.27,120978,40.27,39.89,0.38,0.01,0.95,5min
"May 18, 2022 10:50 AM",40.31,40.7,40.12,40.61,191818,40.61,40.27,0.34,0.01,0.84,5min
"May 18, 2022 10:55 AM",40.62,40.75,40.51,40.59,206513,40.59,40.61,-0.02,-0.0,-0.05,5min
"May 18, 2022 11:00 AM",40.59,40.69,40.37,40.38,159839,40.38,40.59,-0.21,-0.01,-0.52,5min
"May 18, 2022 11:05 AM",40.37,40.42,40.05,40.07,177208,40.07,40.38,-0.31,-0.01,-0.77,5min
"May 18, 2022 11:10 AM",40.1,40.12,39.97,39.99,134381,39.99,40.07,-0.08,-0.0,-0.21,5min
"May 18, 2022 11:15 AM",39.99,40.3,39.95,40.26,170957,40.26,39.99,0.27,0.01,0.69,5min
"May 18, 2022 11:20 AM",40.25,40.34,39.96,40.1,225873,40.1,40.26,-0.16,-0.0,-0.4,5min
"May 18, 2022 11:25 AM",40.12,40.35,39.78,40.01,173196,40.01,40.1,-0.09,-0.0,-0.23,5min
"May 18, 2022 11:30 AM",39.97,40.0,39.79,39.87,240269,39.87,40.01,-0.14,-0.0,-0.34,5min
"May 18, 2022 11:35 AM",39.89,40.4,39.76,40.21,157398,40.21,39.87,0.34,0.01,0.85,5min
"May 18, 2022 11:40 AM",40.22,40.54,40.18,40.53,145269,40.53,40.21,0.32,0.01,0.78,5min
"May 18, 2022 11:45 AM",40.53,40.53,40.15,40.21,130933,40.21,40.53,-0.32,-0.01,-0.78,5min
"May 18, 2022 11:50 AM",40.2,40.22,39.76,39.78,163071,39.78,40.21,-0.43,-0.01,-1.08,5min
