Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval,Numbers,prePred
2021-10-11,134.55,138.55,133.28,135.7,1296300,135.7,,,,,6mo,0,170.46
2021-10-12,135.95,139.7,135.51,139.24,1689900,139.24,135.7,3.54,0.03,2.61,6mo,1,169.77
2021-10-13,139.5,141.5,137.57,137.76,1783500,137.76,139.24,-1.48,-0.01,-1.06,6mo,2,169.08
2021-10-14,139.57,142.19,138.64,141.35,1855600,141.35,137.76,3.59,0.03,2.61,6mo,3,168.38
2021-10-15,141.46,143.17,140.19,141.0,1954900,141.0,141.35,-0.35,-0.0,-0.25,6mo,4,167.69
2021-10-18,140.5,146.89,140.09,146.0,3113500,146.0,141.0,5.0,0.04,3.55,6mo,5,166.99
2021-10-19,146.5,149.83,145.45,147.71,2630400,147.71,146.0,1.71,0.01,1.17,6mo,6,166.3
2021-10-20,147.79,148.33,140.5,142.33,2217300,142.33,147.71,-5.38,-0.04,-3.64,6mo,7,165.6
2021-10-21,142.08,148.82,141.97,147.1,1755200,147.1,142.33,4.77,0.03,3.35,6mo,8,164.91
2021-10-22,146.53,147.74,143.58,143.85,2094200,143.85,147.1,-3.25,-0.02,-2.21,6mo,9,164.22
2021-10-25,145.0,147.82,143.05,145.99,1396900,145.99,143.85,2.14,0.01,1.49,6mo,10,163.52
2021-10-26,149.74,151.99,145.17,147.62,2520500,147.62,145.99,1.63,0.01,1.12,6mo,11,162.83
2021-10-27,147.0,150.49,142.82,144.08,1584800,144.08,147.62,-3.54,-0.02,-2.4,6mo,12,162.13
2021-10-28,145.5,149.38,144.66,148.07,1254200,148.07,144.08,3.99,0.03,2.77,6mo,13,161.44
2021-10-29,147.95,151.99,147.9,151.31,2411600,151.31,148.07,3.24,0.02,2.19,6mo,14,160.75
2021-11-01,152.3,155.03,147.22,148.7,2280900,148.7,151.31,-2.61,-0.02,-1.72,6mo,15,160.05
2021-11-02,149.59,149.72,143.34,143.88,2229700,143.88,148.7,-4.82,-0.03,-3.24,6mo,16,159.36
2021-11-03,144.0,148.01,142.52,147.6,1592400,147.6,143.88,3.72,0.03,2.59,6mo,17,158.66
2021-11-04,150.0,154.3,149.19,151.66,2170000,151.66,147.6,4.06,0.03,2.75,6mo,18,157.97
2021-11-05,152.25,154.14,149.87,151.96,1580500,151.96,151.66,0.3,0.0,0.2,6mo,19,157.28
2021-11-08,155.0,163.46,154.17,163.1,6026700,163.1,151.96,11.14,0.07,7.33,6mo,20,156.58
2021-11-09,169.48,177.45,163.08,171.63,9669600,171.63,163.1,8.53,0.05,5.23,6mo,21,155.89
2021-11-10,160.1,189.15,155.1,176.45,14515800,176.45,171.63,4.82,0.03,2.81,6mo,22,155.19
2021-11-11,179.95,189.59,179.4,182.13,7012700,182.13,176.45,5.68,0.03,3.22,6mo,23,154.5
2021-11-12,183.0,196.83,180.2,196.65,6213100,196.65,182.13,14.52,0.08,7.97,6mo,24,153.81
2021-11-15,198.0,207.0,197.14,197.55,7295500,197.55,196.65,0.9,0.0,0.46,6mo,25,153.11
2021-11-16,187.86,198.49,187.02,196.01,8553200,196.01,197.55,-1.54,-0.01,-0.78,6mo,26,152.42
2021-11-17,195.38,198.71,190.06,191.8,5393100,191.8,196.01,-4.21,-0.02,-2.15,6mo,27,151.72
2021-11-18,194.73,210.0,192.99,201.12,8789000,201.12,191.8,9.32,0.05,4.86,6mo,28,151.03
2021-11-19,198.69,199.57,188.25,189.75,6561900,189.75,201.12,-11.37,-0.06,-5.65,6mo,29,150.34
2021-11-22,193.66,195.35,174.39,177.2,8370500,177.2,189.75,-12.55,-0.07,-6.61,6mo,30,149.64
2021-11-23,174.39,185.2,171.52,176.07,5811100,176.07,177.2,-1.13,-0.01,-0.64,6mo,31,148.95
2021-11-24,174.96,183.13,173.01,181.81,6009300,181.81,176.07,5.74,0.03,3.26,6mo,32,148.25
2021-11-26,180.0,181.12,175.21,179.89,3218200,179.89,181.81,-1.92,-0.01,-1.06,6mo,33,147.56
2021-11-29,185.47,186.6,165.07,170.33,8491200,170.33,179.89,-9.56,-0.05,-5.31,6mo,34,146.86
2021-11-30,169.25,174.22,165.96,172.39,6051900,172.39,170.33,2.06,0.01,1.21,6mo,35,146.17
2021-12-01,173.81,176.77,151.01,151.68,9130000,151.68,172.39,-20.71,-0.12,-12.01,6mo,36,145.48
2021-12-02,153.71,158.77,147.0,152.34,6227700,152.34,151.68,0.66,0.0,0.44,6mo,37,144.78
2021-12-03,152.61,154.57,138.67,146.88,7406800,146.88,152.34,-5.46,-0.04,-3.58,6mo,38,144.09
2021-12-06,142.25,148.9,136.0,147.57,4611700,147.57,146.88,0.69,0.0,0.47,6mo,39,143.39
