Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
2019-05-10,42.0,45.0,41.06,41.57,186322500,41.57,,,,,1d
2019-05-13,38.79,39.24,36.08,37.1,79442400,37.1,41.57,-4.47,-0.11,-10.75,1d
2019-05-14,38.31,39.96,36.85,39.96,46661100,39.96,37.1,2.86,0.08,7.71,1d
2019-05-15,39.37,41.88,38.95,41.29,36086100,41.29,39.96,1.33,0.03,3.33,1d
2019-05-16,41.48,44.06,41.25,43.0,38115500,43.0,41.29,1.71,0.04,4.14,1d
2019-05-17,41.98,43.29,41.27,41.91,20225700,41.91,43.0,-1.09,-0.03,-2.53,1d
2019-05-20,41.19,41.68,39.46,41.59,29222300,41.59,41.91,-0.32,-0.01,-0.76,1d
2019-05-21,42.0,42.24,41.25,41.5,10802900,41.5,41.59,-0.09,-0.0,-0.22,1d
2019-05-22,41.05,41.28,40.5,41.25,9089500,41.25,41.5,-0.25,-0.01,-0.6,1d
2019-05-23,40.8,41.09,40.02,40.47,11119900,40.47,41.25,-0.78,-0.02,-1.89,1d
2019-05-24,41.28,41.51,40.5,41.51,8786800,41.51,40.47,1.04,0.03,2.57,1d
2019-05-28,41.7,41.8,40.6,40.95,13391600,40.95,41.51,-0.56,-0.01,-1.35,1d
2019-05-29,40.52,40.71,39.15,39.94,14060400,39.94,40.95,-1.01,-0.02,-2.47,1d
2019-05-30,40.07,40.38,39.5,39.8,26451900,39.8,39.94,-0.14,-0.0,-0.35,1d
2019-05-31,41.15,41.57,39.41,40.41,23209800,40.41,39.8,0.61,0.02,1.53,1d
2019-06-03,40.74,41.85,40.24,41.25,16605300,41.25,40.41,0.84,0.02,2.08,1d
2019-06-04,42.56,42.88,40.7,42.75,23432100,42.75,41.25,1.5,0.04,3.64,1d
2019-06-05,42.87,45.66,42.5,45.0,28609600,45.0,42.75,2.25,0.05,5.26,1d
2019-06-06,45.0,45.75,44.28,44.92,16403700,44.92,45.0,-0.08,-0.0,-0.18,1d
2019-06-07,44.92,45.67,44.13,44.16,12654700,44.16,44.92,-0.76,-0.02,-1.69,1d
2019-06-10,44.02,44.59,42.53,42.61,11618700,42.61,44.16,-1.55,-0.04,-3.51,1d
2019-06-11,43.22,43.65,41.8,42.45,9095000,42.45,42.61,-0.16,-0.0,-0.38,1d
2019-06-12,42.52,42.65,41.71,42.17,5965300,42.17,42.45,-0.28,-0.01,-0.66,1d
2019-06-13,43.05,44.35,42.8,44.31,10178900,44.31,42.17,2.14,0.05,5.07,1d
2019-06-14,44.75,44.8,43.11,43.23,7902200,43.23,44.31,-1.08,-0.02,-2.44,1d
2019-06-17,43.28,44.08,42.93,43.78,6557600,43.78,43.23,0.55,0.01,1.27,1d
2019-06-18,44.3,44.89,43.75,43.86,7313600,43.86,43.78,0.08,0.0,0.18,1d
2019-06-19,44.46,45.5,43.95,44.86,10331500,44.86,43.86,1.0,0.02,2.28,1d
2019-06-20,45.03,45.29,43.51,43.86,9567400,43.86,44.86,-1.0,-0.02,-2.23,1d
2019-06-21,43.85,44.14,43.38,44.0,4974000,44.0,43.86,0.14,0.0,0.32,1d
2019-06-24,44.0,44.07,42.82,43.09,5985100,43.09,44.0,-0.91,-0.02,-2.07,1d
2019-06-25,43.28,43.79,42.44,43.09,5753300,43.09,43.09,0.0,0.0,0.0,1d
2019-06-26,43.25,43.4,42.36,42.5,8109100,42.5,43.09,-0.59,-0.01,-1.37,1d
2019-06-27,43.35,45.3,43.2,45.13,20155100,45.13,42.5,2.63,0.06,6.19,1d
2019-06-28,45.1,47.08,45.08,46.38,28657000,46.38,45.13,1.25,0.03,2.77,1d
2019-07-01,46.98,47.04,44.06,44.27,17660500,44.27,46.38,-2.11,-0.05,-4.55,1d
2019-07-02,44.55,44.68,43.75,44.0,11881300,44.0,44.27,-0.27,-0.01,-0.61,1d
2019-07-03,44.0,44.46,43.79,44.23,3380000,44.23,44.0,0.23,0.01,0.52,1d
2019-07-05,44.31,44.55,43.01,43.53,8239500,43.53,44.23,-0.7,-0.02,-1.58,1d
2019-07-08,43.59,43.85,42.75,42.95,9304100,42.95,43.53,-0.58,-0.01,-1.33,1d
2019-07-09,43.18,44.23,42.98,44.2,5251600,44.2,42.95,1.25,0.03,2.91,1d
2019-07-10,44.48,44.8,43.56,43.7,9746500,43.7,44.2,-0.5,-0.01,-1.13,1d
2019-07-11,44.1,44.29,43.31,43.99,8050900,43.99,43.7,0.29,0.01,0.66,1d
2019-07-12,44.16,44.24,43.39,43.99,8760500,43.99,43.99,0.0,0.0,0.0,1d
2019-07-15,44.2,44.7,43.97,44.53,5811200,44.53,43.99,0.54,0.01,1.23,1d
2019-07-16,44.6,44.98,44.02,44.13,5613300,44.13,44.53,-0.4,-0.01,-0.9,1d
2019-07-17,44.06,44.35,43.52,43.62,5854100,43.62,44.13,-0.51,-0.01,-1.16,1d
2019-07-18,43.5,43.85,43.19,43.71,4078700,43.71,43.62,0.09,0.0,0.21,1d
2019-07-19,43.9,44.09,43.16,43.18,4021000,43.18,43.71,-0.53,-0.01,-1.21,1d
2019-07-22,43.25,43.72,43.01,43.69,3815300,43.69,43.18,0.51,0.01,1.18,1d
2019-07-23,43.75,44.31,43.11,43.36,5110100,43.36,43.69,-0.33,-0.01,-0.76,1d
2019-07-24,43.36,43.87,43.36,43.76,3775700,43.76,43.36,0.4,0.01,0.92,1d
2019-07-25,43.72,43.96,43.21,43.4,4412000,43.4,43.76,-0.36,-0.01,-0.82,1d
2019-07-26,43.42,44.96,43.39,44.52,7598800,44.52,43.4,1.12,0.03,2.58,1d
2019-07-29,45.0,45.63,43.12,43.88,8652200,43.88,44.52,-0.64,-0.01,-1.44,1d
2019-07-30,43.71,43.74,42.49,42.59,7686300,42.59,43.88,-1.29,-0.03,-2.94,1d
2019-07-31,42.6,42.98,41.84,42.14,5970800,42.14,42.59,-0.45,-0.01,-1.06,1d
2019-08-01,42.14,42.54,41.0,41.31,7349700,41.31,42.14,-0.83,-0.02,-1.97,1d
2019-08-02,41.03,41.06,39.95,40.4,8225700,40.4,41.31,-0.91,-0.02,-2.2,1d
2019-08-05,39.35,39.42,38.43,39.05,9799300,39.05,40.4,-1.35,-0.03,-3.34,1d
2019-08-06,39.68,40.81,38.36,39.15,8570300,39.15,39.05,0.1,0.0,0.26,1d
2019-08-07,39.06,39.99,38.32,39.7,8896000,39.7,39.15,0.55,0.01,1.4,1d
2019-08-08,41.98,43.0,41.25,42.97,29610500,42.97,39.7,3.27,0.08,8.24,1d
2019-08-09,39.56,40.68,38.71,40.05,35138800,40.05,42.97,-2.92,-0.07,-6.8,1d
2019-08-12,39.83,39.95,37.0,37.0,21231300,37.0,40.05,-3.05,-0.08,-7.62,1d
2019-08-13,37.0,37.46,36.12,36.45,18990600,36.45,37.0,-0.55,-0.01,-1.49,1d
2019-08-14,36.0,36.3,33.36,33.96,24481600,33.96,36.45,-2.49,-0.07,-6.83,1d
2019-08-15,34.52,34.55,32.92,33.22,13265800,33.22,33.96,-0.74,-0.02,-2.18,1d
2019-08-16,33.46,35.48,33.4,35.23,13883200,35.23,33.22,2.01,0.06,6.05,1d
2019-08-19,35.53,35.8,34.37,34.61,10853100,34.61,35.23,-0.62,-0.02,-1.76,1d
2019-08-20,34.48,36.07,34.39,35.29,10760700,35.29,34.61,0.68,0.02,1.96,1d
2019-08-21,35.5,35.83,34.75,34.91,7923000,34.91,35.29,-0.38,-0.01,-1.08,1d
2019-08-22,34.8,34.91,33.52,34.0,8513300,34.0,34.91,-0.91,-0.03,-2.61,1d
2019-08-23,33.65,34.23,33.12,33.43,8160600,33.43,34.0,-0.57,-0.02,-1.68,1d
2019-08-26,33.67,33.83,33.06,33.31,5662500,33.31,33.43,-0.12,-0.0,-0.36,1d
