Datetime,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
2022-04-08 09:30:00,31.92,32.22,31.58,31.81,2146580,31.81,,,,,15min
2022-04-08 09:45:00,31.82,32.11,31.59,31.74,1037787,31.74,31.81,-0.07,-0.0,-0.24,15min
2022-04-08 10:00:00,31.73,32.01,31.65,31.82,752310,31.82,31.74,0.08,0.0,0.27,15min
2022-04-08 10:15:00,31.82,32.47,31.77,32.44,968798,32.44,31.82,0.62,0.02,1.93,15min
2022-04-08 10:30:00,32.43,32.48,32.13,32.13,851477,32.13,32.44,-0.31,-0.01,-0.94,15min
2022-04-08 10:45:00,32.13,32.39,32.01,32.29,823269,32.29,32.13,0.16,0.01,0.51,15min
2022-04-08 11:00:00,32.29,32.55,32.24,32.54,643015,32.54,32.29,0.25,0.01,0.76,15min
2022-04-08 11:15:00,32.55,32.55,32.28,32.31,602805,32.31,32.54,-0.23,-0.01,-0.69,15min
2022-04-08 11:30:00,32.32,32.35,32.14,32.33,517101,32.33,32.31,0.02,0.0,0.05,15min
2022-04-08 11:45:00,32.33,32.47,32.28,32.42,383035,32.42,32.33,0.09,0.0,0.28,15min
2022-04-08 12:00:00,32.41,32.46,32.15,32.16,431036,32.16,32.42,-0.26,-0.01,-0.8,15min
2022-04-08 12:15:00,32.17,32.43,32.1,32.39,352888,32.39,32.16,0.23,0.01,0.72,15min
2022-04-08 12:30:00,32.4,32.47,32.29,32.41,415964,32.41,32.39,0.02,0.0,0.06,15min
2022-04-08 12:45:00,32.41,32.49,32.36,32.47,374274,32.47,32.41,0.06,0.0,0.2,15min
2022-04-08 13:00:00,32.47,32.47,32.37,32.4,484845,32.4,32.47,-0.07,-0.0,-0.23,15min
2022-04-08 13:15:00,32.4,32.48,32.38,32.42,536282,32.42,32.4,0.02,0.0,0.06,15min
2022-04-08 13:30:00,32.42,32.45,32.26,32.36,464054,32.36,32.42,-0.06,-0.0,-0.18,15min
2022-04-08 13:45:00,32.37,32.39,32.23,32.27,545619,32.27,32.36,-0.09,-0.0,-0.28,15min
2022-04-08 14:00:00,32.26,32.31,32.23,32.27,285793,32.27,32.27,0.0,0.0,0.0,15min
2022-04-08 14:15:00,32.28,32.28,32.12,32.18,595356,32.18,32.27,-0.09,-0.0,-0.28,15min
2022-04-08 14:30:00,32.19,32.22,32.08,32.18,482692,32.18,32.18,-0.0,-0.0,-0.0,15min
2022-04-08 14:45:00,32.18,32.27,32.16,32.21,316909,32.21,32.18,0.03,0.0,0.08,15min
2022-04-08 15:00:00,32.2,32.32,32.16,32.31,445109,32.31,32.21,0.1,0.0,0.32,15min
2022-04-08 15:15:00,32.31,32.36,32.2,32.24,404734,32.24,32.31,-0.06,-0.0,-0.19,15min
2022-04-08 15:30:00,32.24,32.26,32.08,32.22,678026,32.22,32.24,-0.03,-0.0,-0.09,15min
2022-04-08 15:45:00,32.21,32.21,32.02,32.06,1531421,32.06,32.22,-0.15,-0.0,-0.48,15min
2022-04-08 16:00:00,32.05,32.05,32.05,32.05,0,32.05,32.06,-0.01,-0.0,-0.03,15min
