Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
2022-01-03 09:30:00,42.48,43.67,41.89,43.62,6085236,43.62,,,,,1hr
2022-01-03 10:30:00,43.62,44.4,43.53,44.01,7209989,44.01,43.62,0.39,0.01,0.88,1hr
2022-01-03 11:30:00,44.0,44.26,43.35,43.5,3150958,43.5,44.01,-0.51,-0.01,-1.15,1hr
2022-01-03 12:30:00,43.49,43.94,43.47,43.78,1770253,43.78,43.5,0.28,0.01,0.64,1hr
2022-01-03 13:30:00,43.78,43.99,43.69,43.79,1410448,43.79,43.78,0.02,0.0,0.04,1hr
2022-01-03 14:30:00,43.79,44.2,43.67,44.01,2414988,44.01,43.79,0.21,0.0,0.48,1hr
2022-01-03 15:30:00,44.01,44.14,43.88,43.95,3277196,43.95,44.01,-0.06,-0.0,-0.12,1hr
2022-01-04 09:30:00,44.23,44.25,42.97,43.15,5064951,43.15,43.95,-0.8,-0.02,-1.81,1hr
2022-01-04 10:30:00,43.15,43.38,42.58,43.1,4637847,43.1,43.15,-0.06,-0.0,-0.13,1hr
2022-01-04 11:30:00,43.1,43.39,42.99,43.14,3192742,43.14,43.1,0.04,0.0,0.09,1hr
2022-01-04 12:30:00,43.14,43.54,43.05,43.47,4735119,43.47,43.14,0.33,0.01,0.76,1hr
2022-01-04 13:30:00,43.47,43.87,43.37,43.78,3245600,43.78,43.47,0.31,0.01,0.71,1hr
2022-01-04 14:30:00,43.79,44.47,43.74,44.47,3919153,44.47,43.78,0.69,0.02,1.56,1hr
2022-01-04 15:30:00,44.46,44.8,44.42,44.43,4662043,44.43,44.47,-0.03,-0.0,-0.08,1hr
2022-01-05 09:30:00,44.29,45.9,44.18,44.78,8302038,44.78,44.43,0.35,0.01,0.79,1hr
2022-01-05 10:30:00,44.77,44.95,44.42,44.47,3937903,44.47,44.78,-0.31,-0.01,-0.69,1hr
2022-01-05 11:30:00,44.47,44.54,44.13,44.53,2072044,44.53,44.47,0.06,0.0,0.13,1hr
2022-01-05 12:30:00,44.53,44.56,44.05,44.37,1961520,44.37,44.53,-0.16,-0.0,-0.37,1hr
2022-01-05 13:30:00,44.37,44.77,43.77,43.95,3065530,43.95,44.37,-0.42,-0.01,-0.94,1hr
2022-01-05 14:30:00,43.96,44.06,42.86,43.24,4588099,43.24,43.95,-0.71,-0.02,-1.62,1hr
2022-01-05 15:30:00,43.24,43.53,43.16,43.25,2816753,43.25,43.24,0.01,0.0,0.02,1hr
2022-01-06 09:30:00,43.11,44.08,40.97,42.38,9354899,42.38,43.25,-0.87,-0.02,-2.02,1hr
2022-01-06 10:30:00,42.36,43.5,42.35,43.03,4406104,43.03,42.38,0.65,0.02,1.54,1hr
2022-01-06 11:30:00,43.02,43.24,42.62,43.0,2744166,43.0,43.03,-0.03,-0.0,-0.08,1hr
2022-01-06 12:30:00,42.99,43.34,42.89,43.01,3729914,43.01,43.0,0.02,0.0,0.04,1hr
2022-01-06 13:30:00,43.02,43.22,42.85,42.9,2520757,42.9,43.01,-0.11,-0.0,-0.27,1hr
2022-01-06 14:30:00,42.9,42.96,42.44,42.69,2760692,42.69,42.9,-0.22,-0.01,-0.5,1hr
2022-01-06 15:30:00,42.68,42.76,41.97,41.99,3858678,41.99,42.69,-0.7,-0.02,-1.63,1hr
2022-01-07 09:30:00,42.0,42.65,41.37,41.64,6472301,41.64,41.99,-0.35,-0.01,-0.83,1hr
2022-01-07 10:30:00,41.64,42.06,41.2,41.91,3749912,41.91,41.64,0.27,0.01,0.65,1hr
2022-01-07 11:30:00,41.91,42.29,41.86,41.87,3092079,41.87,41.91,-0.04,-0.0,-0.1,1hr
2022-01-07 12:30:00,41.86,41.97,41.62,41.65,1623302,41.65,41.87,-0.22,-0.01,-0.51,1hr
2022-01-07 13:30:00,41.65,41.73,41.42,41.51,2423122,41.51,41.65,-0.15,-0.0,-0.36,1hr
2022-01-07 14:30:00,41.51,41.87,41.5,41.69,2046664,41.69,41.51,0.18,0.0,0.45,1hr
2022-01-07 15:30:00,41.68,41.8,41.5,41.51,2720346,41.51,41.69,-0.18,-0.0,-0.43,1hr
2022-01-10 09:30:00,41.48,41.48,40.16,40.8,5840445,40.8,41.51,-0.71,-0.02,-1.71,1hr
2022-01-10 10:30:00,40.8,41.37,40.19,41.36,3629143,41.36,40.8,0.56,0.01,1.37,1hr
2022-01-10 11:30:00,41.37,41.87,41.19,41.21,3505442,41.21,41.36,-0.15,-0.0,-0.36,1hr
2022-01-10 12:30:00,41.21,42.17,41.12,42.04,3116362,42.04,41.21,0.83,0.02,2.01,1hr
2022-01-10 13:30:00,42.04,42.74,42.04,42.4,3081663,42.4,42.04,0.35,0.01,0.84,1hr
2022-01-10 14:30:00,42.39,42.46,42.06,42.38,2433934,42.38,42.4,-0.01,-0.0,-0.04,1hr
2022-01-10 15:30:00,42.38,42.81,42.29,42.6,4153905,42.6,42.38,0.22,0.01,0.52,1hr
2022-01-11 09:30:00,42.36,43.89,42.19,43.45,4325458,43.45,42.6,0.85,0.02,2.0,1hr
2022-01-11 10:30:00,43.45,43.99,43.04,43.9,2861995,43.9,43.45,0.45,0.01,1.03,1hr
2022-01-11 11:30:00,43.89,44.17,43.78,43.9,2697415,43.9,43.9,-0.0,-0.0,-0.01,1hr
