Datetime,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval,Numbers,prePred
2022-04-08 09:30:00,31.92,32.13,31.87,32.01,534974,32.01,,,,,1min,0,32.16
2022-04-08 09:31:00,32.01,32.22,32.01,32.15,57186,32.15,32.01,0.14,0.0,0.44,1min,1,32.16
2022-04-08 09:32:00,32.01,32.04,31.99,32.04,138088,32.04,32.15,-0.11,-0.0,-0.34,1min,2,32.16
2022-04-08 09:33:00,32.04,32.11,31.99,32.0,59107,32.0,32.04,-0.04,-0.0,-0.11,1min,3,32.16
2022-04-08 09:34:00,32.01,32.01,31.86,31.93,80074,31.93,32.0,-0.07,-0.0,-0.23,1min,4,32.16
2022-04-08 09:35:00,31.93,32.01,31.86,31.89,71280,31.89,31.93,-0.04,-0.0,-0.13,1min,5,32.16
2022-04-08 09:36:00,31.88,31.9,31.73,31.8,346389,31.8,31.89,-0.09,-0.0,-0.28,1min,6,32.16
2022-04-08 09:37:00,31.8,31.9,31.79,31.9,78848,31.9,31.8,0.1,0.0,0.3,1min,7,32.16
2022-04-08 09:38:00,31.89,31.95,31.81,31.82,109422,31.82,31.9,-0.08,-0.0,-0.24,1min,8,32.16
2022-04-08 09:39:00,31.82,31.9,31.78,31.81,61347,31.81,31.82,-0.01,-0.0,-0.03,1min,9,32.16
2022-04-08 09:40:00,31.8,31.88,31.67,31.68,129433,31.68,31.81,-0.13,-0.0,-0.41,1min,10,32.17
2022-04-08 09:41:00,31.68,31.73,31.58,31.72,131691,31.72,31.68,0.04,0.0,0.13,1min,11,32.17
2022-04-08 09:42:00,31.73,31.78,31.65,31.71,138834,31.71,31.72,-0.01,-0.0,-0.03,1min,12,32.17
2022-04-08 09:43:00,31.72,31.95,31.72,31.82,128540,31.82,31.71,0.11,0.0,0.35,1min,13,32.17
2022-04-08 09:44:00,31.82,31.92,31.81,31.81,81367,31.81,31.82,-0.01,-0.0,-0.03,1min,14,32.17
2022-04-08 09:45:00,31.82,32.05,31.79,32.05,136494,32.05,31.81,0.24,0.01,0.75,1min,15,32.17
2022-04-08 09:46:00,32.04,32.11,31.98,32.03,94135,32.03,32.05,-0.02,-0.0,-0.06,1min,16,32.17
2022-04-08 09:47:00,32.03,32.05,31.91,32.01,131643,32.01,32.03,-0.01,-0.0,-0.05,1min,17,32.17
2022-04-08 09:48:00,32.02,32.05,32.01,32.05,54438,32.05,32.01,0.03,0.0,0.11,1min,18,32.17
2022-04-08 09:49:00,32.05,32.11,31.99,32.03,67785,32.03,32.05,-0.01,-0.0,-0.05,1min,19,32.17
2022-04-08 09:50:00,32.03,32.04,31.94,31.99,49980,31.99,32.03,-0.05,-0.0,-0.14,1min,20,32.17
2022-04-08 09:51:00,31.99,32.03,31.81,31.83,57822,31.83,31.99,-0.16,-0.01,-0.52,1min,21,32.17
2022-04-08 09:52:00,31.82,31.82,31.69,31.71,46068,31.71,31.83,-0.12,-0.0,-0.36,1min,22,32.17
2022-04-08 09:53:00,31.69,31.79,31.65,31.76,83254,31.76,31.71,0.05,0.0,0.16,1min,23,32.17
2022-04-08 09:54:00,31.74,31.75,31.69,31.71,119434,31.71,31.76,-0.05,-0.0,-0.16,1min,24,32.17
2022-04-08 09:55:00,31.69,31.74,31.67,31.7,38693,31.7,31.71,-0.0,-0.0,-0.02,1min,25,32.17
2022-04-08 09:56:00,31.7,31.75,31.67,31.72,48857,31.72,31.7,0.01,0.0,0.05,1min,26,32.17
2022-04-08 09:57:00,31.72,31.75,31.7,31.71,30011,31.71,31.72,-0.01,-0.0,-0.03,1min,27,32.17
