Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
"April 19, 2022",32.16,33.99,31.97,33.8,23319600,33.8,,,,,1mo
"April 20, 2022",33.99,34.32,33.18,33.21,21330500,33.21,33.8,-0.59,-0.02,-1.75,1mo
"April 21, 2022",34.25,34.41,31.37,31.68,32937100,31.68,33.21,-1.53,-0.05,-4.61,1mo
"April 22, 2022",31.62,32.22,30.8,30.83,22748900,30.83,31.68,-0.85,-0.03,-2.68,1mo
"April 25, 2022",30.59,32.5,30.46,32.44,29416300,32.44,30.83,1.61,0.05,5.22,1mo
"April 26, 2022",32.04,32.2,31.0,31.33,26981900,31.33,32.44,-1.11,-0.03,-3.42,1mo
"April 27, 2022",31.1,31.98,30.16,30.68,30762600,30.68,31.33,-0.65,-0.02,-2.07,1mo
"April 28, 2022",31.0,32.87,30.98,32.82,30251600,32.82,30.68,2.14,0.07,6.98,1mo
"April 29, 2022",32.52,33.15,31.41,31.48,24926800,31.48,32.82,-1.34,-0.04,-4.08,1mo
"May 02, 2022",31.24,31.35,29.51,30.39,45651000,30.39,31.48,-1.09,-0.03,-3.46,1mo
"May 03, 2022",30.15,30.59,28.85,29.47,58340700,29.47,30.39,-0.92,-0.03,-3.03,1mo
"May 04, 2022",27.41,28.4,25.9,28.1,115601800,28.1,29.47,-1.37,-0.05,-4.65,1mo
"May 05, 2022",27.87,28.83,26.2,26.83,52804200,26.83,28.1,-1.27,-0.05,-4.52,1mo
"May 06, 2022",26.84,26.84,24.75,26.07,56554000,26.07,26.83,-0.76,-0.03,-2.83,1mo
"May 09, 2022",25.41,26.07,22.8,23.05,58095900,23.05,26.07,-3.02,-0.12,-11.58,1mo
"May 10, 2022",23.85,24.55,22.8,23.67,47982500,23.67,23.05,0.62,0.03,2.69,1mo
"May 11, 2022",23.28,24.15,22.5,22.57,51137700,22.57,23.67,-1.1,-0.05,-4.65,1mo
"May 12, 2022",22.15,24.06,21.69,23.29,63999300,23.29,22.57,0.72,0.03,3.19,1mo
"May 13, 2022",23.88,24.87,23.68,24.39,53558300,24.39,23.29,1.1,0.05,4.72,1mo
"May 16, 2022",24.31,24.46,23.4,23.59,27285200,23.59,24.39,-0.8,-0.03,-3.28,1mo
"May 17, 2022",24.32,24.9,23.59,24.2,33859400,24.2,23.59,0.61,0.03,2.59,1mo
"May 18, 2022",23.98,24.19,22.34,22.46,35679800,22.46,24.2,-1.74,-0.07,-7.19,1mo
