Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
2019-05-06,42.0,45.0,41.06,41.57,186322500,41.57,,,,,1wk
2019-05-13,38.79,44.06,36.08,41.91,220530800,41.91,41.57,0.34,0.01,0.82,1wk
2019-05-20,41.19,42.24,39.46,41.51,69021400,41.51,41.91,-0.4,-0.01,-0.95,1wk
2019-05-27,41.7,41.8,39.15,40.41,77113700,40.41,41.51,-1.1,-0.03,-2.65,1wk
2019-06-03,40.74,45.75,40.24,44.16,97705400,44.16,40.41,3.75,0.09,9.28,1wk
2019-06-10,44.02,44.8,41.71,43.23,44760100,43.23,44.16,-0.93,-0.02,-2.11,1wk
2019-06-17,43.28,45.5,42.93,44.0,38744100,44.0,43.23,0.77,0.02,1.78,1wk
2019-06-24,44.0,47.08,42.36,46.38,68659600,46.38,44.0,2.38,0.05,5.41,1wk
2019-07-01,46.98,47.04,43.01,43.53,41161300,43.53,46.38,-2.85,-0.06,-6.14,1wk
2019-07-08,43.59,44.8,42.75,43.99,41113600,43.99,43.53,0.46,0.01,1.06,1wk
2019-07-15,44.2,44.98,43.16,43.18,25378300,43.18,43.99,-0.81,-0.02,-1.84,1wk
2019-07-22,43.25,44.96,43.01,44.52,24711900,44.52,43.18,1.34,0.03,3.1,1wk
2019-07-29,45.0,45.63,39.95,40.4,37884700,40.4,44.52,-4.12,-0.09,-9.25,1wk
2019-08-05,39.35,43.0,38.32,40.05,92014900,40.05,40.4,-0.35,-0.01,-0.87,1wk
2019-08-12,39.83,39.95,32.92,35.23,91852500,35.23,40.05,-4.82,-0.12,-12.03,1wk
2019-08-19,35.53,36.07,33.12,33.43,46210700,33.43,35.23,-1.8,-0.05,-5.11,1wk
2019-08-26,33.67,34.24,32.04,32.57,30883700,32.57,33.43,-0.86,-0.03,-2.57,1wk
2019-09-02,32.1,33.03,30.67,31.86,37480900,31.86,32.57,-0.71,-0.02,-2.18,1wk
2019-09-09,32.05,35.14,31.46,33.25,50144700,33.25,31.86,1.39,0.04,4.36,1wk
2019-09-16,33.6,34.89,32.5,32.6,38917200,32.6,33.25,-0.65,-0.02,-1.95,1wk
2019-09-23,32.52,33.15,30.13,30.29,41873300,30.29,32.6,-2.31,-0.07,-7.09,1wk
2019-09-30,30.4,30.74,28.31,29.67,45158900,29.67,30.29,-0.62,-0.02,-2.05,1wk
2019-10-07,30.6,30.75,28.58,30.13,42899000,30.13,29.67,0.46,0.02,1.55,1wk
2019-10-14,30.22,32.93,29.82,32.06,38616100,32.06,30.13,1.93,0.06,6.41,1wk
2019-10-21,31.95,33.89,30.22,32.71,47934600,32.71,32.06,0.65,0.02,2.03,1wk
2019-10-28,32.9,33.8,30.74,31.37,53931400,31.37,32.71,-1.34,-0.04,-4.1,1wk
2019-11-04,31.45,31.75,25.58,27.01,322501600,27.01,31.37,-4.36,-0.14,-13.9,1wk
2019-11-11,27.03,27.66,25.67,26.79,180041900,26.79,27.01,-0.22,-0.01,-0.81,1wk
2019-11-18,26.8,30.13,26.3,29.56,217310500,29.56,26.79,2.77,0.1,10.34,1wk
2019-11-25,28.69,30.15,28.38,29.6,96250600,29.6,29.56,0.04,0.0,0.14,1wk
2019-12-02,29.32,29.52,27.8,27.86,120017500,27.86,29.6,-1.74,-0.06,-5.88,1wk
2019-12-09,27.96,28.84,27.6,28.49,116863200,28.49,27.86,0.63,0.02,2.26,1wk
2019-12-16,29.11,31.03,29.1,30.45,260263100,30.45,28.49,1.96,0.07,6.88,1wk
2019-12-23,30.49,31.06,29.83,30.17,84810700,30.17,30.45,-0.28,-0.01,-0.92,1wk
2019-12-30,30.13,31.43,28.9,31.37,74435900,31.37,30.17,1.2,0.04,3.98,1wk
2020-01-06,31.01,34.99,31.0,34.01,158920600,34.01,31.37,2.64,0.08,8.42,1wk
2020-01-13,34.29,35.25,33.55,35.13,102896000,35.13,34.01,1.12,0.03,3.29,1wk
2020-01-20,35.5,37.95,35.41,36.8,121475900,36.8,35.13,1.67,0.05,4.75,1wk
2020-01-27,35.23,37.56,34.19,36.29,109055700,36.29,36.8,-0.51,-0.01,-1.39,1wk
2020-02-03,36.75,41.0,36.53,40.63,259358900,40.63,36.29,4.34,0.12,11.96,1wk
2020-02-10,40.65,41.86,38.7,39.66,177046800,39.66,40.63,-0.97,-0.02,-2.39,1wk
2020-02-17,39.49,41.23,39.45,40.72,91478500,40.72,39.66,1.06,0.03,2.67,1wk
2020-02-24,38.21,39.15,30.67,33.87,249062700,33.87,40.72,-6.85,-0.17,-16.82,1wk
2020-03-02,34.05,35.34,30.45,31.68,194156200,31.68,33.87,-2.19,-0.06,-6.47,1wk
2020-03-09,28.5,30.32,21.13,22.6,224701700,22.6,31.68,-9.08,-0.29,-28.66,1wk
2020-03-16,20.15,23.89,13.71,21.33,355722500,21.33,22.6,-1.27,-0.06,-5.62,1wk
2020-03-23,21.07,28.45,19.73,27.28,240394600,27.28,21.33,5.95,0.28,27.89,1wk
2020-03-30,26.33,28.39,21.67,22.82,195800700,22.82,27.28,-4.46,-0.16,-16.35,1wk
2020-04-06,24.13,28.89,23.93,27.11,143483500,27.11,22.82,4.29,0.19,18.8,1wk
2020-04-13,27.04,28.79,26.44,28.0,134236300,28.0,27.11,0.89,0.03,3.28,1wk
