ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1984-10-17,-0.1766027870852008,-21.87583082633044,17.493777977103427,-0.1766027870852008,-0.1766027870852008,-1.7688335254476522,-1.7688335254476522,-1.7688335254476522,-0.0297146806982436,-0.0297146806982436,-0.0297146806982436,-1.7391188447494086,-1.7391188447494086,-1.7391188447494086,0.0,0.0,0.0,-1.9454363125328529
1984-10-18,-0.17615887380108958,-20.413680411704522,17.633337703264235,-0.17615887380108958,-0.17615887380108958,-1.6192777701474506,-1.6192777701474506,-1.6192777701474506,-0.02500403860245193,-0.02500403860245193,-0.02500403860245193,-1.5942737315449986,-1.5942737315449986,-1.5942737315449986,0.0,0.0,0.0,-1.79543664394854
1984-10-19,-0.17571496051697835,-19.743182145969886,17.36710451483507,-0.17571496051697835,-0.17571496051697835,-1.4674759338365928,-1.4674759338365928,-1.4674759338365928,-0.018328973770840497,-0.018328973770840497,-0.018328973770840497,-1.4491469600657525,-1.4491469600657525,-1.4491469600657525,0.0,0.0,0.0,-1.6431908943535711
1984-10-22,-0.17438322066464465,-22.083152579909395,17.70766192207269,-0.17438322066464465,-0.17438322066464465,-1.214808117999825,-1.214808117999825,-1.214808117999825,-0.18966200883347636,-0.18966200883347636,-0.18966200883347636,-1.0251461091663487,-1.0251461091663487,-1.0251461091663487,0.0,0.0,0.0,-1.3891913386644696
1984-10-23,-0.1739393073805334,-20.57642883245891,17.613972678217387,-0.1739393073805334,-0.1739393073805334,-0.952427019955707,-0.952427019955707,-0.952427019955707,-0.060832031350641635,-0.060832031350641635,-0.060832031350641635,-0.8915949886050654,-0.8915949886050654,-0.8915949886050654,0.0,0.0,0.0,-1.1263663273362403
1984-10-24,-0.17349539409642217,-19.674176819332295,19.594080221856977,-0.17349539409642217,-0.17349539409642217,-0.7933926771392955,-0.7933926771392955,-0.7933926771392955,-0.029714680698165623,-0.029714680698165623,-0.029714680698165623,-0.7636779964411299,-0.7636779964411299,-0.7636779964411299,0.0,0.0,0.0,-0.9668880712357177
1984-10-25,-0.17305148081231095,-21.12432327866683,17.377895298934995,-0.17305148081231095,-0.17305148081231095,-0.6672588748799011,-0.6672588748799011,-0.6672588748799011,-0.025004038602419534,-0.025004038602419534,-0.025004038602419534,-0.6422548362774816,-0.6422548362774816,-0.6422548362774816,0.0,0.0,0.0,-0.840310355692212
1984-10-26,-0.17260756752819972,-19.595532601015044,18.91949189086337,-0.17260756752819972,-0.17260756752819972,-0.5463716556526459,-0.5463716556526459,-0.5463716556526459,-0.01832897377107336,-0.01832897377107336,-0.01832897377107336,-0.5280426818815724,-0.5280426818815724,-0.5280426818815724,0.0,0.0,0.0,-0.7189792231808456
1984-10-29,-0.171275827675866,-20.31840435182852,16.248467537613266,-0.171275827675866,-0.171275827675866,-0.423193387544087,-0.423193387544087,-0.423193387544087,-0.1896620088335914,-0.1896620088335914,-0.1896620088335914,-0.23353137871049554,-0.23353137871049554,-0.23353137871049554,0.0,0.0,0.0,-0.594469215219953
1984-10-30,-0.17083191439175477,-20.842201989474592,18.88219218985889,-0.17083191439175477,-0.17083191439175477,-0.2130548478425562,-0.2130548478425562,-0.2130548478425562,-0.06083203135068392,-0.06083203135068392,-0.06083203135068392,-0.1522228164918723,-0.1522228164918723,-0.1522228164918723,0.0,0.0,0.0,-0.38388676223431095
1984-10-31,-0.17038800110764352,-20.43144883849932,19.6753466398834,-0.17038800110764352,-0.17038800110764352,-0.10907079334860618,-0.10907079334860618,-0.10907079334860618,-0.029714680698240917,-0.029714680698240917,-0.029714680698240917,-0.07935611265036527,-0.07935611265036527,-0.07935611265036527,0.0,0.0,0.0,-0.2794587944562497
1984-11-01,-0.16994408782353232,-19.60535714626389,18.957645827293156,-0.16994408782353232,-0.16994408782353232,-0.03971151780151823,-0.03971151780151823,-0.03971151780151823,-0.025004038602566215,-0.025004038602566215,-0.025004038602566215,-0.014707479198952017,-0.014707479198952017,-0.014707479198952017,0.0,0.0,0.0,-0.20965560562505053
1984-11-02,-0.1695001745394211,-18.471586678348988,20.21905395634147,-0.1695001745394211,-0.1695001745394211,0.0237598510243643,0.0237598510243643,0.0237598510243643,-0.018328973771231463,-0.018328973771231463,-0.018328973771231463,0.04208882479559577,0.04208882479559577,0.04208882479559577,0.0,0.0,0.0,-0.14574032351505678
1984-11-05,-0.16816843468708736,-18.31595926380849,19.478597391207913,-0.16816843468708736,-0.16816843468708736,-0.018775890229297446,-0.018775890229297446,-0.018775890229297446,-0.18966200883354506,-0.18966200883354506,-0.18966200883354506,0.1708861186042476,0.1708861186042476,0.1708861186042476,0.0,0.0,0.0,-0.1869443249163848
1984-11-06,-0.16772452140297614,-20.51813761441138,19.619256291484767,-0.16772452140297614,-0.16772452140297614,0.14147755038706775,0.14147755038706775,0.14147755038706775,-0.060832031350565,-0.060832031350565,-0.060832031350565,0.20230958173763275,0.20230958173763275,0.20230958173763275,0.0,0.0,0.0,-0.026246971015908394
1984-11-07,-0.16728060811886492,-19.285558668850502,18.91011773701368,-0.16728060811886492,-0.16728060811886492,0.19963718670953384,0.19963718670953384,0.19963718670953384,-0.02971468069828491,-0.02971468069828491,-0.02971468069828491,0.22935186740781877,0.22935186740781877,0.22935186740781877,0.0,0.0,0.0,0.03235657859066893
1984-11-08,-0.1668366948347537,-19.09497807417756,19.447823697264052,-0.1668366948347537,-0.1668366948347537,0.2279107306930257,0.2279107306930257,0.2279107306930257,-0.025004038602533817,-0.025004038602533817,-0.025004038602533817,0.2529147692955595,0.2529147692955595,0.2529147692955595,0.0,0.0,0.0,0.06107403585827201
1984-11-09,-0.16639278155064244,-19.060867210137364,19.412484292249523,-0.16639278155064244,-0.16639278155064244,0.2555955577384104,0.2555955577384104,0.2555955577384104,-0.0183289737710119,-0.0183289737710119,-0.0183289737710119,0.2739245315094223,0.2739245315094223,0.2739245315094223,0.0,0.0,0.0,0.08920277618776798
1984-11-12,-0.16506104169830874,-18.92763240718938,19.370078332246177,-0.16506104169830874,-0.16506104169830874,0.14119653455002595,0.14119653455002595,0.14119653455002595,-0.1896620088334987,-0.1896620088334987,-0.1896620088334987,0.33085854338352466,0.33085854338352466,0.33085854338352466,0.0,0.0,0.0,-0.023864507148282782
1984-11-13,-0.16461712841419748,-19.00543195713028,19.464660458816972,-0.16461712841419748,-0.16461712841419748,0.28990658048317064,0.28990658048317064,0.28990658048317064,-0.06083203135060725,-0.06083203135060725,-0.06083203135060725,0.35073861183377786,0.35073861183377786,0.35073861183377786,0.0,0.0,0.0,0.12528945206897316
1984-11-14,-0.1641732151300863,-18.18938683760922,19.207908675968458,-0.1641732151300863,-0.1641732151300863,0.3426936333562243,0.3426936333562243,0.3426936333562243,-0.029714680698268468,-0.029714680698268468,-0.029714680698268468,0.3724083140544928,0.3724083140544928,0.3724083140544928,0.0,0.0,0.0,0.17852041822613804
1984-11-15,-0.16372930184597506,-19.005278968370252,20.006081617628652,-0.16372930184597506,-0.16372930184597506,0.3715596756700036,0.3715596756700036,0.3715596756700036,-0.025004038602590314,-0.025004038602590314,-0.025004038602590314,0.39656371427259385,0.39656371427259385,0.39656371427259385,0.0,0.0,0.0,0.20783037382402852
1984-11-16,-0.1632853885618638,-18.396661011682227,20.487457639666008,-0.1632853885618638,-0.1632853885618638,0.40548414292672263,0.40548414292672263,0.40548414292672263,-0.018328973771069037,-0.018328973771069037,-0.018328973771069037,0.4238131166977917,0.4238131166977917,0.4238131166977917,0.0,0.0,0.0,0.24219875436485883
1984-11-19,-0.1619536487095301,-19.90818869503394,19.17189931370766,-0.1619536487095301,-0.1619536487095301,0.3390633754868864,0.3390633754868864,0.3390633754868864,-0.18966200883347661,-0.18966200883347661,-0.18966200883347661,0.528725384320363,0.528725384320363,0.528725384320363,0.0,0.0,0.0,0.1771097267773563
