Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
2008-03-19,14.88,17.25,13.75,14.12,708486000,12.83,,,,,1d
2008-03-20,14.6,16.25,14.38,16.09,198985200,14.61,12.83,1.78,0.14,13.89,1d
2008-03-24,16.81,16.92,14.75,14.93,149566400,13.56,14.61,-1.05,-0.07,-7.18,1d
2008-03-25,15.15,16.06,14.95,15.81,87092000,14.36,13.56,0.8,0.06,5.89,1d
2008-03-26,15.68,16.12,15.39,15.99,43111600,14.52,14.36,0.16,0.01,1.12,1d
2008-03-27,16.01,16.18,15.66,15.73,39829600,14.28,14.52,-0.24,-0.02,-1.64,1d
2008-03-28,15.84,15.86,15.54,15.69,24675200,14.25,14.28,-0.03,-0.0,-0.24,1d
2008-03-31,15.65,15.87,15.51,15.59,22157200,14.16,14.25,-0.09,-0.01,-0.64,1d
2008-04-01,15.77,15.92,15.08,15.4,60410800,13.99,14.16,-0.17,-0.01,-1.2,1d
2008-04-02,15.43,15.58,15.12,15.58,43836400,14.15,13.99,0.16,0.01,1.15,1d
2008-04-03,15.49,16.57,15.45,16.38,100868000,14.87,14.15,0.72,0.05,5.1,1d
2008-04-04,16.23,16.33,15.94,16.12,36394400,14.64,14.87,-0.23,-0.02,-1.56,1d
2008-04-07,16.27,16.45,16.0,16.26,28301600,14.77,14.64,0.13,0.01,0.87,1d
2008-04-08,16.23,17.06,16.2,17.02,53925600,15.46,14.77,0.69,0.05,4.69,1d
2008-04-09,17.11,17.18,16.4,16.45,48324400,14.94,15.46,-0.52,-0.03,-3.38,1d
2008-04-10,16.54,16.68,16.28,16.53,22372000,15.01,14.94,0.07,0.0,0.49,1d
2008-04-11,16.31,16.69,16.31,16.53,26421600,15.01,15.01,0.0,0.0,0.0,1d
2008-04-14,16.67,16.81,16.38,16.42,28443600,14.91,15.01,-0.1,-0.01,-0.65,1d
2008-04-15,16.57,16.64,16.0,16.09,23888000,14.61,14.91,-0.3,-0.02,-2.02,1d
2008-04-16,16.14,16.74,16.14,16.53,25136800,15.02,14.61,0.41,0.03,2.78,1d
2008-04-17,16.57,16.94,16.5,16.76,22459600,15.22,15.02,0.2,0.01,1.36,1d
2008-04-18,17.0,17.61,16.8,17.25,104099600,15.67,15.22,0.45,0.03,2.92,1d
2008-04-21,17.37,18.12,17.21,17.74,58848000,16.11,15.67,0.45,0.03,2.86,1d
2008-04-22,17.98,18.1,17.5,17.57,47357600,15.96,16.11,-0.16,-0.01,-0.97,1d
2008-04-23,17.74,17.92,17.42,17.52,37319600,15.91,15.96,-0.05,-0.0,-0.28,1d
2008-04-24,17.8,18.25,17.51,18.08,38086800,16.42,15.91,0.5,0.03,3.17,1d
2008-04-25,19.0,19.02,18.48,18.77,101460000,17.05,16.42,0.64,0.04,3.87,1d
2008-04-28,19.12,19.32,18.73,18.91,132517200,17.17,17.05,0.12,0.01,0.71,1d
2008-04-29,18.54,20.22,17.75,20.22,197308400,18.36,17.17,1.19,0.07,6.94,1d
2008-04-30,20.35,21.2,20.27,20.86,147543600,18.95,18.36,0.58,0.03,3.18,1d
2008-05-01,21.1,21.91,20.98,21.35,116395600,19.39,18.95,0.44,0.02,2.34,1d
2008-05-02,21.82,21.88,20.25,20.69,136648800,18.79,19.39,-0.6,-0.03,-3.1,1d
2008-05-05,20.71,21.38,20.2,21.26,70377200,19.31,18.79,0.52,0.03,2.79,1d
