Datetime,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval,Numbers,prePred
"May 18, 2022 09:30 AM",202.82,203.55,202.07,203.45,177197,203.45,,,,,1min,0,205.44
"May 18, 2022 09:31 AM",203.56,204.29,203.55,203.88,40028,203.88,203.45,0.43,0.0,0.21,1min,1,205.43
"May 18, 2022 09:32 AM",203.76,204.21,203.07,203.26,27721,203.26,203.88,-0.62,-0.0,-0.31,1min,2,205.42
"May 18, 2022 09:33 AM",203.22,203.68,203.21,203.53,22826,203.53,203.26,0.27,0.0,0.13,1min,3,205.4
"May 18, 2022 09:34 AM",203.56,203.91,203.21,203.37,32552,203.37,203.53,-0.16,-0.0,-0.08,1min,4,205.39
"May 18, 2022 09:35 AM",203.26,204.43,203.2,204.41,21548,204.41,203.37,1.04,0.01,0.51,1min,5,205.37
"May 18, 2022 09:36 AM",204.37,205.07,204.36,204.97,54264,204.97,204.41,0.56,0.0,0.27,1min,6,205.36
"May 18, 2022 09:37 AM",204.89,205.35,204.89,205.25,35745,205.25,204.97,0.28,0.0,0.14,1min,7,205.34
"May 18, 2022 09:38 AM",205.32,205.46,205.03,205.09,19184,205.09,205.25,-0.16,-0.0,-0.08,1min,8,205.33
"May 18, 2022 09:39 AM",205.09,205.12,204.09,204.15,18855,204.15,205.09,-0.94,-0.0,-0.46,1min,9,205.32
"May 18, 2022 09:40 AM",204.15,204.75,204.05,204.53,135605,204.53,204.15,0.38,0.0,0.19,1min,10,205.3
"May 18, 2022 09:41 AM",204.57,204.74,204.39,204.41,19006,204.41,204.53,-0.12,-0.0,-0.06,1min,11,205.29
"May 18, 2022 09:42 AM",204.4,204.62,204.13,204.15,26722,204.15,204.41,-0.26,-0.0,-0.13,1min,12,205.27
"May 18, 2022 09:43 AM",204.21,204.24,204.0,204.05,70223,204.05,204.15,-0.1,-0.0,-0.05,1min,13,205.26
"May 18, 2022 09:44 AM",204.02,204.54,204.02,204.5,13811,204.5,204.05,0.45,0.0,0.22,1min,14,205.24
"May 18, 2022 09:45 AM",204.57,204.84,204.47,204.82,20966,204.82,204.5,0.32,0.0,0.16,1min,15,205.23
"May 18, 2022 09:46 AM",204.83,204.98,204.59,204.67,22487,204.67,204.82,-0.15,-0.0,-0.07,1min,16,205.21
"May 18, 2022 09:47 AM",204.68,205.24,204.63,205.24,20966,205.24,204.67,0.57,0.0,0.28,1min,17,205.2
"May 18, 2022 09:48 AM",205.17,205.29,205.05,205.14,17583,205.14,205.24,-0.1,-0.0,-0.05,1min,18,205.19
"May 18, 2022 09:49 AM",205.21,205.21,204.9,204.96,10911,204.96,205.14,-0.18,-0.0,-0.09,1min,19,205.17
"May 18, 2022 09:50 AM",205.07,205.29,204.97,204.97,20076,204.97,204.96,0.01,0.0,0.01,1min,20,205.16
"May 18, 2022 09:51 AM",204.91,205.16,204.9,204.99,16857,204.99,204.97,0.02,0.0,0.01,1min,21,205.14
"May 18, 2022 09:52 AM",204.96,205.15,204.81,205.14,25893,205.14,204.99,0.15,0.0,0.07,1min,22,205.13
"May 18, 2022 09:53 AM",205.1,205.4,204.91,204.97,22760,204.97,205.14,-0.17,-0.0,-0.08,1min,23,205.11
"May 18, 2022 09:54 AM",204.97,205.22,204.94,205.06,20245,205.06,204.97,0.09,0.0,0.04,1min,24,205.1
"May 18, 2022 09:55 AM",204.99,205.08,204.51,204.53,19924,204.53,205.06,-0.53,-0.0,-0.26,1min,25,205.09
"May 18, 2022 09:56 AM",204.46,204.46,204.26,204.4,11494,204.4,204.53,-0.13,-0.0,-0.06,1min,26,205.07
"May 18, 2022 09:57 AM",204.41,204.46,204.24,204.25,15134,204.25,204.4,-0.15,-0.0,-0.07,1min,27,205.06
"May 18, 2022 09:58 AM",204.25,204.48,204.12,204.48,7768,204.48,204.25,0.23,0.0,0.11,1min,28,205.04
"May 18, 2022 09:59 AM",204.48,204.5,204.39,204.46,5842,204.46,204.48,-0.02,-0.0,-0.01,1min,29,205.03
"May 18, 2022 10:00 AM",204.46,204.53,204.28,204.53,10812,204.53,204.46,0.07,0.0,0.03,1min,30,205.01
"May 18, 2022 10:01 AM",204.54,204.76,204.41,204.69,12576,204.69,204.53,0.16,0.0,0.08,1min,31,205.0
"May 18, 2022 10:02 AM",204.68,204.68,204.5,204.64,30082,204.64,204.69,-0.05,-0.0,-0.03,1min,32,204.99
"May 18, 2022 10:03 AM",204.67,204.76,204.51,204.51,31508,204.51,204.64,-0.13,-0.0,-0.06,1min,33,204.97
"May 18, 2022 10:04 AM",204.48,204.48,204.11,204.28,16890,204.28,204.51,-0.23,-0.0,-0.11,1min,34,204.96
"May 18, 2022 10:05 AM",204.18,204.62,204.18,204.62,44540,204.62,204.28,0.34,0.0,0.17,1min,35,204.94
"May 18, 2022 10:06 AM",204.6,204.66,204.42,204.45,21794,204.45,204.62,-0.17,-0.0,-0.08,1min,36,204.93
"May 18, 2022 10:07 AM",204.45,204.66,204.38,204.53,9906,204.53,204.45,0.08,0.0,0.04,1min,37,204.91
"May 18, 2022 10:08 AM",204.49,204.55,204.41,204.54,15984,204.54,204.53,0.0,0.0,0.0,1min,38,204.9
"May 18, 2022 10:09 AM",204.54,204.54,204.21,204.29,20016,204.29,204.54,-0.25,-0.0,-0.12,1min,39,204.89
"May 18, 2022 10:10 AM",204.24,204.53,204.18,204.49,9089,204.49,204.29,0.21,0.0,0.1,1min,40,204.87
"May 18, 2022 10:11 AM",204.57,204.57,204.34,204.49,23523,204.49,204.49,0.0,0.0,0.0,1min,41,204.86
"May 18, 2022 10:12 AM",204.6,204.68,204.39,204.48,10716,204.48,204.49,-0.01,-0.0,-0.01,1min,42,204.84
"May 18, 2022 10:13 AM",204.51,204.76,204.51,204.72,13921,204.72,204.48,0.24,0.0,0.12,1min,43,204.83
"May 18, 2022 10:14 AM",204.67,204.73,204.49,204.6,8936,204.6,204.72,-0.12,-0.0,-0.06,1min,44,204.81
"May 18, 2022 10:15 AM",204.54,204.74,204.45,204.73,13976,204.73,204.6,0.14,0.0,0.07,1min,45,204.8
"May 18, 2022 10:16 AM",204.79,204.8,204.3,204.42,15521,204.42,204.73,-0.31,-0.0,-0.15,1min,46,204.78
"May 18, 2022 10:17 AM",204.29,204.29,204.0,204.1,11129,204.1,204.42,-0.32,-0.0,-0.16,1min,47,204.77
"May 18, 2022 10:18 AM",204.06,204.15,203.91,204.01,11995,204.01,204.1,-0.08,-0.0,-0.04,1min,48,204.76
"May 18, 2022 10:19 AM",204.04,204.04,203.83,204.01,10907,204.01,204.01,-0.01,-0.0,-0.0,1min,49,204.74
"May 18, 2022 10:20 AM",203.95,204.15,203.93,204.11,9434,204.11,204.01,0.1,0.0,0.05,1min,50,204.73
"May 18, 2022 10:21 AM",204.16,204.18,203.8,203.8,8171,203.8,204.11,-0.31,-0.0,-0.15,1min,51,204.71
"May 18, 2022 10:22 AM",203.8,204.07,203.8,204.05,8387,204.05,203.8,0.25,0.0,0.12,1min,52,204.7
"May 18, 2022 10:23 AM",203.95,203.95,203.71,203.71,9899,203.71,204.05,-0.34,-0.0,-0.17,1min,53,204.68
"May 18, 2022 10:24 AM",203.71,204.09,203.6,203.91,16413,203.91,203.71,0.2,0.0,0.1,1min,54,204.67
"May 18, 2022 10:25 AM",203.86,204.15,203.82,203.95,16850,203.95,203.91,0.04,0.0,0.02,1min,55,204.66
"May 18, 2022 10:26 AM",203.95,204.17,203.95,204.0,10414,204.0,203.95,0.05,0.0,0.02,1min,56,204.64
"May 18, 2022 10:27 AM",203.97,204.15,203.91,203.98,23986,203.98,204.0,-0.02,-0.0,-0.01,1min,57,204.63
"May 18, 2022 10:28 AM",204.01,204.16,203.96,203.97,51469,203.97,203.98,-0.01,-0.0,-0.0,1min,58,204.61
"May 18, 2022 10:29 AM",203.98,203.99,203.69,203.69,8980,203.69,203.97,-0.28,-0.0,-0.14,1min,59,204.6
"May 18, 2022 10:30 AM",203.72,204.01,203.61,203.91,14694,203.91,203.69,0.22,0.0,0.11,1min,60,204.58
"May 18, 2022 10:31 AM",203.96,204.02,203.88,203.94,9360,203.94,203.91,0.03,0.0,0.01,1min,61,204.57
"May 18, 2022 10:32 AM",203.96,203.99,203.84,203.91,6408,203.91,203.94,-0.03,-0.0,-0.01,1min,62,204.56
"May 18, 2022 10:33 AM",203.93,204.19,203.9,204.1,9800,204.1,203.91,0.19,0.0,0.09,1min,63,204.54
"May 18, 2022 10:34 AM",204.11,204.17,204.0,204.0,9091,204.0,204.1,-0.1,-0.0,-0.05,1min,64,204.53
"May 18, 2022 10:35 AM",203.99,204.12,203.96,203.96,15348,203.96,204.0,-0.04,-0.0,-0.02,1min,65,204.51
"May 18, 2022 10:36 AM",203.94,204.09,203.91,204.09,15412,204.09,203.96,0.12,0.0,0.06,1min,66,204.5
"May 18, 2022 10:37 AM",204.12,204.21,204.05,204.08,12603,204.08,204.09,-0.01,-0.0,-0.0,1min,67,204.48
"May 18, 2022 10:38 AM",204.04,204.18,204.04,204.16,6401,204.16,204.08,0.08,0.0,0.04,1min,68,204.47
"May 18, 2022 10:39 AM",204.17,204.17,203.93,203.97,25701,203.97,204.16,-0.19,-0.0,-0.09,1min,69,204.45
"May 18, 2022 10:40 AM",203.99,204.0,203.76,203.77,10082,203.77,203.97,-0.2,-0.0,-0.1,1min,70,204.44
"May 18, 2022 10:41 AM",203.79,204.07,203.77,204.07,24794,204.07,203.77,0.3,0.0,0.15,1min,71,204.43
"May 18, 2022 10:42 AM",204.03,204.11,203.92,203.93,14766,203.93,204.07,-0.14,-0.0,-0.07,1min,72,204.41
"May 18, 2022 10:43 AM",203.97,204.01,203.92,203.98,25428,203.98,203.93,0.05,0.0,0.02,1min,73,204.4
"May 18, 2022 10:44 AM",203.98,204.01,203.95,204.0,15814,204.0,203.98,0.02,0.0,0.01,1min,74,204.38
"May 18, 2022 10:45 AM",203.98,204.01,203.9,203.94,16075,203.94,204.0,-0.06,-0.0,-0.03,1min,75,204.37
"May 18, 2022 10:46 AM",203.98,204.12,203.96,204.08,12328,204.08,203.94,0.14,0.0,0.07,1min,76,204.35
"May 18, 2022 10:47 AM",204.1,204.29,204.05,204.16,32488,204.16,204.08,0.08,0.0,0.04,1min,77,204.34
"May 18, 2022 10:48 AM",204.18,204.49,204.09,204.45,15957,204.45,204.16,0.28,0.0,0.14,1min,78,204.33
"May 18, 2022 10:49 AM",204.42,204.51,204.35,204.51,8246,204.51,204.45,0.06,0.0,0.03,1min,79,204.31
"May 18, 2022 10:50 AM",204.49,204.51,204.32,204.32,33411,204.32,204.51,-0.19,-0.0,-0.09,1min,80,204.3
"May 18, 2022 10:51 AM",204.29,204.33,204.16,204.29,4898,204.29,204.32,-0.03,-0.0,-0.01,1min,81,204.28
"May 18, 2022 10:52 AM",204.27,204.59,204.27,204.32,18651,204.32,204.29,0.03,0.0,0.01,1min,82,204.27
"May 18, 2022 10:53 AM",204.32,204.43,204.29,204.32,14002,204.32,204.32,0.0,0.0,0.0,1min,83,204.25
"May 18, 2022 10:54 AM",204.33,204.4,204.22,204.26,5941,204.26,204.32,-0.05,-0.0,-0.03,1min,84,204.24
"May 18, 2022 10:55 AM",204.3,204.57,204.13,204.45,30695,204.45,204.26,0.18,0.0,0.09,1min,85,204.23
"May 18, 2022 10:56 AM",204.42,204.48,204.31,204.46,6071,204.46,204.45,0.01,0.0,0.01,1min,86,204.21
"May 18, 2022 10:57 AM",204.45,204.81,204.45,204.74,7827,204.74,204.46,0.28,0.0,0.14,1min,87,204.2
"May 18, 2022 10:58 AM",204.78,204.78,204.58,204.66,6186,204.66,204.74,-0.08,-0.0,-0.04,1min,88,204.18
"May 18, 2022 10:59 AM",204.67,204.67,204.48,204.53,14677,204.53,204.66,-0.13,-0.0,-0.07,1min,89,204.17
"May 18, 2022 11:00 AM",204.48,204.49,204.29,204.34,6544,204.34,204.53,-0.19,-0.0,-0.09,1min,90,204.15
"May 18, 2022 11:02 AM",204.25,204.42,204.23,204.26,55537,204.26,204.34,-0.08,-0.0,-0.04,1min,91,204.14
"May 18, 2022 11:03 AM",204.22,204.45,204.21,204.38,14411,204.38,204.26,0.12,0.0,0.06,1min,92,204.12
"May 18, 2022 11:04 AM",204.43,204.53,204.37,204.5,13953,204.5,204.38,0.12,0.0,0.06,1min,93,204.11
