Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
"April 19, 2022",213.1,216.51,212.44,215.7,5028800,215.29,,,,,1mo
"April 20, 2022",218.66,220.82,217.39,217.79,7178300,217.37,215.29,2.09,0.01,0.97,1mo
"April 21, 2022",219.51,223.92,215.35,216.45,8850300,216.04,217.37,-1.34,-0.01,-0.62,1mo
"April 22, 2022",216.24,216.56,207.95,208.17,6201100,207.77,216.04,-8.26,-0.04,-3.83,1mo
"April 25, 2022",206.35,210.53,205.33,209.95,6839400,209.55,207.77,1.78,0.01,0.86,1mo
"April 26, 2022",206.98,208.56,201.1,201.1,8155300,200.72,209.55,-8.83,-0.04,-4.22,1mo
"April 27, 2022",217.37,221.8,213.05,214.11,15955800,213.7,200.72,12.99,0.06,6.47,1mo
"April 28, 2022",220.4,224.93,219.27,220.66,10799100,220.24,213.7,6.54,0.03,3.06,1mo
"April 29, 2022",218.62,221.2,212.35,213.13,7962700,212.72,220.24,-7.52,-0.03,-3.41,1mo
"May 02, 2022",211.77,212.14,206.96,211.53,8803700,211.13,212.72,-1.6,-0.01,-0.75,1mo
"May 03, 2022",213.61,213.61,206.27,208.56,6616900,208.16,211.13,-2.96,-0.01,-1.4,1mo
"May 04, 2022",209.35,214.8,205.33,214.52,7191100,214.11,208.16,5.95,0.03,2.86,1mo
"May 05, 2022",212.27,214.58,203.07,205.24,7749600,204.85,214.11,-9.26,-0.04,-4.33,1mo
"May 06, 2022",203.75,205.72,200.22,202.82,8822500,202.43,204.85,-2.42,-0.01,-1.18,1mo
"May 09, 2022",200.05,200.75,192.08,193.0,10314100,192.63,202.43,-9.8,-0.05,-4.84,1mo
"May 10, 2022",196.71,197.75,190.97,193.58,11016500,193.21,192.63,0.58,0.0,0.3,1mo
"May 11, 2022",193.49,198.32,191.4,196.72,9427300,196.35,193.21,3.13,0.02,1.62,1mo
"May 12, 2022",194.53,196.06,189.95,193.97,9308600,193.97,196.35,-2.38,-0.01,-1.21,1mo
"May 13, 2022",197.0,200.54,196.5,199.23,6684100,199.23,193.97,5.26,0.03,2.71,1mo
"May 16, 2022",197.32,199.94,195.88,197.81,5161300,197.81,199.23,-1.42,-0.01,-0.71,1mo
"May 17, 2022",202.85,204.8,200.15,204.0,7265600,204.0,197.81,6.19,0.03,3.13,1mo
"May 18, 2022",202.82,205.46,199.13,199.99,8743600,199.99,204.0,-4.01,-0.02,-1.97,1mo
