Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval,Numbers,prePred
2021-04-07,219.12,221.04,218.64,219.27,5614300,217.92,,,,,1yr,0,235.52
2021-04-08,219.97,222.82,218.11,220.7,11042000,219.34,217.92,1.42,0.01,0.65,1yr,1,235.43
2021-04-09,221.0,222.6,219.51,222.52,5724900,221.15,219.34,1.81,0.01,0.82,1yr,2,235.33
2021-04-12,220.24,221.91,219.22,221.47,6315200,220.1,221.15,-1.04,-0.0,-0.47,1yr,3,235.24
2021-04-13,221.0,221.62,220.22,221.02,4764000,219.65,220.1,-0.45,-0.0,-0.2,1yr,4,235.15
2021-04-14,221.0,223.1,220.07,221.98,4972600,220.61,219.65,0.95,0.0,0.43,1yr,5,235.05
2021-04-15,223.89,227.63,223.86,226.28,8698100,224.88,220.61,4.27,0.02,1.94,1yr,6,234.96
2021-04-16,227.17,227.8,225.76,226.41,6829400,225.01,224.88,0.13,0.0,0.06,1yr,7,234.86
2021-04-19,225.75,227.58,225.08,225.79,6541600,224.39,225.01,-0.62,-0.0,-0.27,1yr,8,234.77
2021-04-20,224.78,225.38,221.82,223.28,5799100,221.9,224.39,-2.49,-0.01,-1.11,1yr,9,234.68
2021-04-21,223.31,227.87,222.87,227.45,9490600,226.04,221.9,4.14,0.02,1.87,1yr,10,234.58
2021-04-22,227.3,230.93,226.89,227.57,7303000,226.16,226.04,0.12,0.0,0.05,1yr,11,234.49
2021-04-23,228.61,231.82,227.71,230.0,5345200,228.58,226.16,2.41,0.01,1.07,1yr,12,234.39
2021-04-26,230.77,232.95,229.52,230.34,5650000,228.92,228.58,0.34,0.0,0.15,1yr,13,234.3
2021-04-27,231.03,231.16,228.99,229.91,6642100,228.49,228.92,-0.43,-0.0,-0.19,1yr,14,234.21
2021-04-28,230.95,236.27,230.67,233.45,10111400,232.01,228.49,3.52,0.02,1.54,1yr,15,234.11
2021-04-29,235.23,237.5,233.15,236.86,7411400,235.4,232.01,3.39,0.01,1.46,1yr,16,234.02
2021-04-30,235.32,235.93,232.29,233.56,10260200,232.12,235.4,-3.28,-0.01,-1.39,1yr,17,233.92
2021-05-03,234.05,235.74,231.39,232.61,8174400,231.17,232.12,-0.94,-0.0,-0.41,1yr,18,233.83
2021-05-04,231.6,232.39,230.23,232.03,5884500,230.6,231.17,-0.58,-0.0,-0.25,1yr,19,233.74
2021-05-05,233.85,233.85,228.66,229.21,6523200,227.79,230.6,-2.8,-0.01,-1.22,1yr,20,233.64
2021-05-06,229.63,231.58,228.66,231.32,6124100,229.89,227.79,2.1,0.01,0.92,1yr,21,233.55
2021-05-07,232.34,233.22,230.71,232.12,4528700,230.69,229.89,0.8,0.0,0.35,1yr,22,233.45
2021-05-10,231.6,232.0,225.16,225.97,9627400,224.57,230.69,-6.11,-0.03,-2.65,1yr,23,233.36
2021-05-11,223.74,226.42,222.04,225.48,7633300,224.09,224.57,-0.49,-0.0,-0.22,1yr,24,233.27
2021-05-12,223.63,225.0,220.31,220.63,7721300,219.27,224.09,-4.82,-0.02,-2.15,1yr,25,233.17
2021-05-13,221.51,224.9,220.89,223.74,6650100,222.68,219.27,3.41,0.02,1.56,1yr,26,233.08
2021-05-14,225.82,227.51,224.92,226.94,4777200,225.87,222.68,3.18,0.01,1.43,1yr,27,232.98
2021-05-17,226.18,227.16,225.32,226.44,5534200,225.37,225.87,-0.5,-0.0,-0.22,1yr,28,232.89
2021-05-18,228.39,229.18,225.43,225.57,6900000,224.5,225.37,-0.87,-0.0,-0.38,1yr,29,232.8
2021-05-19,222.76,224.85,221.79,224.59,9311900,223.53,224.5,-0.98,-0.0,-0.43,1yr,30,232.7
2021-05-20,225.44,227.6,225.24,226.44,7478600,225.37,223.53,1.84,0.01,0.82,1yr,31,232.61
2021-05-21,226.88,229.31,226.55,226.77,5603900,225.7,225.37,0.33,0.0,0.15,1yr,32,232.52
2021-05-24,227.95,230.11,227.63,229.32,4040100,228.23,225.7,2.54,0.01,1.12,1yr,33,232.42
2021-05-25,229.9,230.19,228.42,229.02,4689100,227.94,228.23,-0.3,-0.0,-0.13,1yr,34,232.33
2021-05-26,228.05,229.35,226.38,227.07,4295600,225.99,227.94,-1.94,-0.01,-0.85,1yr,35,232.23
2021-05-27,227.76,228.42,226.37,226.86,5969600,225.79,225.99,-0.21,-0.0,-0.09,1yr,36,232.14
2021-05-28,227.59,229.43,227.15,227.3,5779700,226.22,225.79,0.44,0.0,0.19,1yr,37,232.05
2021-06-01,229.44,230.08,226.28,226.63,5091500,225.56,226.22,-0.67,-0.0,-0.29,1yr,38,231.95
2021-06-02,229.22,233.11,228.78,229.66,9081100,228.57,225.56,3.02,0.01,1.34,1yr,39,231.86
2021-06-03,229.0,230.39,227.77,228.11,6382400,227.03,228.57,-1.54,-0.01,-0.67,1yr,40,231.76
2021-06-04,229.35,230.7,228.73,230.14,5085700,229.05,227.03,2.02,0.01,0.89,1yr,41,231.67
2021-06-07,232.85,234.68,230.08,231.32,5421300,230.22,229.05,1.17,0.01,0.51,1yr,42,231.58
2021-06-08,232.15,232.85,230.16,232.05,4170600,230.95,230.22,0.73,0.0,0.32,1yr,43,231.48
2021-06-09,232.5,234.85,232.12,232.31,4659000,231.21,230.95,0.26,0.0,0.11,1yr,44,231.39
2021-06-10,233.1,234.26,232.13,233.95,4452500,232.84,231.21,1.63,0.01,0.71,1yr,45,231.29
2021-06-11,234.39,235.44,233.71,234.96,5378300,233.85,232.84,1.01,0.0,0.43,1yr,46,231.2
2021-06-14,234.7,235.22,231.57,234.08,5805800,232.97,233.85,-0.88,-0.0,-0.37,1yr,47,231.11
2021-06-15,234.44,234.8,232.62,232.98,7093800,231.88,232.97,-1.09,-0.0,-0.47,1yr,48,231.01
2021-06-16,233.62,234.18,228.0,229.6,8905400,228.51,231.88,-3.36,-0.01,-1.45,1yr,49,230.92
2021-06-17,229.21,233.34,229.21,232.15,6876700,231.05,228.51,2.54,0.01,1.11,1yr,50,230.82
2021-06-18,230.45,232.18,229.22,230.41,8840000,229.32,231.05,-1.73,-0.01,-0.75,1yr,51,230.73
2021-06-21,231.45,235.01,230.4,234.32,7298400,233.21,229.32,3.89,0.02,1.7,1yr,52,230.64
2021-06-22,234.3,236.09,233.24,235.93,8858400,234.81,233.21,1.6,0.01,0.69,1yr,53,230.54
2021-06-23,235.45,235.92,233.94,234.68,6814700,233.57,234.81,-1.24,-0.01,-0.53,1yr,54,230.45
2021-06-24,237.0,238.25,235.41,236.24,4611500,235.12,233.57,1.55,0.01,0.66,1yr,55,230.35
2021-06-25,236.4,238.48,236.32,237.32,7825200,236.2,235.12,1.07,0.0,0.46,1yr,56,230.26
2021-06-28,238.0,238.37,231.86,234.09,9301700,232.98,236.2,-3.21,-0.01,-1.36,1yr,57,230.17
2021-06-29,234.57,236.52,234.15,235.95,11897700,234.83,232.98,1.85,0.01,0.79,1yr,58,230.07
2021-06-30,235.11,236.4,233.82,233.82,7797100,232.71,234.83,-2.12,-0.01,-0.9,1yr,59,229.98
2021-07-01,234.2,236.25,234.05,235.15,5329600,234.04,232.71,1.32,0.01,0.57,1yr,60,229.88
