Datetime,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
2022-04-04 09:30:00,225.76,227.0,224.96,225.65,588703,225.65,,,,,30min
2022-04-04 10:00:00,225.72,227.31,225.61,227.24,605749,227.24,225.65,1.6,0.01,0.71,30min
2022-04-04 10:30:00,227.21,228.21,227.09,228.04,943441,228.04,227.24,0.8,0.0,0.35,30min
2022-04-04 11:00:00,228.03,228.99,227.93,228.77,738422,228.77,228.04,0.73,0.0,0.32,30min
2022-04-04 11:30:00,228.79,229.19,228.5,228.95,605815,228.95,228.77,0.18,0.0,0.08,30min
2022-04-04 12:00:00,228.97,229.24,228.42,228.85,704374,228.85,228.95,-0.1,-0.0,-0.04,30min
2022-04-04 12:30:00,228.85,229.02,228.44,228.5,406671,228.5,228.85,-0.35,-0.0,-0.15,30min
2022-04-04 13:00:00,228.48,228.5,227.62,227.66,279985,227.66,228.5,-0.84,-0.0,-0.37,30min
2022-04-04 13:30:00,227.7,227.97,227.38,227.59,174574,227.59,227.66,-0.07,-0.0,-0.03,30min
2022-04-04 14:00:00,227.57,227.76,227.06,227.71,219536,227.71,227.59,0.12,0.0,0.05,30min
2022-04-04 14:30:00,227.7,227.71,227.27,227.5,160487,227.5,227.71,-0.21,-0.0,-0.09,30min
2022-04-04 15:00:00,227.48,227.67,227.23,227.4,236217,227.4,227.5,-0.1,-0.0,-0.04,30min
2022-04-04 15:30:00,227.39,228.04,227.22,227.74,785159,227.74,227.4,0.34,0.0,0.15,30min
2022-04-04 16:00:00,227.74,227.74,227.74,227.74,0,227.74,227.74,0.0,0.0,0.0,30min
