ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2008-03-19,17.492367036401497,6.220642201751661,23.596006095150525,17.492367036401497,17.492367036401497,-2.5518125206554694,-2.5518125206554694,-2.5518125206554694,0.7293601705849073,0.7293601705849073,0.7293601705849073,-3.2811726912403767,-3.2811726912403767,-3.2811726912403767,0.0,0.0,0.0,14.940554515746028
2008-03-20,17.4819371860283,6.188463138304892,23.686582990614124,17.4819371860283,17.4819371860283,-2.5573467746015277,-2.5573467746015277,-2.5573467746015277,0.7366922296482148,0.7366922296482148,0.7366922296482148,-3.2940390042497425,-3.2940390042497425,-3.2940390042497425,0.0,0.0,0.0,14.924590411426774
2008-03-24,17.44021778453552,6.495548541804092,22.56411877287151,17.44021778453552,17.44021778453552,-2.670805178468283,-2.670805178468283,-2.670805178468283,0.5320136392115907,0.5320136392115907,0.5320136392115907,-3.2028188176798733,-3.2028188176798733,-3.2028188176798733,0.0,0.0,0.0,14.769412606067236
2008-03-25,17.429787934162324,6.110779869791648,23.379300865645742,17.429787934162324,17.429787934162324,-2.4871127658923213,-2.4871127658923213,-2.4871127658923213,0.663073306439503,0.663073306439503,0.663073306439503,-3.1501860723318247,-3.1501860723318247,-3.1501860723318247,0.0,0.0,0.0,14.942675168270002
2008-03-26,17.41935808378913,6.824817257732562,23.800771240685616,17.41935808378913,17.41935808378913,-2.358876590127109,-2.358876590127109,-2.358876590127109,0.7293601705847205,0.7293601705847205,0.7293601705847205,-3.0882367607118293,-3.0882367607118293,-3.0882367607118293,0.0,0.0,0.0,15.060481493662023
2008-03-27,17.408928233415935,7.003016778850099,23.623069604500046,17.408928233415935,17.408928233415935,-2.281647810590763,-2.281647810590763,-2.281647810590763,0.7366922296488089,0.7366922296488089,0.7366922296488089,-3.0183400402395715,-3.0183400402395715,-3.0183400402395715,0.0,0.0,0.0,15.127280422825173
2008-03-28,17.398498383042735,6.526100370860185,23.42156358584094,17.398498383042735,17.398498383042735,-2.186153258545001,-2.186153258545001,-2.186153258545001,0.7557057380310301,0.7557057380310301,0.7557057380310301,-2.941858996576031,-2.941858996576031,-2.941858996576031,0.0,0.0,0.0,15.212345124497734
2008-03-31,17.367208831923154,7.061954189248924,24.34263961439198,17.367208831923154,17.367208831923154,-2.1539654701032833,-2.1539654701032833,-2.1539654701032833,0.5320136392114287,0.5320136392114287,0.5320136392114287,-2.685979109314712,-2.685979109314712,-2.685979109314712,0.0,0.0,0.0,15.21324336181987
2008-04-01,17.356778981549958,6.695512273887143,24.137230120413385,17.356778981549958,17.356778981549958,-1.932837111188918,-1.932837111188918,-1.932837111188918,0.6630733064376579,0.6630733064376579,0.6630733064376579,-2.595910417626576,-2.595910417626576,-2.595910417626576,0.0,0.0,0.0,15.42394187036104
2008-04-02,17.34634913117676,7.26108049444987,24.4703996846103,17.34634913117676,17.34634913117676,-1.7759003130283795,-1.7759003130283795,-1.7759003130283795,0.7293601705848305,0.7293601705848305,0.7293601705848305,-2.5052604836132097,-2.5052604836132097,-2.5052604836132097,0.0,0.0,0.0,15.570448818148378
