Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
1972-08-25,0.06,0.06,0.06,0.06,2508800,0.04,,,,,1d
1972-08-28,0.06,0.06,0.06,0.06,972800,0.04,0.04,-0.0,-0.0,-0.38,1d
1972-08-29,0.06,0.06,0.06,0.06,1945600,0.04,0.04,-0.0,-0.01,-1.14,1d
1972-08-30,0.06,0.06,0.06,0.06,409600,0.04,0.04,0.0,0.0,0.0,1d
1972-08-31,0.06,0.06,0.06,0.06,870400,0.04,0.04,-0.0,-0.02,-1.54,1d
1972-09-01,0.06,0.06,0.06,0.06,256000,0.04,0.04,0.0,0.01,0.78,1d
1972-09-05,0.06,0.06,0.06,0.06,563200,0.04,0.04,-0.0,-0.01,-0.77,1d
1972-09-06,0.06,0.06,0.06,0.06,256000,0.04,0.04,0.0,0.01,0.78,1d
1972-09-07,0.06,0.06,0.06,0.06,1177600,0.04,0.04,-0.0,-0.0,-0.39,1d
1972-09-08,0.06,0.06,0.06,0.06,665600,0.03,0.04,-0.0,-0.01,-0.78,1d
1972-09-11,0.06,0.06,0.06,0.06,921600,0.04,0.03,0.0,0.01,0.78,1d
1972-09-12,0.06,0.06,0.06,0.06,614400,0.04,0.04,0.0,0.0,0.0,1d
1972-09-13,0.06,0.06,0.06,0.06,153600,0.04,0.04,0.0,0.0,0.0,1d
1972-09-14,0.06,0.06,0.06,0.06,1280000,0.04,0.04,0.0,0.01,0.78,1d
1972-09-15,0.06,0.06,0.06,0.06,512000,0.04,0.04,-0.0,-0.01,-0.77,1d
1972-09-18,0.06,0.06,0.06,0.06,1075200,0.04,0.04,0.0,0.0,0.39,1d
1972-09-19,0.06,0.06,0.06,0.06,3123200,0.04,0.04,-0.0,-0.01,-0.77,1d
1972-09-20,0.06,0.06,0.06,0.06,51200,0.03,0.04,-0.0,-0.01,-0.78,1d
1972-09-21,0.06,0.06,0.06,0.06,1433600,0.03,0.03,-0.0,-0.03,-3.15,1d
1972-09-22,0.06,0.06,0.06,0.06,870400,0.03,0.03,-0.0,-0.04,-3.66,1d
1972-09-25,0.06,0.06,0.06,0.06,972800,0.03,0.03,-0.0,-0.03,-2.95,1d
1972-09-26,0.06,0.06,0.06,0.06,716800,0.03,0.03,-0.0,-0.0,-0.43,1d
1972-09-27,0.06,0.06,0.05,0.05,665600,0.03,0.03,-0.0,-0.02,-2.18,1d
1972-09-28,0.06,0.06,0.06,0.06,1433600,0.03,0.03,0.0,0.03,2.68,1d
1972-09-29,0.06,0.06,0.06,0.06,256000,0.03,0.03,0.0,0.01,1.31,1d
1972-10-02,0.06,0.06,0.06,0.06,1638400,0.03,0.03,0.0,0.05,4.72,1d
1972-10-03,0.06,0.06,0.06,0.06,512000,0.03,0.03,0.0,0.02,1.64,1d
1972-10-04,0.06,0.06,0.06,0.06,1536000,0.03,0.03,0.0,0.02,2.02,1d
1972-10-05,0.06,0.06,0.06,0.06,1382400,0.03,0.03,-0.0,-0.03,-2.77,1d
1972-10-06,0.06,0.06,0.06,0.06,9779200,0.03,0.03,-0.0,-0.04,-4.07,1d
1972-10-09,0.06,0.06,0.06,0.06,1280000,0.03,0.03,0.0,0.02,1.7,1d
1972-10-10,0.06,0.06,0.06,0.06,0,0.03,0.03,0.0,0.0,0.0,1d
1972-10-11,0.06,0.06,0.06,0.06,460800,0.03,0.03,0.0,0.0,0.42,1d
1972-10-12,0.06,0.06,0.06,0.06,358400,0.03,0.03,-0.0,-0.01,-0.83,1d
1972-10-13,0.06,0.06,0.06,0.06,51200,0.03,0.03,0.0,0.0,0.0,1d
1972-10-16,0.06,0.06,0.06,0.06,665600,0.03,0.03,-0.0,-0.03,-2.51,1d
1972-10-17,0.06,0.06,0.06,0.06,2457600,0.03,0.03,0.0,0.02,1.72,1d
1972-10-18,0.06,0.06,0.06,0.06,7782400,0.03,0.03,0.0,0.07,7.17,1d
1972-10-19,0.06,0.06,0.06,0.06,10598400,0.03,0.03,0.0,0.0,0.39,1d
1972-10-20,0.06,0.06,0.06,0.06,51200,0.03,0.03,-0.0,-0.01,-0.78,1d
1972-10-23,0.06,0.06,0.06,0.06,460800,0.03,0.03,-0.0,-0.0,-0.4,1d
1972-10-24,0.06,0.06,0.06,0.06,102400,0.03,0.03,0.0,0.0,0.4,1d
1972-10-25,0.06,0.06,0.06,0.06,1228800,0.03,0.03,-0.0,-0.02,-1.98,1d
1972-10-26,0.06,0.06,0.06,0.06,51200,0.03,0.03,0.0,0.01,0.81,1d
1972-10-27,0.06,0.06,0.06,0.06,204800,0.03,0.03,0.0,0.0,0.4,1d
1972-10-30,0.06,0.06,0.06,0.06,1331200,0.03,0.03,-0.0,-0.0,-0.4,1d
1972-10-31,0.06,0.06,0.06,0.06,716800,0.04,0.03,0.0,0.03,3.2,1d
1972-11-01,0.06,0.07,0.06,0.07,2252800,0.04,0.04,0.0,0.05,4.65,1d
1972-11-02,0.07,0.07,0.07,0.07,716800,0.04,0.04,0.0,0.01,0.74,1d
1972-11-03,0.07,0.07,0.07,0.07,1433600,0.04,0.04,-0.0,-0.0,-0.37,1d
1972-11-06,0.07,0.07,0.07,0.07,153600,0.04,0.04,0.0,0.0,0.0,1d
1972-11-08,0.07,0.07,0.07,0.07,716800,0.04,0.04,0.0,0.01,1.11,1d
1972-11-09,0.07,0.07,0.07,0.07,819200,0.04,0.04,0.0,0.0,0.0,1d
1972-11-10,0.07,0.07,0.07,0.07,0,0.04,0.04,0.0,0.0,0.0,1d
1972-11-13,0.07,0.07,0.07,0.07,409600,0.04,0.04,-0.0,-0.0,-0.37,1d
1972-11-14,0.07,0.07,0.07,0.07,153600,0.04,0.04,-0.0,-0.01,-1.1,1d
1972-11-15,0.07,0.07,0.07,0.07,563200,0.04,0.04,-0.0,-0.0,-0.37,1d
1972-11-16,0.07,0.07,0.07,0.07,614400,0.04,0.04,0.0,0.0,0.37,1d
1972-11-17,0.07,0.07,0.07,0.07,1382400,0.04,0.04,-0.0,-0.0,-0.37,1d
1972-11-20,0.07,0.07,0.07,0.07,153600,0.04,0.04,-0.0,-0.0,-0.37,1d
1972-11-21,0.07,0.07,0.06,0.07,563200,0.04,0.04,0.0,0.02,2.24,1d
1972-11-22,0.07,0.07,0.07,0.07,460800,0.04,0.04,0.0,0.0,0.0,1d
1972-11-24,0.07,0.07,0.07,0.07,358400,0.04,0.04,-0.0,-0.0,-0.37,1d
1972-11-27,0.07,0.07,0.07,0.07,6246400,0.04,0.04,0.0,0.03,2.56,1d
1972-11-28,0.07,0.07,0.07,0.07,3481600,0.04,0.04,-0.0,-0.03,-2.86,1d
1972-11-29,0.07,0.07,0.06,0.06,3584000,0.04,0.04,-0.0,-0.04,-4.41,1d
1972-11-30,0.06,0.06,0.06,0.06,204800,0.04,0.04,-0.0,-0.01,-0.77,1d
1972-12-01,0.06,0.06,0.06,0.06,1484800,0.04,0.04,0.0,0.02,1.55,1d
1972-12-04,0.06,0.07,0.06,0.07,972800,0.04,0.04,0.0,0.04,3.82,1d
1972-12-05,0.07,0.07,0.07,0.07,1331200,0.04,0.04,0.0,0.01,1.47,1d
1972-12-06,0.07,0.07,0.07,0.07,409600,0.04,0.04,0.0,0.0,0.0,1d
1972-12-07,0.07,0.07,0.07,0.07,665600,0.04,0.04,-0.0,-0.01,-0.72,1d
1972-12-08,0.07,0.07,0.07,0.07,9779200,0.04,0.04,-0.0,-0.01,-1.46,1d
1972-12-11,0.07,0.07,0.07,0.07,358400,0.04,0.04,0.0,0.01,1.11,1d
1972-12-12,0.07,0.07,0.07,0.07,204800,0.04,0.04,-0.0,-0.01,-1.1,1d
1972-12-13,0.07,0.07,0.07,0.07,102400,0.04,0.04,0.0,0.01,0.74,1d
1972-12-14,0.07,0.07,0.07,0.07,1638400,0.04,0.04,0.0,0.0,0.37,1d
1972-12-15,0.07,0.07,0.07,0.07,1536000,0.04,0.04,0.0,0.01,0.73,1d
1972-12-18,0.07,0.07,0.07,0.07,1536000,0.04,0.04,-0.0,-0.0,-0.36,1d
1972-12-19,0.07,0.07,0.07,0.07,153600,0.04,0.04,0.0,0.0,0.36,1d
1972-12-20,0.07,0.07,0.06,0.07,204800,0.04,0.04,0.0,0.0,0.36,1d
1972-12-21,0.07,0.07,0.07,0.07,9062400,0.04,0.04,-0.0,-0.01,-0.72,1d
1972-12-22,0.07,0.07,0.07,0.07,1228800,0.04,0.04,0.0,0.01,0.73,1d
1972-12-26,0.07,0.07,0.07,0.07,614400,0.04,0.04,-0.0,-0.01,-1.45,1d
1972-12-27,0.07,0.07,0.07,0.07,768000,0.04,0.04,0.0,0.01,0.74,1d
1972-12-29,0.07,0.07,0.07,0.07,307200,0.04,0.04,0.0,0.01,0.73,1d
1973-01-02,0.07,0.07,0.07,0.07,460800,0.04,0.04,0.0,0.0,0.36,1d
1973-01-03,0.07,0.07,0.07,0.07,768000,0.04,0.04,-0.0,-0.0,-0.36,1d
1973-01-04,0.07,0.07,0.07,0.07,1740800,0.04,0.04,-0.0,-0.0,-0.36,1d
1973-01-05,0.07,0.07,0.07,0.07,1587200,0.04,0.04,-0.0,-0.0,-0.36,1d
1973-01-08,0.07,0.07,0.07,0.07,665600,0.04,0.04,-0.0,-0.0,-0.37,1d
1973-01-09,0.07,0.07,0.06,0.07,3584000,0.04,0.04,-0.0,-0.02,-1.83,1d
1973-01-10,0.07,0.07,0.06,0.06,1280000,0.04,0.04,-0.0,-0.03,-2.61,1d
1973-01-11,0.06,0.07,0.06,0.07,1331200,0.04,0.04,0.0,0.02,2.3,1d
1973-01-12,0.07,0.07,0.06,0.06,1945600,0.04,0.04,-0.0,-0.0,-0.38,1d
1973-01-15,0.06,0.06,0.06,0.06,358400,0.04,0.04,-0.0,-0.01,-1.13,1d
1973-01-16,0.06,0.07,0.06,0.07,3481600,0.04,0.04,0.0,0.02,1.9,1d
1973-01-17,0.07,0.07,0.07,0.07,665600,0.04,0.04,0.0,0.0,0.37,1d
1973-01-18,0.07,0.07,0.07,0.07,0,0.04,0.04,0.0,0.0,0.0,1d
1973-01-19,0.07,0.07,0.06,0.06,614400,0.04,0.04,-0.0,-0.02,-1.86,1d
1973-01-22,0.06,0.06,0.06,0.06,307200,0.04,0.04,-0.0,-0.01,-1.14,1d
1973-01-23,0.06,0.06,0.06,0.06,1536000,0.03,0.04,-0.0,-0.03,-3.45,1d
1973-01-24,0.06,0.06,0.06,0.06,1587200,0.04,0.03,0.0,0.02,1.59,1d
1973-01-26,0.06,0.06,0.06,0.06,1126400,0.03,0.04,-0.0,-0.01,-0.78,1d
1973-01-29,0.06,0.06,0.06,0.06,972800,0.03,0.03,-0.0,-0.04,-3.54,1d
