Datetime,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval,Numbers,prePred
2022-04-08 09:30:00,156.91,157.62,156.84,157.15,163044,157.15,,,,,1min,0,157.37
2022-04-08 09:31:00,156.97,157.29,156.97,157.29,18768,157.29,157.15,0.14,0.0,0.09,1min,1,157.37
2022-04-08 09:32:00,157.01,157.09,157.0,157.01,37296,157.01,157.29,-0.28,-0.0,-0.17,1min,2,157.37
2022-04-08 09:33:00,157.11,157.35,157.02,157.23,34686,157.23,157.01,0.22,0.0,0.14,1min,3,157.37
2022-04-08 09:34:00,157.27,157.28,157.15,157.24,20421,157.24,157.23,0.01,0.0,0.01,1min,4,157.37
2022-04-08 09:35:00,157.24,157.6,157.14,157.31,50272,157.31,157.24,0.07,0.0,0.04,1min,5,157.37
2022-04-08 09:36:00,157.29,157.48,157.23,157.32,24828,157.32,157.31,0.01,0.0,0.0,1min,6,157.37
2022-04-08 09:37:00,157.34,157.72,157.31,157.72,35010,157.72,157.32,0.4,0.0,0.26,1min,7,157.37
2022-04-08 09:38:00,157.74,157.8,157.58,157.6,44765,157.6,157.72,-0.12,-0.0,-0.08,1min,8,157.37
2022-04-08 09:39:00,157.57,157.78,157.51,157.63,35214,157.63,157.6,0.04,0.0,0.02,1min,9,157.38
2022-04-08 09:40:00,157.62,157.63,157.17,157.26,39847,157.26,157.63,-0.37,-0.0,-0.23,1min,10,157.38
2022-04-08 09:41:00,157.27,157.3,156.8,156.86,38647,156.86,157.26,-0.4,-0.0,-0.25,1min,11,157.38
2022-04-08 09:42:00,156.82,156.82,156.58,156.7,28810,156.7,156.86,-0.16,-0.0,-0.1,1min,12,157.38
2022-04-08 09:43:00,156.67,156.78,156.44,156.45,32377,156.45,156.7,-0.25,-0.0,-0.16,1min,13,157.38
2022-04-08 09:44:00,156.44,156.51,156.31,156.35,24089,156.35,156.45,-0.1,-0.0,-0.06,1min,14,157.38
2022-04-08 09:45:00,156.37,156.4,156.21,156.24,25621,156.24,156.35,-0.11,-0.0,-0.07,1min,15,157.38
2022-04-08 09:46:00,156.25,156.63,156.22,156.61,43549,156.61,156.24,0.37,0.0,0.23,1min,16,157.38
2022-04-08 09:47:00,156.62,156.96,156.58,156.96,18219,156.96,156.61,0.35,0.0,0.22,1min,17,157.38
2022-04-08 09:48:00,156.98,157.01,156.86,156.89,25670,156.89,156.96,-0.07,-0.0,-0.04,1min,18,157.38
2022-04-08 09:49:00,156.82,156.82,156.53,156.57,20740,156.57,156.89,-0.32,-0.0,-0.21,1min,19,157.38
2022-04-08 09:50:00,156.54,156.75,156.4,156.72,29629,156.72,156.57,0.15,0.0,0.1,1min,20,157.38
2022-04-08 09:51:00,156.75,157.11,156.68,157.08,37190,157.08,156.72,0.36,0.0,0.23,1min,21,157.38
2022-04-08 09:52:00,157.09,157.3,157.09,157.29,42841,157.29,157.08,0.21,0.0,0.14,1min,22,157.38
2022-04-08 09:53:00,157.29,157.49,157.28,157.47,41248,157.47,157.29,0.18,0.0,0.11,1min,23,157.38
2022-04-08 09:54:00,157.47,157.53,157.26,157.53,53708,157.53,157.47,0.06,0.0,0.04,1min,24,157.39
2022-04-08 09:55:00,157.53,157.57,157.41,157.48,35086,157.48,157.53,-0.05,-0.0,-0.03,1min,25,157.39
2022-04-08 09:56:00,157.48,157.52,157.39,157.47,31467,157.47,157.48,-0.01,-0.0,-0.01,1min,26,157.39
2022-04-08 09:57:00,157.48,157.54,157.24,157.28,33882,157.28,157.47,-0.19,-0.0,-0.12,1min,27,157.39
2022-04-08 09:58:00,157.3,157.32,157.21,157.28,19816,157.28,157.28,0.0,0.0,0.0,1min,28,157.39
2022-04-08 09:59:00,157.32,157.35,157.24,157.34,23713,157.34,157.28,0.06,0.0,0.04,1min,29,157.39
2022-04-08 10:00:00,157.32,157.6,157.31,157.6,30183,157.6,157.34,0.26,0.0,0.17,1min,30,157.39
2022-04-08 10:01:00,157.62,157.82,157.6,157.74,33558,157.74,157.6,0.14,0.0,0.09,1min,31,157.39
2022-04-08 10:02:00,157.74,157.75,157.4,157.44,26627,157.44,157.74,-0.3,-0.0,-0.19,1min,32,157.39
2022-04-08 10:03:00,157.45,157.49,157.41,157.43,9455,157.43,157.44,-0.01,-0.0,-0.01,1min,33,157.39
2022-04-08 10:04:00,157.48,157.49,157.39,157.47,11625,157.47,157.43,0.04,0.0,0.03,1min,34,157.39
2022-04-08 10:05:00,157.45,157.51,157.45,157.49,7198,157.49,157.47,0.02,0.0,0.01,1min,35,157.39
2022-04-08 10:06:00,157.45,157.48,157.39,157.4,18883,157.4,157.49,-0.09,-0.0,-0.05,1min,36,157.39
2022-04-08 10:07:00,157.4,157.68,157.4,157.65,25783,157.65,157.4,0.24,0.0,0.16,1min,37,157.39
2022-04-08 10:08:00,157.66,157.67,157.58,157.59,24806,157.59,157.65,-0.06,-0.0,-0.04,1min,38,157.39
2022-04-08 10:09:00,157.59,157.59,157.4,157.44,16241,157.44,157.59,-0.15,-0.0,-0.09,1min,39,157.4
2022-04-08 10:10:00,157.48,157.49,157.39,157.41,15021,157.41,157.44,-0.03,-0.0,-0.02,1min,40,157.4
2022-04-08 10:11:00,157.43,157.47,157.4,157.46,10582,157.46,157.41,0.05,0.0,0.03,1min,41,157.4
2022-04-08 10:12:00,157.47,157.48,157.38,157.48,21571,157.48,157.46,0.02,0.0,0.01,1min,42,157.4
2022-04-08 10:13:00,157.48,157.51,157.39,157.44,14283,157.44,157.48,-0.04,-0.0,-0.03,1min,43,157.4
2022-04-08 10:14:00,157.43,157.43,157.22,157.26,28584,157.26,157.44,-0.18,-0.0,-0.12,1min,44,157.4
2022-04-08 10:15:00,157.27,157.27,157.05,157.06,27325,157.06,157.26,-0.2,-0.0,-0.12,1min,45,157.4
2022-04-08 10:16:00,157.02,157.06,156.93,156.96,22704,156.96,157.06,-0.1,-0.0,-0.06,1min,46,157.4
2022-04-08 10:17:00,156.96,157.03,156.8,156.84,38258,156.84,156.96,-0.12,-0.0,-0.08,1min,47,157.4
2022-04-08 10:18:00,156.82,156.82,156.57,156.66,29729,156.66,156.84,-0.18,-0.0,-0.11,1min,48,157.4
2022-04-08 10:19:00,156.66,156.81,156.6,156.77,15425,156.77,156.66,0.12,0.0,0.07,1min,49,157.4
2022-04-08 10:20:00,156.79,156.85,156.7,156.84,16542,156.84,156.77,0.06,0.0,0.04,1min,50,157.4
2022-04-08 10:21:00,156.9,156.99,156.87,156.99,26603,156.99,156.84,0.15,0.0,0.1,1min,51,157.4
2022-04-08 10:22:00,156.97,156.99,156.89,156.95,16275,156.95,156.99,-0.04,-0.0,-0.03,1min,52,157.4
2022-04-08 10:23:00,156.99,157.04,156.89,157.0,15255,157.0,156.95,0.05,0.0,0.03,1min,53,157.4
2022-04-08 10:24:00,157.07,157.12,156.94,156.94,15715,156.94,157.0,-0.06,-0.0,-0.04,1min,54,157.41
2022-04-08 10:25:00,156.95,156.97,156.88,156.89,17742,156.89,156.94,-0.05,-0.0,-0.03,1min,55,157.41
2022-04-08 10:26:00,156.86,156.93,156.68,156.74,19234,156.74,156.89,-0.15,-0.0,-0.1,1min,56,157.41
2022-04-08 10:27:00,156.74,156.75,156.68,156.74,21614,156.74,156.74,0.0,0.0,0.0,1min,57,157.41
2022-04-08 10:28:00,156.74,156.74,156.6,156.67,13118,156.67,156.74,-0.07,-0.0,-0.04,1min,58,157.41
2022-04-08 10:29:00,156.67,156.77,156.63,156.7,22599,156.7,156.67,0.03,0.0,0.02,1min,59,157.41
2022-04-08 10:30:00,156.7,156.74,156.58,156.63,38948,156.63,156.7,-0.07,-0.0,-0.04,1min,60,157.41
2022-04-08 10:31:00,156.64,156.91,156.56,156.82,23582,156.82,156.63,0.19,0.0,0.12,1min,61,157.41
