Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
"April 19, 2022",156.67,157.95,156.04,157.65,5285000,157.08,,,,,1mo
"April 20, 2022",158.35,160.35,158.29,159.63,6607200,159.05,157.08,1.97,0.01,1.26,1mo
"April 21, 2022",159.92,160.77,159.07,159.87,6056100,159.29,159.05,0.24,0.0,0.15,1mo
"April 22, 2022",160.25,160.36,156.66,156.86,7015400,156.29,159.29,-3.0,-0.02,-1.88,1mo
"April 25, 2022",156.37,157.47,154.35,156.94,6019200,156.37,156.29,0.08,0.0,0.05,1mo
"April 26, 2022",156.37,158.13,155.2,155.3,6533700,154.74,156.37,-1.63,-0.01,-1.04,1mo
"April 27, 2022",155.53,156.2,154.02,154.24,5832300,153.68,154.74,-1.06,-0.01,-0.68,1mo
"April 28, 2022",155.23,156.98,154.1,156.21,4985300,155.64,153.68,1.96,0.01,1.28,1mo
"April 29, 2022",155.81,156.22,152.71,152.99,7028700,152.44,155.64,-3.21,-0.02,-2.06,1mo
"May 02, 2022",154.96,154.99,150.32,151.98,6672000,151.43,152.44,-1.01,-0.01,-0.66,1mo
"May 03, 2022",152.43,154.28,151.78,152.51,5983500,151.96,151.43,0.53,0.0,0.35,1mo
"May 04, 2022",152.03,154.82,151.51,154.62,6674200,154.06,151.96,2.1,0.01,1.38,1mo
"May 05, 2022",153.64,153.83,151.4,152.74,7744800,152.74,154.06,-1.32,-0.01,-0.86,1mo
"May 06, 2022",151.71,153.95,148.27,149.56,11417600,149.56,152.74,-3.18,-0.02,-2.08,1mo
"May 09, 2022",148.47,153.1,148.19,151.31,9402400,151.31,149.56,1.75,0.01,1.17,1mo
"May 10, 2022",151.43,152.29,148.56,149.18,8287100,149.18,151.31,-2.13,-0.01,-1.41,1mo
"May 11, 2022",149.4,150.75,146.91,147.62,9292900,147.62,149.18,-1.56,-0.01,-1.05,1mo
"May 12, 2022",147.86,150.15,146.52,147.48,8414800,147.48,147.62,-0.14,-0.0,-0.09,1mo
"May 13, 2022",147.71,148.38,146.14,148.05,6648100,148.05,147.48,0.57,0.0,0.39,1mo
"May 16, 2022",149.38,149.73,146.46,148.21,7149700,148.21,148.05,0.16,0.0,0.11,1mo
"May 17, 2022",136.43,137.44,130.64,131.35,44313400,131.35,148.21,-16.86,-0.11,-11.38,1mo
"May 18, 2022",128.03,128.27,121.53,122.43,34650400,122.43,131.35,-8.92,-0.07,-6.79,1mo
