Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
1972-08-21,0.06,0.06,0.06,0.06,2508800.0,0.04,,,,,1wk
1972-08-28,0.06,0.06,0.06,0.06,4454400.0,0.04,0.04,-0.0,-0.02,-2.27,1wk
1972-09-04,0.06,0.06,0.06,0.06,2662400.0,0.03,0.04,-0.0,-0.01,-1.16,1wk
1972-09-11,0.06,0.06,0.06,0.06,3481600.0,0.04,0.03,0.0,0.01,0.78,1wk
1972-09-18,0.06,0.06,0.06,0.06,6553600.0,0.03,0.04,-0.0,-0.08,-7.78,1wk
1972-09-25,0.06,0.06,0.05,0.06,4044800.0,0.03,0.03,-0.0,-0.02,-1.69,1wk
1972-10-02,0.06,0.06,0.06,0.06,14848000.0,0.03,0.03,0.0,0.01,1.29,1wk
1972-10-09,0.06,0.06,0.06,0.06,2150400.0,0.03,0.03,0.0,0.01,1.27,1wk
1972-10-16,0.06,0.06,0.06,0.06,21555200.0,0.03,0.03,0.0,0.06,5.86,1wk
1972-10-23,0.06,0.06,0.06,0.06,2048000.0,0.03,0.03,-0.0,-0.01,-0.79,1wk
1972-10-30,0.06,0.07,0.06,0.07,6451200.0,0.04,0.03,0.0,0.08,7.97,1wk
1972-11-06,0.07,0.07,0.07,0.07,1689600.0,0.04,0.04,0.0,0.01,1.11,1wk
1972-11-13,0.07,0.07,0.07,0.07,3123200.0,0.04,0.04,-0.0,-0.02,-1.83,1wk
1972-11-20,0.07,0.07,0.06,0.07,1536000.0,0.04,0.04,0.0,0.01,1.49,1wk
1972-11-27,0.07,0.07,0.06,0.06,15001600.0,0.04,0.04,-0.0,-0.04,-4.03,1wk
1972-12-04,0.06,0.07,0.06,0.07,13158400.0,0.04,0.04,0.0,0.03,3.05,1wk
1972-12-11,0.07,0.07,0.07,0.07,3840000.0,0.04,0.04,0.0,0.02,1.85,1wk
1972-12-18,0.07,0.07,0.06,0.07,12185600.0,0.04,0.04,0.0,0.0,0.36,1wk
1972-12-25,0.07,0.07,0.07,0.07,1689600.0,0.04,0.04,0.0,0.0,0.0,1wk
1973-01-01,0.07,0.07,0.07,0.07,4556800.0,0.04,0.04,-0.0,-0.01,-0.72,1wk
1973-01-08,0.07,0.07,0.06,0.06,8806400.0,0.04,0.04,-0.0,-0.03,-2.92,1wk
1973-01-15,0.06,0.07,0.06,0.06,5120000.0,0.04,0.04,-0.0,-0.01,-0.75,1wk
1973-01-22,0.06,0.06,0.06,0.06,4556800.0,0.03,0.04,-0.0,-0.04,-3.79,1wk
1973-01-29,0.06,0.06,0.06,0.06,8448000.0,0.03,0.03,-0.0,-0.05,-4.72,1wk
1973-02-05,0.06,0.06,0.06,0.06,6502400.0,0.03,0.03,-0.0,-0.01,-0.83,1wk
1973-02-12,0.06,0.06,0.06,0.06,6400000.0,0.04,0.03,0.0,0.07,7.5,1wk
1973-02-19,0.06,0.06,0.06,0.06,22937600.0,0.03,0.04,-0.0,-0.01,-1.16,1wk
1973-02-26,0.06,0.06,0.06,0.06,7526400.0,0.03,0.03,-0.0,-0.04,-4.31,1wk
1973-03-05,0.06,0.06,0.05,0.06,25292800.0,0.03,0.03,-0.0,-0.06,-6.15,1wk
1973-03-12,0.06,0.06,0.05,0.05,5683200.0,0.03,0.03,-0.0,-0.03,-3.06,1wk
1973-03-19,0.05,0.05,0.04,0.04,12697600.0,0.02,0.03,-0.01,-0.21,-21.17,1wk
1973-03-26,0.04,0.04,0.04,0.04,8550400.0,0.02,0.02,0.0,0.04,4.0,1wk
1973-04-02,0.04,0.04,0.04,0.04,3788800.0,0.02,0.02,-0.0,-0.04,-4.4,1wk
1973-04-09,0.04,0.04,0.04,0.04,2304000.0,0.02,0.02,0.0,0.0,0.0,1wk
1973-04-16,0.04,0.04,0.04,0.04,2406400.0,0.02,0.02,0.0,0.01,0.58,1wk
1973-04-23,0.04,0.05,0.04,0.04,9011200.0,0.02,0.02,0.0,0.03,2.86,1wk
1973-04-30,0.04,0.04,0.04,0.04,2201600.0,0.02,0.02,0.0,0.0,0.0,1wk
1973-05-07,0.04,0.04,0.04,0.04,1024000.0,0.02,0.02,-0.0,-0.01,-1.11,1wk
1973-05-14,0.04,0.04,0.04,0.04,5888000.0,0.02,0.02,-0.0,-0.03,-2.81,1wk
1973-05-21,0.04,0.04,0.04,0.04,9164800.0,0.02,0.02,-0.0,-0.01,-0.58,1wk
1973-05-28,0.04,0.04,0.04,0.04,972800.0,0.02,0.02,0.0,0.02,2.33,1wk
1973-06-04,0.04,0.04,0.04,0.04,5529600.0,0.02,0.02,-0.0,-0.1,-9.66,1wk
1973-06-11,0.04,0.04,0.03,0.03,55193600.0,0.02,0.02,-0.01,-0.25,-24.53,1wk
1973-06-18,0.03,0.03,0.03,0.03,5683200.0,0.02,0.02,0.0,0.14,14.17,1wk
1973-06-25,0.03,0.03,0.03,0.03,21248000.0,0.02,0.02,-0.0,-0.12,-11.68,1wk
1973-07-02,0.03,0.03,0.03,0.03,2457600.0,0.02,0.02,0.0,0.07,6.61,1wk
1973-07-09,0.03,0.03,0.03,0.03,4403200.0,0.02,0.02,-0.0,-0.07,-6.98,1wk
1973-07-16,0.03,0.04,0.03,0.04,3891200.0,0.02,0.02,0.01,0.35,35.0,1wk
1973-07-23,0.04,0.05,0.04,0.04,10700800.0,0.02,0.02,0.0,0.1,10.49,1wk
1973-07-30,0.04,0.05,0.04,0.04,4403200.0,0.02,0.02,-0.0,-0.01,-1.12,1wk
1973-08-06,0.04,0.04,0.04,0.04,3584000.0,0.02,0.02,-0.0,-0.02,-2.26,1wk
1973-08-13,0.04,0.04,0.04,0.04,2048000.0,0.02,0.02,-0.0,-0.01,-0.58,1wk
1973-08-20,0.04,0.04,0.04,0.04,5785600.0,0.02,0.02,-0.0,-0.02,-2.32,1wk
1973-08-27,0.04,0.04,0.04,0.04,2201600.0,0.02,0.02,0.0,0.01,0.59,1wk
1973-09-03,0.04,0.04,0.04,0.04,3635200.0,0.02,0.02,0.0,0.02,1.77,1wk
1973-09-10,0.04,0.04,0.04,0.04,4864000.0,0.02,0.02,-0.0,-0.09,-8.72,1wk
1973-09-17,0.04,0.04,0.04,0.04,9062400.0,0.03,0.02,0.0,0.17,17.2,1wk
1973-09-24,0.04,0.04,0.04,0.04,4505600.0,0.02,0.03,-0.0,-0.02,-2.17,1wk
1973-10-01,0.04,0.04,0.04,0.04,2201600.0,0.03,0.02,0.0,0.02,1.67,1wk
1973-10-08,0.04,0.05,0.04,0.05,3225600.0,0.03,0.03,0.0,0.03,2.73,1wk
1973-10-15,0.05,0.05,0.04,0.04,1433600.0,0.03,0.03,-0.0,-0.02,-2.13,1wk
1973-10-22,0.04,0.05,0.04,0.04,4300800.0,0.03,0.03,0.0,0.0,0.0,1wk
1973-10-29,0.05,0.05,0.04,0.04,2355200.0,0.02,0.03,-0.0,-0.01,-1.09,1wk
1973-11-05,0.04,0.04,0.04,0.04,4556800.0,0.02,0.02,-0.0,-0.1,-10.44,1wk
1973-11-12,0.04,0.04,0.04,0.04,6092800.0,0.02,0.02,-0.0,-0.09,-8.59,1wk
1973-11-19,0.04,0.04,0.03,0.03,12390400.0,0.02,0.02,-0.0,-0.16,-16.11,1wk
1973-11-26,0.03,0.03,0.03,0.03,17766400.0,0.02,0.02,-0.0,-0.01,-0.8,1wk
1973-12-03,0.03,0.03,0.03,0.03,6758400.0,0.02,0.02,-0.0,-0.02,-1.61,1wk
1973-12-10,0.03,0.03,0.03,0.03,6912000.0,0.01,0.02,-0.0,-0.12,-12.29,1wk
1973-12-17,0.03,0.03,0.02,0.03,11417600.0,0.01,0.01,0.0,0.01,0.93,1wk
1973-12-24,0.03,0.03,0.02,0.03,11520000.0,0.01,0.01,-0.0,-0.04,-3.7,1wk
1973-12-31,0.03,0.03,0.02,0.03,7014400.0,0.02,0.01,0.0,0.17,17.31,1wk
1974-01-07,0.03,0.03,0.03,0.03,1792000.0,0.02,0.02,0.0,0.0,0.0,1wk
1974-01-14,0.03,0.03,0.03,0.03,1024000.0,0.02,0.02,0.0,0.05,4.92,1wk
1974-01-21,0.03,0.04,0.03,0.04,3584000.0,0.02,0.02,0.0,0.12,12.5,1wk
