Datetime,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
"May 18, 2022 09:30 AM",128.03,128.27,126.07,126.29,5902996,126.29,,,,,30min
"May 18, 2022 10:00 AM",126.29,126.3,125.15,125.16,3229258,125.16,126.29,-1.13,-0.01,-0.89,30min
"May 18, 2022 10:30 AM",125.16,125.22,124.11,124.11,3619633,124.11,125.16,-1.05,-0.01,-0.83,30min
"May 18, 2022 11:00 AM",124.12,124.14,123.15,123.43,2450171,123.43,124.11,-0.68,-0.01,-0.55,30min
"May 18, 2022 11:30 AM",123.42,123.8,122.0,122.34,2469450,122.34,123.43,-1.1,-0.01,-0.89,30min
"May 18, 2022 12:00 PM",122.33,122.64,121.53,122.62,2157521,122.62,122.34,0.28,0.0,0.23,30min
"May 18, 2022 12:30 PM",122.63,123.54,122.38,123.51,1992832,123.51,122.62,0.88,0.01,0.72,30min
"May 18, 2022 01:00 PM",123.51,123.54,122.31,123.06,1538642,123.06,123.51,-0.45,-0.0,-0.36,30min
"May 18, 2022 01:30 PM",123.07,123.62,122.55,122.82,1337229,122.82,123.06,-0.24,-0.0,-0.2,30min
"May 18, 2022 02:00 PM",122.82,123.2,122.58,123.1,1062384,123.1,122.82,0.28,0.0,0.23,30min
"May 18, 2022 02:30 PM",123.08,123.24,121.76,121.82,1770580,121.82,123.1,-1.28,-0.01,-1.04,30min
"May 18, 2022 03:00 PM",121.83,122.34,121.54,121.57,1995590,121.57,121.82,-0.25,-0.0,-0.2,30min
"May 18, 2022 03:30 PM",121.57,122.49,121.54,122.42,3809858,122.42,121.57,0.85,0.01,0.7,30min
"May 18, 2022 04:00 PM",122.43,122.43,122.43,122.43,0,122.43,122.42,0.01,0.0,0.01,30min
